#id: 304
#name: A.thaliana - Seed (Integrated)
#score: 3.66
#weight: 
#description: integrated dataset: weighted average of all A.thaliana SEED datasets<br/><b>Interaction consistency score</b>: 3.66&nbsp<b>Coverage</b>: 15
#organ: SEED
#integrated : true
#coverage: 15
#publication_year: 2017
#filename: 3702-SEED-integrated.txt
#
Protein.ID	abundance
AT3G28200.1	34.3
AT4G00620.1	140
AT1G13440.1	658
AT4G39680.1	7.57
AT5G53850.2	18.9
AT1G15710.1	10.4
AT5G47690.3	8.1
AT4G18800.1	23.2
AT2G45820.1	38.2
AT4G24680.1	7.71
AT5G57550.1	2431
AT5G56260.1	13.1
AT4G24620.1	490
AT1G21280.1	16.8
AT2G01410.1	10
AT5G52650.1	10.9
AT3G26720.1	131
AT3G27380.1	59.8
AT1G72560.1	5.43
AT1G64980.1	10.7
AT4G32470.1	970
AT4G16370.1	5.82
AT1G51710.1	24.3
AT3G57030.1	7.79
AT1G71820.2	9.89
AT1G27970.2	108
AT5G48020.1	27
AT3G20000.1	96.8
AT5G41340.1	30.9
AT2G35670.1	1.39
AT5G25754.1	47
AT1G07830.1	64.6
AT3G52570.1	4.51
AT5G03720.1	6.06
AT1G26460.1	5.69
AT2G26140.1	3.53
AT3G54470.1	37.8
AT1G66200.3	36
AT5G42570.1	89.8
AT1G65020.1	7.11
AT1G17440.1	33.5
AT1G36160.1	44.1
AT5G14420.1	9.18
AT3G57650.1	27.7
AT5G12110.1	16.7
AT3G55000.1	31.5
AT2G03120.1	43.3
AT1G04270.1	53
AT1G65590.1	61.2
AT1G07890.1	99.7
AT5G28540.1	68.5
AT3G26650.1	92.6
AT4G25240.1	23.2
AT3G20670.1	70.3
AT2G18630.1	5.66
AT5G66420.2	239
AT3G06510.2	6.25
AT2G29500.1	405
AT2G33070.3	1987
AT3G14310.1	28.8
AT3G05540.1	43.6
AT3G06260.1	15.5
AT1G70770.1	416
AT3G25110.1	88.2
AT2G39960.1	51.1
AT5G07440.1	54
AT3G18420.1	73.2
AT1G28230.1	27.3
AT3G08780.1	4.49
AT5G01670.2	2095
AT3G13224.2	15
AT1G20340.1	299
AT4G10340.1	350
AT2G43560.1	59.9
AT3G62750.1	4.02
AT2G35820.1	35.6
AT3G26290.1	22.6
AT5G58100.1	41
AT1G31290.1	1.43
AT2G24440.1	71.1
AT2G37970.1	176
AT1G21670.1	192
AT1G16900.1	3.64
AT1G61250.1	49.1
AT3G46220.2	20.6
AT3G02260.1	2.09
AT5G16570.1	15.1
AT3G05290.1	6.05
AT1G68530.1	4.63
AT3G55120.1	34.7
AT2G01440.1	3.24
AT3G17020.1	242
AT1G21750.1	2178
AT3G25680.1	17.8
AT1G14930.1	6895
ATMG00510.1	12.7
AT1G21680.1	79
AT1G12050.1	32.2
AT1G64710.1	13.6
AT3G12690.1	3.04
AT1G49820.1	44.9
AT1G53280.1	262
AT2G33210.1	78.2
AT3G27190.1	10.5
AT5G47810.1	257
AT3G61140.1	22.6
AT4G20150.1	93.2
AT3G52580.1	14.2
AT3G50700.1	8.99
AT2G05710.1	412
AT5G22580.1	29.1
AT2G16600.1	1565
AT4G04090.1	4.23
AT2G19870.1	4.78
AT5G35160.2	8.67
AT2G30870.1	39.7
ATCG00490.1	2707
AT3G45030.1	61.6
AT3G07390.1	406
AT2G18080.1	4.23
AT3G22890.1	12.6
AT1G18500.1	31.3
AT1G59670.1	14
ATCG00140.1	195
AT3G62170.1	42.5
AT1G52360.2	17.7
AT5G23060.1	244
AT1G53310.1	70.7
ATCG01130.1	4.71
AT4G20860.1	80.4
AT1G76400.1	79.9
AT3G06810.1	85.4
AT1G27500.1	5.08
AT1G51760.1	9.05
AT5G18400.2	14.5
AT4G24830.1	335
AT3G13460.1	23.4
AT4G00305.1	11.6
AT1G48050.1	6.81
AT2G24270.4	674
AT1G66530.1	7.62
AT5G64760.1	63.4
AT2G41680.1	8.83
AT1G62390.1	4.96
AT3G12390.1	39.5
AT5G17170.1	127
AT3G13570.1	53
AT3G09630.1	117
AT4G00630.2	0.949
AT1G33140.1	742
AT5G43500.1	4.75
AT5G48655.1	39.2
AT5G11670.1	4.41
AT5G64080.1	1237
AT3G22270.1	8.84
AT1G68560.1	722
AT5G46750.1	32.8
AT5G50600.1	7479
AT1G71040.1	59.5
AT3G04680.1	13.4
AT1G03220.1	354
AT5G20500.1	29.3
AT1G71170.1	4.66
