Uniprot.Accession	Gene.name	Gene.Name..Synpcc7942.only.
Q31RN5	Synpcc7942_0252	Synpcc7942_0252
Q31QG0	Synpcc7942_0677	Synpcc7942_0677
Q31KQ3	Synpcc7942_2336	Synpcc7942_2336
Q31KI8	Synpcc7942_2401	Synpcc7942_2401
Q31PT9	Synpcc7942_0900	Synpcc7942_0900
Q31PT4	Synpcc7942_0905	Synpcc7942_0905
P38043	nrtA	Synpcc7942_1239
Q31S87	Synpcc7942_0050	Synpcc7942_0050
Q31RB8	Synpcc7942_0369	Synpcc7942_0369
Q31PR6	Synpcc7942_0923	Synpcc7942_0923
Q31PE9	Synpcc7942_1040	Synpcc7942_1040
Q31LA5	Synpcc7942_2134	Synpcc7942_2134
Q31KD9	Synpcc7942_2450	Synpcc7942_2450
P39660	cmpA	Synpcc7942_1488
Q6VYY4	NaH1	Synpcc7942_0546
Q07948	ORF1	Synpcc7942_2008
O50208	ORF310	Synpcc7942_2159
Q935Z1	SEA0005	Synpcc7942_2521
Q935Y1	SEA0015	Synpcc7942_2511
Q935X4	SEA0022	Synpcc7942_2503
Q54705	SEA0026	Synpcc7942_2499
Q54704	SEA0027	Synpcc7942_2498
Q935X0	SEA0029	Synpcc7942_2496
Q8GIT2	SEA0040	Synpcc7942_2486
Q8GIS8	SEA0044	Synpcc7942_2482
Q8GIS7	SEA0045	Synpcc7942_2481
Q8GIS6	SEA0046	Synpcc7942_2480
Q8GIS3	SEA0049	Synpcc7942_2477
Q935Y0	SEB0016	Synpcc7942_2510
Q935X8	SEB0018	Synpcc7942_2508
Q935X2	SEB0024	Synpcc7942_2501
Q8GIT7	SEB0035	Synpcc7942_2491
Q8GIR9	SEB0053	Synpcc7942_2473
Q8KPU3	SEC0015	Synpcc7942_1581
O33699	SEC0026	Synpcc7942_1592
Q54765	SEC0028	Synpcc7942_1594
Q8KPT7	SED0021	Synpcc7942_1587
Q79PG5	SED0024	Synpcc7942_1590
Q8KPS6	SEE0018	Synpcc7942_1209
Q8KPS4	SEE0020	Synpcc7942_1207
Q8KPR8	SEE0026	Synpcc7942_1201
Q79PF2	SEF0013	Synpcc7942_1214
Q8KPR2	SEF0032	Synpcc7942_1196
Q8KPQ5	SEF0040	Synpcc7942_1188
Q8KPQ2	SEF0043	Synpcc7942_1185
Q8KPQ0	SEF0045	Synpcc7942_1184
Q8GJL5	SEM0025	Synpcc7942_1824
Q79N42	SEM0037	Synpcc7942_1813
Q8GJN7	SEN0002	Synpcc7942_1845
Q8GJM6	SEN0013	Synpcc7942_1834
Q8GJM5	SEN0014	Synpcc7942_1833
Q8GJL3	SEN0028	Synpcc7942_1821
Q31SD5	Synpcc7942_0002	Synpcc7942_0002
Q31SD1	Synpcc7942_0006	Synpcc7942_0006
Q31SD0	Synpcc7942_0007	Synpcc7942_0007
Q31SC6	Synpcc7942_0011	Synpcc7942_0011
Q31SC4	Synpcc7942_0013	Synpcc7942_0013
Q31SC2	Synpcc7942_0015	Synpcc7942_0015
Q31SB6	Synpcc7942_0021	Synpcc7942_0021
Q31SB1	Synpcc7942_0026	Synpcc7942_0026
Q31SA9	Synpcc7942_0028	Synpcc7942_0028
Q31SA7	Synpcc7942_0030	Synpcc7942_0030
Q31SA6	Synpcc7942_0031	Synpcc7942_0031
Q31S93	Synpcc7942_0044	Synpcc7942_0044
Q31S91	Synpcc7942_0046	Synpcc7942_0046
Q31S90	Synpcc7942_0047	Synpcc7942_0047
Q31S88, Q31S89	Synpcc7942_0048, Synpcc7942_0049	Synpcc7942_0048, Synpcc7942_0049
Q31S84	Synpcc7942_0053	Synpcc7942_0053
Q31S83	Synpcc7942_0054	Synpcc7942_0054
Q31S82	Synpcc7942_0055	Synpcc7942_0055
Q31S80	Synpcc7942_0057	Synpcc7942_0057
Q31S75	Synpcc7942_0062	Synpcc7942_0062
Q31S69	Synpcc7942_0068	Synpcc7942_0068
Q31S66	Synpcc7942_0071	Synpcc7942_0071
Q31S65	Synpcc7942_0072	Synpcc7942_0072
Q31S62	Synpcc7942_0075	Synpcc7942_0075
Q31S61	Synpcc7942_0076	Synpcc7942_0076
Q31S60	Synpcc7942_0077	Synpcc7942_0077
Q31S59	Synpcc7942_0078	Synpcc7942_0078
Q31S58	Synpcc7942_0079	Synpcc7942_0079
Q31S56	Synpcc7942_0081	Synpcc7942_0081
Q31S55	Synpcc7942_0082	Synpcc7942_0082
Q31S51	Synpcc7942_0086	Synpcc7942_0086
Q31S49	Synpcc7942_0088	Synpcc7942_0088
Q31S48	Synpcc7942_0089	Synpcc7942_0089
Q31S47	Synpcc7942_0090	Synpcc7942_0090
Q31S45	Synpcc7942_0092	Synpcc7942_0092
Q31S42	Synpcc7942_0095	Synpcc7942_0095
Q31S41	Synpcc7942_0096	Synpcc7942_0096
Q31S39	Synpcc7942_0098	Synpcc7942_0098
Q31S38	Synpcc7942_0099	Synpcc7942_0099
Q31S37	Synpcc7942_0100	Synpcc7942_0100
Q31S36	Synpcc7942_0101	Synpcc7942_0101
Q31S35	Synpcc7942_0102	Synpcc7942_0102
Q31S32	Synpcc7942_0105	Synpcc7942_0105
Q31S29	Synpcc7942_0108	Synpcc7942_0108
Q31S28	Synpcc7942_0109	Synpcc7942_0109
Q31S27	Synpcc7942_0110	Synpcc7942_0110
Q31S26	Synpcc7942_0111	Synpcc7942_0111
Q31S25	Synpcc7942_0112	Synpcc7942_0112
Q31S13	Synpcc7942_0124	Synpcc7942_0124
Q31S11	Synpcc7942_0126	Synpcc7942_0126
Q31S09	Synpcc7942_0128	Synpcc7942_0128
Q31S08	Synpcc7942_0129	Synpcc7942_0129
Q31S07	Synpcc7942_0130	Synpcc7942_0130
Q31S06	Synpcc7942_0131	Synpcc7942_0131
Q31RZ8	Synpcc7942_0139	Synpcc7942_0139
Q31RZ4	Synpcc7942_0143	Synpcc7942_0143
Q31RY9	Synpcc7942_0148	Synpcc7942_0148
Q31RY6	Synpcc7942_0151	Synpcc7942_0151
Q31RY3	Synpcc7942_0154	Synpcc7942_0154
Q31RY1	Synpcc7942_0156	Synpcc7942_0156
Q31RX9	Synpcc7942_0158	Synpcc7942_0158
Q31RX8	Synpcc7942_0159	Synpcc7942_0159
Q31RX5	Synpcc7942_0162	Synpcc7942_0162
Q31RX4	Synpcc7942_0163	Synpcc7942_0163
Q31RX3	Synpcc7942_0164	Synpcc7942_0164
Q31RX1	Synpcc7942_0166	Synpcc7942_0166
Q31RX0	Synpcc7942_0167	Synpcc7942_0167
Q31RW9	Synpcc7942_0168	Synpcc7942_0168
Q31RW8	Synpcc7942_0169	Synpcc7942_0169
Q31RW7	Synpcc7942_0170	Synpcc7942_0170
Q31RW6	Synpcc7942_0171	Synpcc7942_0171
Q31RW5	Synpcc7942_0172	Synpcc7942_0172
Q31RW4	Synpcc7942_0173	Synpcc7942_0173
Q31RV9	Synpcc7942_0178	Synpcc7942_0178
Q31RV7	Synpcc7942_0180	Synpcc7942_0180
Q31RV6	Synpcc7942_0181	Synpcc7942_0181
Q31RV5	Synpcc7942_0182	Synpcc7942_0182
Q31RV2	Synpcc7942_0185	Synpcc7942_0185
Q31RU8	Synpcc7942_0189	Synpcc7942_0189
