"ID_REF"	"GSM356401"	"GSM356402"	"GSM356403"	"GSM356404"	"GSM356405"	"GSM356406"	"GSM356407"	"GSM356408"	"GSM356409"	"GSM356410"	"GSM356411"	"GSM356412"	"GSM356413"	"GSM356414"	"GSM356415"	"GSM356416"	"GSM356417"	"GSM356418"	"GSM356419"	"GSM356420"	"GSM356421"	"GSM356422"	"GSM356423"	"GSM356424"	"GSM356425"	"GSM356426"	"GSM356427"	"GSM356428"	"GSM356429"	"GSM356430"	"GSM356431"	"GSM356432"	"GSM356433"	"GSM356434"	"GSM356435"	"GSM356436"	"GSM356437"	"GSM356438"	"GSM356439"	"GSM356440"	"GSM356441"	"GSM356442"	"GSM356443"	"GSM356444"	"GSM356445"	"GSM356446"	"GSM356447"	"GSM356448"	"GSM356449"	"GSM356450"	"GSM356451"	"GSM356452"	"GSM356453"	"GSM356454"	"GSM356455"	"GSM356456"	"GSM356457"	"GSM356458"	"GSM356459"	"GSM356460"	"GSM356461"	"GSM356462"	"GSM356463"	"GSM356464"	"GSM356465"	"GSM356466"	"GSM356467"	"GSM356468"	"GSM356469"	"GSM356470"	"GSM356471"	"GSM356472"	"GSM356473"	"GSM356474"	"GSM356475"	"GSM356476"	"GSM356477"	"GSM356478"	"GSM356479"	"GSM356480"	"GSM356481"	"GSM356482"	"GSM356483"	"GSM356484"	"GSM356485"	"GSM356486"	"GSM356487"	"GSM356488"	"GSM356489"	"GSM356490"	"GSM356491"	"GSM356492"	"GSM356493"	"GSM356494"	"GSM356495"	"GSM356496"	"GSM356497"	"GSM356498"	"GSM356499"	"GSM356500"	"GSM356501"	"GSM356502"	"GSM356503"	"GSM356504"
"syc0001-h_at"	133.0815897	96.66648485	121.2636425	123.0060583	142.1533569	129.8407936	114.4966897	81.81922535	98.31092326	106.2313453	135.5612944	180.6578881	199.5866941	138.102033	117.8803741	134.0794254	164.4221159	150.773839	181.6264985	150.3321292	76.43152178	146.7470397	125.7043915	188.1310394	140.4693411	125.0350876	142.7085172	135.8729976	148.4535997	121.5030693	143.0140815	115.3181657	117.9946461	110.4246257	139.9240786	115.1148833	110.772748	117.652522	108.5799127	93.2939446	102.2209292	90.97376577	120.816716	139.5366268	116.9536623	116.4497325	224.828602	203.1385961	227.8484793	205.8738079	211.8173692	199.3590576	188.6972561	224.478261	253.8758981	145.9405466	156.7521922	160.4159404	172.0564086	139.5114845	161.0996265	149.915727	168.5973755	151.5186895	158.3757887	139.7110696	148.4151053	134.1982015	116.4832492	128.3569448	81.66151534	43.67280577	22.83111972	10.13663822	15.72599947	22.16797516	15.5365296	10.70504783	20.65221618	10.70504783	5.968301005	7.010385308	10.23137315	26.80998706	28.60995085	27.94680629	19.04172225	8.62087923	7.294590117	7.673529864	79.38787686	22.2627101	11.55766226	9.852433405	10.13663822	14.39971036	16.10493922	14.58918023	18.28384276	19.70486681	6.063035942	10.23137315	9.378758722	1813.3
"syc0002-h_at"	297.6119409	186.5720538	261.8373612	295.0752504	287.3537728	278.1006786	257.2639111	195.9453841	237.6313532	268.8799409	257.3017357	373.4730513	385.9141916	338.2750585	317.2088764	325.9873445	320.391487	357.3950577	315.721562	293.746351	326.7291302	255.2220591	312.3567153	347.5929535	364.6082306	335.6481138	316.9463058	305.1898022	302.0997844	338.76349	324.652068	295.9053252	279.3754543	293.9351968	304.3472224	292.9783257	283.8143949	306.1272872	232.2812499	284.4982418	265.4422494	247.3472829	254.8713889	276.9377208	256.4578174	260.6152942	294.9979691	309.5343481	326.8028154	285.0982295	294.4915818	312.2839238	292.5893191	303.1223968	257.6090413	348.2846707	209.7456837	365.25793	299.0683139	310.0876809	300.4153653	316.7463146	307.732188	259.157585	305.944986	318.8380084	333.1853022	317.1402441	290.597507	335.228098	141.5009223	73.62122594	59.63782327	51.30334487	73.80643657	79.82578209	54.17410965	24.35519801	38.70902194	23.79956612	11.8534804	13.98340266	19.44711629	43.33928772	68.99096015	29.81891164	35.56044121	21.94745981	31.393202	27.50377875	228.1794977	20.83619602	18.70627376	9.816163458	10.74221661	15.09466645	13.42777077	14.90945582	11.39045382	7.315819936	3.704212626	7.22321462	5.556318939	1855
"syc0003-m_at"	260.1167934	393.6861379	284.5938967	268.5851405	268.4564997	245.6482337	237.9534999	352.9312414	292.4952759	241.3239458	246.4876549	270.8279336	394.4495111	385.7099175	298.9744943	303.1496903	328.8277964	295.862861	362.3194202	415.8881973	304.1788907	347.4298211	265.9329325	443.7499729	388.3792745	335.8863181	360.3441372	281.9930354	306.9775965	291.0647056	326.7110914	344.1889543	322.5948142	269.3016785	330.7061127	300.7265058	298.47368	276.4284661	297.4535383	283.9668698	344.3437915	292.4102646	256.6874087	269.7249214	297.0293938	314.5039428	274.0912579	234.01424	144.7925775	415.2588711	205.0399969	264.1803447	235.1125809	171.0435353	213.0024314	283.285531	328.1760644	216.5888108	317.8752821	267.1764163	250.884432	247.3969628	273.0473848	218.1048462	321.7029201	257.0378375	295.6585824	285.8481495	312.4551343	243.771954	354.2992075	79.08884781	84.83220462	48.48899598	85.0205114	133.2270472	107.2407115	53.66743245	75.04025203	35.58998152	16.66515008	22.69096705	40.95672476	69.01443506	72.68641728	47.64161547	32.20045947	26.45710266	20.61959247	27.49278995	428.4920791	40.95672476	29.09339759	17.79499076	17.79499076	24.85649503	25.1389552	21.65527976	26.26879588	28.71678403	10.73348649	1.223994073	15.53530939	1824.5
"syc0004-m_at"	171.1506154	182.7163862	181.3597418	170.4161566	129.4035856	175.0079425	159.5166142	197.831279	183.3379952	114.1837368	146.751943	153.7502656	249.2920797	195.8758569	172.9098908	126.8422611	175.1903363	167.4521235	212.477665	243.8134335	221.1662662	176.8143288	188.1333765	208.4684658	200.9091649	161.0251728	148.5838571	170.6193144	162.6488545	171.5294325	175.0079361	172.4085121	171.5163248	135.7804646	154.6670906	180.3920896	159.4704518	164.7463254	137.3519788	163.9367256	158.7936664	165.2594034	144.5966109	137.5388005	168.8057705	166.1423336	206.7182611	150.2491635	232.8841842	204.6150662	126.9008321	198.8512514	163.3965903	179.7239552	222.8841398	178.5624091	265.1800504	154.7210905	151.1876586	145.9328745	132.9163192	145.5906625	188.0132541	146.3716036	142.8240874	169.4354058	201.4114831	164.8902203	214.5596787	138.539432	178.8940712	46.95112597	37.01256646	36.32714856	46.60841702	40.35397871	44.29513162	23.38988575	39.92559252	25.96020286	21.16227758	22.10472719	39.32585186	44.0380999	37.44095264	25.10343049	20.56253692	8.739078191	14.13674413	13.19429452	212.5652254	43.86674543	14.90783927	17.82086533	15.6789344	26.21723457	16.19299782	22.3617589	20.56253692	25.61749391	16.79273848	11.90913597	13.70835795	2005
"syc0005-m_at"	79.40799818	140.4529944	96.65389018	69.43229517	61.17829882	82.60792874	80.05381136	110.1808427	94.85180754	67.70805561	60.71018571	75.34008799	133.850997	125.562328	114.9796868	92.44558022	106.90419	102.3459515	113.8623143	141.5275595	114.8437744	103.0368014	131.1523084	133.5812748	122.0275148	91.21585308	103.3292649	92.46111224	101.8889665	95.80782113	109.3457646	126.0064025	84.72802306	95.17923988	102.3602888	109.2047523	87.28807476	79.04221337	93.25943899	90.0024115	78.13712487	82.64445771	81.44144968	88.24765174	87.31103978	76.41696781	109.7740179	106.8244946	119.1628919	136.9984455	86.76677227	93.54108465	62.36804077	145.6008069	134.275258	103.7920975	128.1187978	73.01887735	63.36355675	60.42510519	79.07649976	81.79520637	74.31754105	84.55596373	77.61002447	84.04798703	74.89217571	76.35978846	95.46631487	78.28186862	91.83416927	23.96844887	24.95591306	19.12089741	26.3922246	38.69064218	29.80346451	22.35259838	18.58228059	6.9122493	5.296398814	10.50302816	24.95591306	37.61340853	24.14798781	6.9122493	11.84957023	3.321470443	7.989482957	4.668012514	111.6732225	17.50504693	8.976947143	8.887177671	8.258791371	8.707638728	14.09380701	19.74928371	1.795389429	8.1690219	7.002018771	8.348560843	5.386168286	1913.6
"syc0006-h_at"	495.2068707	274.8052825	192.3600587	321.2429143	389.5421829	426.3839981	341.9030909	265.0491578	219.1958346	274.9448272	434.0370083	489.0315375	430.1507824	327.7955619	219.4159473	248.0470094	537.2509287	440.4784807	356.65964	358.758369	260.5392594	312.9956316	480.7439179	454.0137141	349.968449	323.6575544	261.3993335	243.0781827	289.8031878	268.0266314	285.0082131	295.3770291	284.1637844	239.3574613	229.3526317	312.579365	315.1762113	276.7409056	263.0839636	270.4996446	290.0040048	334.1348729	280.1015663	291.1569819	330.8599726	340.2949312	336.8485906	439.9866877	453.2823579	418.1224364	582.5090945	428.0773316	491.88653	561.0020841	467.6454682	407.4393608	381.5889221	358.6967761	427.6948846	360.6015763	407.1242034	396.0939313	478.810948	363.053708	446.8223624	451.2772182	349.3616581	324.2865179	272.536637	418.429368	197.9079546	146.7981476	153.8477761	140.059532	158.9276555	276.5942498	156.7505643	72.98438974	118.8069754	59.19614566	30.68661842	41.15739024	52.56120114	77.23490108	44.57853351	42.60878435	45.61524359	41.57207427	33.69307765	35.66282681	183.4976844	15.75799324	17.62407139	12.02583695	14.09925711	10.26342981	11.81849493	10.78178485	12.95887602	17.41672937	12.02583695	14.30659913	11.61115291	1657
"syc0007-m_at"	154.4630866	152.459267	141.8972556	112.8669987	156.7100135	159.6329049	151.8180355	194.2752036	162.9940146	151.8407651	144.3370591	157.4100597	234.3546888	178.4259576	168.9948892	159.1236324	189.7985482	198.7203644	180.7883408	182.9725152	194.9108676	177.7958906	196.5367754	198.9793442	230.2390981	162.6507041	203.2448344	211.1904693	188.1256656	221.9066043	185.3803005	194.7876965	183.9695509	168.9254559	205.170537	147.8231494	161.4400574	172.322416	192.5612642	159.8802307	170.4333886	172.1749433	173.5881391	171.524215	157.8130921	176.7518605	146.5496137	159.5298528	201.9320723	187.8913958	136.1196125	227.4251247	125.6978919	202.3146515	193.5372159	224.4543065	191.9437196	148.7280012	159.9449751	147.9533588	126.3300798	156.230136	160.2320539	152.5970032	156.2060622	194.9567318	205.5679157	171.4337709	225.0318444	166.5788604	167.7601307	54.36833555	43.12577181	43.12577181	40.49079594	51.73335967	43.56493446	22.57295999	39.52463812	15.45852513	9.134583032	2.283645758	23.09995517	49.62537897	33.63985867	24.06611299	9.749410736	17.74217089	13.2627119	15.01936249	198.1501858	12.6478842	19.49882147	7.29009992	7.377932449	7.641430036	1.141822879	1.405320466	11.33039626	13.08704684	0.351330117	5.094286691	3.337636108	1955.8
"syc0008-m_at"	145.2889225	208.9589142	202.3185467	195.4277888	165.5258773	175.0029389	151.1980677	232.3886094	197.8930639	172.0780188	143.5216261	158.2214425	250.8340385	251.4023646	252.345609	200.3457385	183.0709633	207.0335046	245.6802305	285.0253591	242.3042099	210.055243	191.6308916	238.0148363	251.8147042	233.3480245	239.9529566	219.1011038	263.1151657	233.8603418	245.7557368	235.0866713	258.4754198	226.8503206	254.7840987	198.0112481	209.9898477	193.5368415	212.5068516	228.8712618	179.8878293	228.3021216	229.4337597	237.5945082	226.7813151	237.7894156	137.0132467	150.4797373	156.1793776	147.5828878	134.125097	164.7754425	149.6482224	161.4445495	173.2571594	206.1929421	224.7294284	168.8373222	164.3964999	163.7430755	158.9069464	164.5791531	166.8268074	173.0674098	149.2422636	187.1416724	196.6703272	199.3517279	237.232161	157.9125987	265.7046749	183.1690444	108.3432318	68.41449021	49.42399115	39.84758564	36.11441061	10.79374519	19.72090287	28.89152849	11.84877292	21.26286647	49.5863031	31.32620785	63.95091137	63.22050756	48.61243136	20.45130668	18.8281871	15.7442599	268.3016662	24.83372954	15.01385609	9.657561488	12.57917673	7.872129952	15.41963599	19.15281102	19.233967	17.85431536	9.251781594	14.6080762	11.84877292	2116.7
"syc0009-m_at"	222.2659575	274.5217041	290.9691377	215.2121987	234.3759612	212.2015805	228.3681461	294.710499	302.0268664	218.2823349	193.5214255	224.6992241	377.2882411	326.7497966	287.3256851	198.1802122	236.5479717	217.7238314	293.6797992	345.5659193	287.0467237	207.0145649	178.9376557	301.4991009	297.4365421	267.0430821	319.7780783	241.7028337	274.0859859	332.8266262	269.6685687	312.4020771	258.7550201	242.3257357	304.7321894	263.1423056	256.4219399	287.9145357	297.3771918	240.2524387	248.7622401	268.9812917	213.9348799	225.0806054	270.3328851	231.943875	157.4581083	240.8265849	253.9251457	240.1135877	188.2971564	228.9133572	176.741368	220.1391289	247.9338663	226.0366342	302.0583416	200.7990796	223.4813985	197.7953292	167.1920219	170.5526176	207.0655579	216.8047194	193.405928	207.1981513	199.1757628	225.1012996	304.1156356	247.2321335	313.3892218	321.40994	147.3952275	89.0415964	75.20876354	81.02087819	42.8934061	14.64652891	31.03669222	12.43792535	6.974537577	9.531868022	27.89815031	32.54784203	86.01929678	105.6642443	52.19278953	27.08445426	21.5048242	21.5048242	389.644166	19.64494751	14.41404433	8.485687385	9.996837194	13.36786369	19.41246292	21.03985502	14.18155974	11.97295617	11.04301783	10.34556407	8.253202799	1477.8
"syc0010-h_at"	2176.71709	1741.46278	1867.895217	1907.86932	1817.161257	1813.864392	1891.887179	1436.924687	1664.428049	1884.358324	1895.063201	1975.582999	2022.001681	1903.731686	2261.516105	2276.223477	2304.80185	2404.719644	1978.890943	1850.153772	2872.285588	2662.943378	2859.955957	2414.346757	1947.512746	1798.144555	1891.673528	1824.151758	1872.578835	1921.15262	1823.543133	1886.704787	1880.745339	1663.593928	1744.641274	2217.69874	2208.310598	2177.310164	2160.692884	2112.172267	2184.171703	2001.479623	2219.327205	2018.497871	2011.943779	2009.135419	2340.852887	2348.755238	2456.794852	2325.312671	2690.456052	2219.513397	2733.678509	2142.372136	2198.05697	2294.561527	1968.896852	2350.374412	2413.256623	2402.943206	2752.462627	2366.271814	2662.653239	2435.557636	2686.129066	2278.244384	2398.482355	2338.638239	1991.860728	2309.775825	1042.39244	134.0204997	86.5993533	67.39815291	52.17295865	88.82979578	43.15421301	34.81429769	30.45038851	5.915521334	9.697575958	12.89777602	30.45038851	39.46913415	559.2592055	89.60560185	62.06448613	27.15321268	29.38365515	20.36490951	1766.413461	38.79030383	18.32841856	20.46188527	13.6735821	16.38890337	25.79555205	15.90402457	23.66208534	20.65583679	6.303424373	10.86128507	10.47338203	1771.4
