Gene.names,Classes,Protein.IDs,Protein.names,Half.life.protein,nZT00,nZT03,nZT06,nZT09,nZT12,nZT15,nZT18,nZT21,nZT24,nZT27,nZT30,nZT33,nZT36,nZT39,nZT42,nZT45,nb.timepoints.proteins,rel.amp.protein,Phase.protein,Pvalue.protein,FDR.protein,mRNA.ID,ZT00,ZT02,ZT04,ZT06,ZT08,ZT10,ZT12,ZT14,ZT16,ZT18,ZT20,ZT22,ZT24,ZT26,ZT28,ZT30,ZT32,ZT34,ZT36,ZT38,ZT40,ZT42,ZT44,ZT46,rel.amp.mRNA,Phase.mRNA,Pvalue.mRNA,FDR.mRNA
Clpx,3,Q9JHS4;Q6P8N8;F7BB92,"ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial",34.3,0.231633563,0.247011693,0.342414869,0.182786076,0.066366936,-0.140386032,-0.182946495,-0.06474492,0.13742562,0.25787303,0.276677356,0.209311357,0.078289477,-0.154064674,-0.102322191,-0.015782997,16,0.159217904,5.055329877,4.33E-09,1.21E-05,1423447_at,11.7168495,11.56027486,11.4698484,11.08822313,9.53184307,9.372562194,9.275715734,9.648660719,10.34754149,10.80734986,11.22302095,11.41922867,11.52795086,11.46745422,10.99683432,10.81699268,9.348353068,9.237815034,9.428274543,9.704470363,10.17832295,10.50662533,11.40085143,11.29100516,0.710698378,23.68070898,7.24E-12,3.60E-08
Upp2,3,Q8R093;Q8CGR7;A2APN2,Uridine phosphorylase 2,NA,-1.043484498,NA,-0.73092249,0.897650931,1.6177201,1.475735685,0.997175085,-0.090311471,-0.704783453,NA,-0.943508801,0.261967206,1.617454475,1.64358571,0.631980427,-0.691534165,14,1.039136355,13.99211753,3.19E-07,6.64E-05,1451548_at,9.556878949,9.400081472,9.877137391,11.22256053,12.23930763,11.98878212,12.32483667,11.34706843,11.10443551,10.59193677,9.628289068,9.971726325,9.196217144,9.680997906,11.04067858,11.34995472,12.34323699,12.33794565,12.01062711,11.45153715,10.69885038,10.31353689,10.51656919,10.04596245,0.857644262,10.77687599,4.47E-10,4.48E-07
Tdo2,3,P48776;C5NSA7,"Tryptophan 2,3-dioxygenase",NA,0.090695392,-0.075874867,0.384546035,0.565822831,0.594639298,0.680937055,0.23236215,0.22585182,0.115144234,0.141652905,0.390301764,0.57181472,0.755721801,0.525891083,0.313907407,0.150208856,16,0.215965782,12.06097492,1.04E-06,0.00144716,1419093_at,13.50215776,13.62410797,13.6685231,13.87127938,13.86699995,13.8643476,13.90303526,13.68470663,13.5915546,13.62770785,13.59972002,13.60541105,13.77928838,13.87490459,13.89417621,13.91212452,13.89284683,13.87988058,13.80374266,13.72709599,13.64117229,13.80026962,13.75051446,13.35099596,0.101422638,8.4525607,0.000426812,0.006258006
Gpcpd1,3,Q8C0L9;Q8C0L9-2;B0R058;Q8C0L9-3;A2AMD6;A2AMD7;D6RHB5;D6RGT7;D6RHS8,Glycerophosphocholine phosphodiesterase GPCPD1,NA,-0.116497841,-0.146524891,0.208777711,0.430431137,0.724873726,1.133717094,0.997808768,0.323624258,0.449158423,0.184244246,-0.024035935,0.588443592,0.791532683,1.024032381,0.849960307,0.627047902,16,0.35293985,15.24982451,3.20E-06,0.002968533,1429144_at,8.749064759,9.450512512,9.827173643,10.43264984,10.94582276,11.24356067,10.2860871,9.952585133,9.536092055,8.965710874,8.80533002,8.92239738,9.346387087,9.380104869,10.90608564,10.08690102,11.45743016,11.38371948,9.441637518,9.5968838,9.079517397,8.385729349,9.1668298,8.484814901,0.80000394,8.371629554,6.01E-08,1.13E-05
Ces1c,4,P23953;F6XTA4,Carboxylesterase 1C,NA,-0.242084171,-0.405338916,-0.513490746,-0.373620373,-0.204891925,-0.08120326,-0.202511756,-0.060739158,-0.146003451,-0.355354621,-0.396707521,-0.353323291,-0.307311939,-0.056167306,-0.069702167,-0.046700587,16,0.130577982,18.30510852,6.46E-06,0.003595636,1416913_at,13.54967424,13.46846392,13.57475455,13.59981292,13.63003814,13.61640144,13.72546692,13.55663081,13.59700486,13.53424784,13.78665324,13.66195127,13.48472493,13.62422648,13.54918457,13.68740152,13.67569682,13.62922874,13.6575927,13.51474605,13.54605349,13.6009112,13.52048648,13.47740493,0.026541194,10.35484712,0.238746075,0.46559365
Tfr2,4,Q9JKX3;Q9JKX3-3;Q9JKX3-2,Transferrin receptor protein 2,NA,0.003857147,-0.157949154,-0.003314389,0.114644302,0.322090407,0.447504882,0.207611049,0.027880862,-0.088684372,-0.367594722,-0.083383588,0.232345202,0.299027693,0.259599114,0.225818077,-0.120484657,16,0.186731581,13.98576089,6.39E-06,0.003595636,1425381_a_at,12.11176756,12.00077373,11.95939802,11.88406864,11.96793955,11.88606474,12.00760728,11.78369225,12.03497833,11.97137877,12.009675,12.13732049,12.08965643,11.99407427,11.96622171,12.06504523,12.01298853,12.03891088,11.72293123,11.67366693,11.83480968,11.92126816,11.97845586,11.84666218,0.059995164,1.222787651,0.021897228,0.102967758
Irf2bp2,4,E9Q1P8,,21.44,NA,0.084486748,-0.064055064,-0.311154315,-0.519340608,-0.384491944,-0.386148755,-0.244643546,-0.116231661,-0.005471851,-0.091395186,-0.244765308,-0.347098671,-0.354903461,-0.446467986,-0.059908989,15,0.158128468,2.417305492,1.84E-05,0.0058512,1433634_at,10.28447135,10.34057721,10.36816375,9.22682936,9.221404075,9.375778339,9.50951709,9.724059206,9.605570741,9.033373849,10.1949865,8.863241867,10.58381098,10.35397282,8.903709861,9.48974809,9.092303068,8.830058129,9.179289328,9.160083083,10.17102734,9.547711436,10.69249063,9.601486746,0.339738938,22.71217432,0.025062248,0.112695158
Pck1,3,Q9Z2V4,"Phosphoenolpyruvate carboxykinase, cytosolic [GTP]",NA,0.444026825,0.36499791,0.466157608,0.748262732,0.851156982,1.59400764,1.199851791,0.656353407,0.314499341,0.579921884,0.45332034,0.853370843,0.969084841,1.342012509,0.996225082,0.886886298,16,0.326934833,15.09802671,1.30E-05,0.006029833,1439617_s_at,9.612415269,10.97231598,9.776659413,10.21852154,11.14921765,11.24849488,10.18457322,11.07797573,10.11213138,9.91678606,7.351099097,9.397249197,9.706496012,9.836504634,9.422658646,10.08884424,10.95187528,11.26460584,11.20235894,10.33920895,9.143680843,8.240032467,10.27356021,7.817298734,0.599404213,9.241796565,0.000541283,0.007382037
Palld,3,Q9ET54-6;Q9ET54-4;Q9ET54-3;Q9ET54;Q9ET54-5;Q9ET54-2;D3Z1J5,Palladin,13.7,-0.174789893,0.114066471,-0.151599082,-0.295605489,-0.47019844,-0.339479485,-0.056028539,0.012198922,0.108176449,0.09915444,-0.097745622,-0.290424404,-0.454702328,-0.398459827,-0.282380495,0.094633695,16,0.175034139,0.510525023,2.49E-05,0.009899529,1433768_at,9.686106472,9.613589897,8.892700406,8.958876767,8.869901212,8.728938348,8.893214376,9.794021563,9.718318916,9.69132854,9.939768541,9.206191603,9.456811233,9.201412989,8.851107968,9.024514806,8.748008616,8.585773508,9.205956677,9.794678938,9.160941003,9.484060498,9.482839816,9.470095651,0.28550772,19.42947967,5.74E-05,0.001499541
Serpina1c,4,Q00896,Alpha-1-antitrypsin 1-3,NA,0.536544943,0.012038887,0.052296444,0.264495152,0.224115065,0.676480048,0.5239813,0.714301874,0.507685315,0.201825031,0.040853046,0.127053072,0.029543878,0.594225422,0.569564844,0.67196781,16,0.220229188,19.12945315,3.62E-05,0.012593075,1449321_x_at,12.84203574,12.80985872,12.72474904,12.83303731,12.57589497,12.64087504,12.4776548,12.57086058,12.40451352,12.7198459,12.86064774,12.67819532,12.80089816,13.06774032,12.95328797,12.73994348,12.79644891,12.55756661,12.68486796,12.91776655,12.50913255,12.9458362,13.09693418,12.90356943,0.103488325,0.136631038,0.008594535,0.053694715
