ID	default.pvalue
Cfl1	0.814832984060034
Cfl2	0.0275048535396964
Sntb2	0.729568274442482
Snta1	0.866931253157225
Serpine2	0.452306268712159
Nes	0.116260214826581
Rack1 Gnb2-rs1 Gnb2l1	0.686091461764482
Dag1	0.676724497454942
Ap2a1	0.328585946853653
Slc12a2	0.929937110678734
Arhgdib	0.25854781986287
Hnrnpd	0.883896420883715
Phb2	0.751059140906284
Myh11	0.857617052471025
Pmp2	0.309176541973451
Gng2	0.339074761758416
Cav1	0.0324309051769221
Tpp2	0.148661650969266
Mfge8	0.776736525901324
Aimp1	0.113770751909957
Ap1m1	0.0873126123029192
Acsl1	0.563730741986004
Vcan	0.0645631798701116
Epb41l2	0.864440514095479
Fcgrt	0.0875535883829851
Rsu1	0.401651791055978
Ecm1	0.766434930674354
Ddx3x D1Pas1-rs2 Ddx3 Dead3 Erh	0.360881340841713
Spr	0.598632386584691
Pura	0.174696880291671
Dync1h1	0.931881931189167
Uchl1	0.224624963552437
Azgp1	0.771301044440009
Mpz	0.0338195875464832
Sod3	0.266519500224299
Slk Kiaa0204 Stk2	0.1720676176132
Acly	0.382939067608747
Fgl2 Fiblp	0.413223604153045
Dnajc1	0.424438196151204
Flot2	0.769709692776829
Skp1 Skp1a	0.0466142522725413
Myo7a	0.607612531506385
Clec3b Tna	0.243207341855352
Tns1	0.330672277562329
Rcn1 Rca1 Rcn	0.709491347279781
Nsf	0.607978988844416
Napa	0.568958311592416
Eps15l1	0.567523028273508
Eps15	0.172475591388625
Cox6c	0.195611110704649
Dst	0.248274510103655
Wars	0.87118602745851
Utrn	0.114359457274109
Capzb	0.250764966209824
Atp2b1	0.170359664797809
Man2a1	0.279676793450345
Hgs	0.269373989608489
Crkl Crkol	0.291204607927728
Cct4	0.202710030085918
Cct3	0.78209883075529
Fkbp10	0.299277818566247
Myo6	0.832346303224602
Pea15 Pea15a	0.572580352321675
Snrpb2	0.242836395066282
Pls3	0.223388375691353
Lcp1	0.919198186246443
Pls1	0.39326315382086
Sub1 Pc4 Rpo2tc1	0.0135844689538613
Hnrnpa2b1	0.358907540679875
Hnrnpa1 Fli-2 Hnrpa1 Tis	0.100253658303199
Fxr1	0.0330750336285367
Pdia4	0.840581046189866
Prkar1a	0.107392620055927
Psmb6 Lmp19	0.946010833880312
Psmb1	0.169220939523656
Psma2	0.67796859411583
Gpx1	0.0170842267411612
Tpt1	0.698571809603457
Abi1	0.334410316973545
Glg1	0.696274281730021
Il1rap	0.664370406297824
Ddx6 Hlr2 Rck	0.546818605678088
Cnn1	0.820099292088996
Ddx5	0.678792260553513
Serpina3n Spi2	0.682803180234215
Atp2a1	0.0908618291484719
Rab10	0.264528227487536
Tnni2	0.00685694950265493
Ssr1	0.181542823778833
Cnn2	0.773875198286605
Pcolce	0.621918431598367
Ctnnd1	0.17737384474902
Gpx3	0.854592565029324
Hpx	0.945578030277464
Rpsa	0.850336978278308
Cdkn2c	0.148690478873824
Rpl13	0.475192548717966
Cfi	0.570156988667037
Rab5b	0.616179568062708
Mpp1	0.525916068625659
Hcfc1	0.823375129768856
Txlna	0.0937134050735048
Cfb	0.827796491552697
G6pdx G6pd G6pd-1	0.763039656638041
Tkt	0.898875515265297
Anxa5	0.584485491763952
Tagln	0.672414287162869
Rpl26	0.116706945068825
Psmc1	0.076462564245612
Ppm1g	0.0954433410639909
Etfa	0.285191501790904
Naca	0.50570641682043
Etfb	0.151955160738803
Etfdh	0.117001433022763
Mybbp1a P160	0.665727663380719
Nrp1 Nrp	0.871731233302058
Cdc42	0.0338470107721288
Capza2	0.316162739836591
Capza1	0.137989210966391
Prpf19 Prp19 Snev	0.28088613306764
Eif5a	0.920499975073121
