Protein.ID	protein_ZT0	protein_ZT4	protein_ZT8	protein_ZT12	protein_ZT16	protein_ZT20	protein_ZT24	protein_ZT28	protein_ZT32	protein_ZT36	protein_ZT40	protein_ZT44	protein_ZT48	protein_ZT52	protein_ZT56	protein_ZT60	protein_ZT64	protein_ZT68	protein_ZT72	protein_ZT76	protein_ZT80	protein_ZT84	protein_ZT88	protein_ZT92	protein_ZT96	protein_ZT100	protein_ZT104	protein_ZT108	protein_ZT112	protein_ZT116	protein_mean.level	protein_max.level	protein_rhythm.pvalue	protein.length	aa.synthesis.average.cost	Mass	Uniprot.ID	RNA_LD03	RNA_LD03	RNA_LD03	RNA_LD06	RNA_LD06	RNA_LD06	RNA_LD09	RNA_LD09	RNA_LD09	RNA_LD12	RNA_LD12	RNA_LD12	RNA_LD15	RNA_LD15	RNA_LD15	RNA_LD18	RNA_LD18	RNA_LD18	RNA_LD21	RNA_LD21	RNA_LD21	RNA_LD24	RNA_LD24	RNA_LD24	RNA_mean.level	RNA_max.level	RNA_rhythm.pvalue_original	RNA_rhythm.pvalue_Brown
Ot01g00400	162131.9826	128145.0734	181533.0902	175164.5049	170161.8855	142806.4428	172019.1599	140823.9357	187097.799	158813.7601	143162.149	178022.9717	120473.0889	174525.3089	155499.5183	224746.122	146949.4629	132914.6628	109403.9139	129127.2136	150953.3105	148592.3967	226541.2922	142621.2699	146038.3756	211538.0224	158187.1213	131640.5823	105604.6742	131748.5741	156232.922176667	226541.2922	0.300685521591952	490	19.3	54.93	NA	7.363140058	7.213292093	7.478530201	6.356069138	6.387267363	6.388309827	5.166623974	6.162998312	6.266340172	7.478868484	7.196633106	7.267558033	8.071762032	8.062247274	8.279916892	8.384611047	8.323146677	8.571731889	7.951794692	7.558610043	7.684266363	7.522536471	7.623409867	7.577599315	7.34738597179167	8.571731889	6.7123922893479e-07	6.7123922893479e-07
Ot01g00830	22506914.64	21481260.85	25745507.55	19682318.28	23235144.28	21691472.61	21486079.91	24643445.76	22499713.84	24137135.69	20186338.01	25988681.44	21447614.37	24110467.4	21230715.18	20205655.32	19766896.41	19285481.9	20584141.74	20884394.32	18883205.36	23679308.11	26625013.95	26077256.53	22524483.17	19032631.52	20234307.95	21168862.24	19067577.32	17177409.26	21842314.497	26625013.95	0.922617024213157	203	17.94	21.385	NA	7.731462546	7.870532574	7.900017436	8.073911369	8.220680455	8.290292583	7.677523536	8.099659279	8.039096004	7.284570982	7.619804794	7.719074993	5.380219811	4.786200401	5.045006182	2.935501637	2.567930395	2.851221216	3.497188763	3.796026916	3.243112218	6.355486476	6.798037783	6.706100726	6.18702746145833	8.290292583	0.00187403229171275	0.00187403229171275
Ot01g00890	34781096.62	32197618.94	37134319.55	32234379.86	34756243.3	35856535.59	33789903.06	38622977.52	31990960.45	35976901.89	31276063.17	39094109.99	29735817.36	33035909.62	33791973.91	31047440.6	30809029.05	30383010.34	28950528.25	32232722.62	28895733.23	33562962.44	36322400.49	35509307.6	33209175.01	30693478.28	30939390.11	27511174.07	27316877.14	29083923.23	32691398.7763333	39094109.99	0.874570896767674	1169	20.25	128.452	NA	7.492940104	7.317138834	7.246489635	7.857810869	7.56375237	7.781810459	7.659750645	7.669631961	7.38578727	7.077225021	7.252636422	6.335540736	8.445412195	8.593440948	8.866026387	8.501586934	8.804489359	9.021152495	8.063264052	7.903007657	8.129375823	7.126278394	7.152616347	7.295246656	7.77260048220833	9.021152495	0.00668442176736804	0.00668442176736804
Ot01g01030	686462.7465	561192.0045	674963.2893	697376.565	736270.2292	747631.571	649268.1934	582456.9458	577373.7256	709046.9371	741188.419	824966.5989	635983.6282	442125.0339	633221.167	593205.475	753000.1141	694061.0802	747626.6236	554121.7874	540412.6852	735216.9014	780742.1081	834015.1295	686034.0552	582368.6811	712605.6018	665663.2286	576402.1767	747281.0597	670076.1254	834015.1295	8.11975677461061e-07	527	18.67	56.737	NA	6.771375861	6.974843367	7.140716207	6.873392712	6.584303134	6.492256427	7.043364314	7.420836254	7.315376947	7.207568603	6.246763027	6.281948202	7.183439332	7.868203254	7.403613739	6.671068667	7.614668686	6.850392016	7.662983803	8.601537426	NA	7.756372178	8.3496353085	8.316821465	7.24484699693478	8.601537426	0.00801669652307574	0.00801669652307574
Ot01g01510	781571.053	569919.583	751879.9465	622670.4015	584968.4273	652859.6357	730296.3434	613873.0474	662531.1122	769849.8249	830402.9336	582782.97	635921.9483	346829.9278	696798.1526	478784.1094	555854.8195	651335.914	543544.6511	615132.9946	567440.8396	796995.9973	671912.0448	687547.0208	648121.8094	752648.9152	668659.541	628433.7539	596123.1828	571305.5598	642233.215346667	830402.9336	0.869046186935047	246	20.87	28.131	NA	5.761491495	5.335948665	5.009375335	5.228327552	5.000514225	4.729583686	5.37516611	5.090917743	4.883804483	4.697898036	4.852806028	4.469013479	7.088721192	7.165084218	7.107213616	8.94458307	9.205990264	9.107180505	9.042543801	8.723785029	8.856366581	7.807459395	6.820714684	6.988757052	6.55388526016667	9.205990264	0.00396528188470551	0.00396528188470551
Ot01g01720	75509.82964	54933.51531	63358.51717	83448.93974	71525.41428	83617.8139	64947.19166	55844.60706	93884.1021	93194.68652	83112.01503	78250.48728	47244.44406	61432.92514	67746.12544	81021.20838	58724.91065	64049.651	40309.65704	68694.55681	66604.22746	56959.98411	71772.43698	61327.20934	61203.66038	55923.94396	62866.74285	52954.19645	71143.65552	48125.6212	66657.7425486667	93884.1021	0.0469215824209074	1184	20.2	134.284	NA	7.43336603	7.38761788	7.54808026	6.927750979	7.090830523	7.052423945	7.011512312	6.87424546	6.651845355	7.3806966	7.629715092	7.638835241	7.728813074	7.731911211	7.9648322055	7.866758409	7.934689056	8.150469964	7.847928029	8.252747802	8.362161141	7.88398898	7.972884568	8.042739795	7.5986184963125	8.362161141	5.95810287484736e-07	5.95810287484736e-07
Ot01g02220	3575303.253	3800707.301	4650221.07	4223162.204	4865427.253	3079195.569	4307551.732	4773492.092	2998127.011	3792990.364	4120989.334	5380306.18	3495200.558	2934440.38	3221106.786	3669925.046	3053233.638	2707453.809	2451662.409	2451684.588	2819800.93	3437533.459	3838691.715	3473012.782	3033070.608	2901702.961	3152667.702	2673783.718	2588572.95	2680037.957	3471701.8453	5380306.18	0.742641804451046	282	18.19	29.348	NA	7.822450719	8.366442161	7.881409917	7.902688008	8.789687094	8.407359273	8.982590823	9.745009669	10.119115543	8.05480812	8.169133092	7.930044378	7.554574377	7.457472831	7.257465225	7.425801033	7.503575777	7.344020374	7.888898081	7.643620351	7.192929348	7.854259224	8.132290784	7.802775042	8.0511842185	10.119115543	6.46039649379181e-07	6.46039649379181e-07
Ot01g02400	143845.5626	203876.142	146410.3813	152019.0588	163338.3302	147131.9798	203082.4391	248745.8066	165957.1063	140599.5497	147638.3053	123295.304	203766.9679	294830.5516	185590.3593	203190.0274	209986.9736	155105.3485	195679.347	244376.9636	200423.965	199461.7075	166489.058	207661.0165	189062.9229	451236.0117	149091.9819	286722.6571	212571.2247	286513.8016	200923.361716667	451236.0117	0.429972497876935	130	21.52	14.956	NA	7.404766452	7.497147826	7.696417804	7.644320752	8.514352527	8.680016952	8.260792853	8.567063909	8.959556563	7.898741172	8.205710036	8.564115295	7.582214416	7.704393531	7.4826495	7.425492913	7.286283987	7.212969871	6.94956169	6.45699141	6.604706385	7.094426847	6.954945724	6.554873531	7.63343799775	8.959556563	6.87592778582244e-07	6.87592778582244e-07
Ot01g03190	1532254.759	1530006.172	2059841.086	1846579.098	1454056.536	1545324.593	1132098.906	1242008.255	1900266.112	1847723.652	2165262.54	1538398.924	1292926.211	1535495.565	1899607.047	1846812.706	1786405.754	1545934.335	1147719.95	2199832.467	2108309.459	1622706.98	2105651.016	1515999.877	1346452.14	2300340.823	1956673.741	1439195.59	1736584.86	1741704.665	1697405.79396667	2300340.823	0.0162023041053039	166	18.75	18.019	NA	7.360892391	6.986937644	6.978244792	7.243621668	6.851582955	6.820524953	7.539426597	7.845498194	8.021661298	7.312712843	7.446660943	7.526133128	7.376544464	7.115300631	7.172920755	7.423995234	7.211161217	7.401611171	7.559561992	7.783580689	7.858009885	7.353983507	7.511822537	7.544034962	7.38526768541667	8.021661298	0.532040800575818	0.532040800575818
Ot01g03210	596663.9605	516923.2254	680533.758	496997.9669	657110.0495	660391.2263	548152.2249	675779.9736	496790.1977	710081.5229	578330.4313	764867.9471	495223.1737	549821.9206	491575.3777	672185.5178	515786.6105	541649.5955	366595.6609	468760.7025	505589.1184	570755.395	775495.3661	667765.7607	561031.6398	561962.3274	586922.5945	426713.7778	517033.8629	511598.5339	572302.98066	775495.3661	0.362617439383146	141	20.16	15.622	NA	7.262703387	7.326870526	7.305453233	7.396460106	7.491437538	7.446793065	7.788808694	7.753515028	7.731487979	7.312490566	7.382753094	7.332011087	7.013897957	6.783814858	7.082923628	7.253091759	7.464182205	7.625621677	7.288748474	7.627274439	7.850590468	7.265105051	7.208897224	7.269631224	7.38602346945833	7.850590468	0.475070275660224	0.475070275660224
