Table S7. PROTEOME Synaptoneurosomes and Total Forebrain,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Normalized Intesities of Forebrain samples collected around the 24 hours in 4 hour intervals.,,,,,,,,,,,,,,,,,,,,,,,,,,
4 biological replicates per time point.,,,,,,,,,,,,,,,,,,,,,,,,,,
Periodicity analysis done with the Perseus software as describes in the Materials and Methods section.,,,,,,,,,,,,,,,,,,,,,,,,,,
Phase and q-value: Obtained from Time series analisys performed with Perseus software.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Gene names,Majority protein IDs,Protein names,Peptides,Unique sequence coverage [%],Phase_,q-value_,ZT0_1,ZT0_2,ZT0_3,ZT0_4,ZT4_1,ZT4_2,ZT8_1,ZT8_2,ZT8_3,ZT12_1,ZT12_2,ZT12_3,ZT16_1,ZT16_2,ZT16_3,ZT16_4,ZT20_1,ZT20_2,ZT20_3,ZT20_4
Ppp2r5e,Q61151,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform,19,40.9,1.685885137,0,2.150492,2.07436,1.93059,1.92333,2.14093,2.092739,1.953831,1.718248,1.708406,1.566359,1.84087,1.63652,1.758387,1.7654,1.678799,1.663191,1.752844,1.8771,2.008081,1.793051
Armc1,Q9D7A8,Armadillo repeat-containing protein 1,11,49.6,2.94876295,0,0.6341,0.6820812,0.6786594,0.5925999,0.8466892,0.5065994,0.7494411,0.9557495,0.6588173,-0.2384109,-0.4539795,-0.3662395,-0.2597237,-0.1550903,-0.4525604,0.04883003,0.4152546,0.03174019,0.5242405,0.1645412
Necab2,Q91ZP9;D3Z103;Q91ZP9-2,N-terminal EF-hand calcium-binding protein 2,16,51.2,3.256300741,0,1.088821,0.831871,0.7626801,0.8685303,1.226919,0.9713783,0.9585896,1.116989,0.8517761,0.4365902,0.6164894,0.2646809,0.2964554,0.2646313,0.6021099,0.6038303,0.6287136,0.8666191,0.7340107,0.6922207
Tln2,E9PUM4;Q71LX4,Talin-2,109,44,4.287453545,0,3.494371,3.565069,3.574699,3.4842,3.527319,3.487608,3.582729,3.6036,3.585297,3.296341,3.51824,3.35537,3.271896,3.31296,3.332361,3.34691,3.437284,3.447329,3.338482,3.378309
Clu,Q06890;E9PUU2;E9PXG5;E9Q8Y5;E9Q9B8,Clusterin;Clusterin beta chain;Clusterin alpha chain,14,30.4,4.430371225,0,2.025471,2.257421,2.03521,2.027281,2.142639,2.18821,2.244921,2.35639,2.005556,1.93001,1.913349,1.72566,1.682405,1.798031,1.486629,1.757441,1.926445,1.80872,1.70179,1.924789
Atp5j,P97450;E9QAD6,"ATP synthase-coupling factor 6, mitochondrial",9,50.9,4.590585295,0,3.968229,4.083731,4.113522,4.0952,4.24896,4.187319,4.129292,4.007938,3.988758,3.867081,3.973261,3.860981,3.661907,3.91984,3.906851,3.810831,3.761824,3.707979,3.813931,3.81212
Serpinh1,P19324,Serpin H1,10,33.6,5.221767586,0,-1.00647,-0.5443993,-0.4191608,-1.24287,-0.4950409,-0.6918716,-0.4941101,-0.3499718,-0.5128231,-1.32799,-1.065929,-1.357491,-1.268993,-1.58025,-1.38069,-1.382219,-1.691366,-1.619869,-1.59738,-1.201571
Bsg,P18572;K3W4Q8;P18572-2;J3QP71,Basigin,9,21.9,5.481350001,0,2.968981,2.701941,2.66243,2.644089,2.897638,2.921949,2.954369,2.950581,3.034866,2.52334,2.689421,2.57864,2.584225,2.60808,2.622229,2.476221,2.495253,2.49135,2.655663,2.512049
Nptx1,Q62443,Neuronal pentraxin-1,13,28.5,5.712147711,0,1.310791,1.34617,1.28384,1.313051,1.393129,1.40382,1.59672,1.467499,1.481827,1.20797,1.32642,1.0917,0.9248466,1.15501,1.246319,1.12615,0.9661636,1.094,1.021151,1.25528
04.Sep,P28661;P28661-2;P28661-4;P28661-3;P28661-5;Q5ND13;Q5ND09,Septin-4,23,39.5,10.76463644,0,2.639273,2.554029,2.54332,2.713722,2.63447,2.599379,2.93576,3.09124,3.035458,3.128048,2.906229,2.988571,2.724037,2.910952,2.762358,2.772051,2.713884,2.73863,2.4296,2.671659
Serbp1,Q9CY58-2;Q9CY58-3,Plasminogen activator inhibitor 1 RNA-binding protein,18,7.4,12.04882037,0,1.528,1.808441,1.662279,1.58086,1.82255,1.77063,2.21862,2.15522,2.090977,2.10766,2.052889,2.03199,2.237736,1.96014,1.995199,2.335121,1.620424,1.936131,1.892481,1.77556
Dnajb2,Q3TB24;Q9QYI5;Q9QYI5-2,DnaJ homolog subfamily B member 2,14,48.8,12.11259926,0,-0.1680183,-0.1554298,-0.1276608,-0.1064987,-0.08422089,-0.01872063,0.1163502,0.3606682,0.1971264,0.4308395,0.2449188,0.313921,0.09766579,0.1556301,0.2215595,0.2155209,0.09846497,-0.007499695,0.02423096,-0.000329971
Vapa,Q9WV55,Vesicle-associated membrane protein-associated protein A,16,49,12.42277387,0,3.573801,3.517469,3.640808,3.492092,3.524599,3.897619,3.81765,3.70042,3.719616,4.041729,3.976099,4.030029,3.937416,4.0077,3.785841,3.97938,3.550203,3.537371,3.65448,3.62689
Wipf3,P0C7L0;D3Z5R4;E9Q2D0;P0C7L0-2,WAS/WASL-interacting protein family member 3,13,28.5,12.75433322,0,0.6599712,0.6079502,0.6211491,0.5255909,0.5415096,0.6658287,0.7063408,0.6502495,1.011316,1.04455,0.7917004,1.06575,0.9273758,1.006281,0.9562988,0.8239708,0.5936852,0.6282692,0.5556412,0.7021313
Srsf1,Q6PDM2;H7BX95;Q6PDM2-3;Q6PDM2-2,Serine/arginine-rich splicing factor 1,14,46.4,13.27358632,0,1.499491,1.321241,1.260809,1.43639,1.58457,1.417799,1.66186,1.610079,1.577696,2.043589,1.84713,1.984461,1.783445,1.93523,1.870209,1.768671,1.631824,1.43856,1.60783,1.637411
Rtn1,Q8K0T0,Reticulon-1,39,45.6,13.46597303,0,4.93907,4.981199,5.00351,4.965252,4.981089,4.947779,5.082981,5.063179,5.033928,5.1688,5.26018,5.29084,5.258125,5.18535,5.19729,5.263311,4.961435,5.03219,5.009052,5.026232
Cdc42ep4,Q9JM96;A2A6Q2,Cdc42 effector protein 4,13,40.1,13.48788098,0,-0.7122784,-0.7692089,-0.8675709,-0.7578602,-0.9488106,-0.7549114,-0.4689693,-0.5083103,-0.5571728,-0.2281113,-0.523241,-0.06496048,-0.2308235,-0.1264687,-0.08246994,-0.345829,-0.9349957,-0.8677197,-0.4780598,-0.5101089
