Protein.ID	protein.length	aa.synthesis.average.cost
AT3G05780.1	924	20.07
AT1G24405.1	61	20.77
AT2G27490.4	232	20.25
AT2G27490.1	232	20.25
AT2G27490.3	232	20.25
AT2G27490.2	232	20.25
AT3G13276.1	38	21.89
AT1G71740.1	130	20.31
AT1G52920.1	410	20.98
AT2G17370.1	562	19.25
AT4G13615.1	71	15.01
AT3G46680.1	449	19.97
AT1G70830.3	201	20.16
AT1G70830.2	249	20.41
AT1G70830.5	173	20.42
AT1G70830.4	288	20.18
AT1G70830.1	335	20.49
AT2G34090.3	485	20.05
AT2G34090.2	471	19.79
AT2G34090.1	445	19.78
AT2G34090.4	506	20
AT2G34090.5	474	19.9
AT1G65541.1	31	22.55
AT2G01050.1	515	19.33
AT2G07751.1	118	23.47
AT4G20565.1	177	19.25
AT1G61566.1	75	20.29
AT4G29530.2	234	20.37
AT4G29530.1	245	20.74
AT5G09225.1	68	20.82
AT1G21100.1	373	20.3
AT1G73150.1	461	18.61
AT1G73150.2	432	19.26
AT3G51750.3	110	17.52
AT3G51750.1	110	17.52
AT3G51750.2	109	17.57
AT1G07010.1	389	19.69
AT1G07010.2	385	19.71
AT1G07010.3	400	20.02
AT1G32080.1	512	20.05
AT1G16710.5	1641	19.11
AT1G16710.7	1680	19.05
AT1G16710.1	1706	19.08
AT1G16710.4	1641	19.11
AT1G16710.8	1680	19.05
AT1G16710.10	1680	19.05
AT1G16710.6	1641	19.11
AT1G16710.3	1680	19.05
AT1G16710.9	1470	18.97
AT1G16710.2	1677	19.07
AT1G07590.1	534	20.8
AT5G49170.1	185	21.54
AT2G40240.1	351	20.19
AT4G30380.2	126	20.72
AT4G30380.1	124	20.9
AT2G20619.1	66	21.83
AT3G05830.2	349	19.44
AT3G05830.1	336	19.24
AT3G05830.3	336	19.24
AT5G11430.6	694	18.94
AT5G11430.2	694	18.94
AT5G11430.4	694	18.94
AT5G11430.3	873	18.57
AT5G11430.5	639	18.59
AT5G11430.1	873	18.57
AT1G20530.1	614	19.94
AT4G23170.1	265	19.99
AT1G44780.2	462	17.92
AT1G44780.1	463	17.91
AT1G60880.1	201	19.71
AT1G06160.1	244	18.81
AT3G07260.1	251	19.99
AT1G21090.1	242	20.55
AT1G21090.2	225	20.26
AT1G76730.1	354	19.78
AT1G03970.1	270	18.92
AT5G19160.1	464	22.28
AT5G19160.2	350	22.91
AT3G49744.1	57	21.93
AT5G28820.1	172	20.42
AT4G12530.1	117	19.5
AT4G20050.1	481	19.08
AT4G20050.5	506	19.15
AT4G20050.3	383	19.25
AT4G20050.2	481	19.08
AT4G20050.6	481	19.08
AT4G20050.7	481	19.08
AT4G20050.4	383	19.25
AT5G53810.1	378	20.52
AT2G28690.1	231	19.52
AT5G01530.1	290	19.91
AT3G62800.3	329	18.59
AT3G62800.1	355	18.59
AT3G62800.2	355	18.59
ATCG00900.1	155	19.62
AT3G11385.1	766	21.39
AT5G07010.1	359	21.5
AT3G63040.1	187	20.06
AT2G26570.2	807	17.5
AT2G26570.1	807	17.5
AT3G05560.2	124	20.39
AT3G05560.3	124	20.39
AT3G05560.1	124	20.39
AT5G12080.3	734	20.95
AT5G12080.2	734	20.95
AT5G12080.1	734	20.95
AT1G50870.1	396	22.54
AT2G20610.2	436	20.19
AT2G20610.1	462	19.99
AT5G02940.2	836	20.61
AT5G02940.1	813	20.61
AT1G68430.1	146	19.11
AT1G66550.2	249	20.56
AT1G66550.1	254	20.59
AT1G09380.1	374	20.95
AT3G48840.1	189	20.8
AT3G48840.2	137	21.4
AT5G61800.1	499	20.91
AT5G01445.1	113	21.65
AT4G35500.1	438	20.31
AT4G35500.2	439	20.43
AT1G80310.1	464	19.78
AT2G39400.2	248	21.79
AT2G39400.1	311	21.26
AT4G04990.1	303	19.71
AT3G60530.1	240	19.1
AT2G46180.1	725	18.21
AT2G22270.1	328	18.4
AT2G22270.2	289	18.48
AT2G43660.1	122	20.56
AT2G43660.2	123	20.55
AT1G03910.2	716	20.05
AT1G03910.1	672	19.94
AT1G77590.1	691	20.39
AT1G77590.2	545	20.24
AT1G79020.1	453	20.04
AT5G24420.1	252	21.23
AT5G39490.1	566	21.39
AT3G26922.2	306	20.43
AT3G26922.1	306	20.43
AT3G26922.4	281	20.48
AT3G26922.5	277	20.69
AT3G26922.3	277	20.69
AT3G50450.1	189	21.34
AT3G17160.1	165	15.18
AT1G34315.1	272	21.03
AT5G08580.2	391	21.12
AT5G08580.1	391	21.12
AT2G28360.1	788	18.88
AT4G25000.1	423	21.43
AT5G27410.4	471	20.38
AT5G27410.1	559	20.49
AT5G27410.3	504	20.62
AT5G27410.2	936	20.22
AT5G65200.1	556	18.64
AT5G23535.1	159	20.19
AT5G23535.2	159	20.19
AT1G05230.1	721	18.97
AT1G05230.5	721	18.97
AT1G05230.12	609	19.35
AT1G05230.6	721	18.97
AT1G05230.2	721	18.97
AT1G05230.11	721	18.97
AT1G05230.3	719	18.98
AT1G05230.7	721	18.97
AT1G05230.10	721	18.97
AT1G05230.9	721	18.97
AT1G05230.4	721	18.97
AT1G05230.8	721	18.97
AT1G79830.1	956	17.56
AT1G79830.3	956	17.56
AT1G79830.2	956	17.56
AT1G79830.4	976	17.73
AT1G79830.5	970	17.54
AT5G09480.1	144	18.46
AT5G56480.1	113	18.88
AT5G60820.1	419	18.84
AT5G55820.7	1702	17.87
AT5G55820.5	1769	17.91
AT5G55820.8	1702	17.87
AT5G55820.10	1732	17.97
AT5G55820.4	1763	18
AT5G55820.9	1765	17.91
AT5G55820.2	1737	17.91
AT5G55820.11	1795	18
AT5G55820.3	1733	17.91
AT5G55820.6	1706	17.88
AT5G55820.1	1826	18.03
AT5G44950.1	438	21.35
AT4G31140.1	484	20
AT4G35910.1	458	19.23
AT3G56220.2	139	19.96
AT3G56220.1	156	18.97
AT2G19970.1	177	20.94
AT5G54520.1	457	20.03
AT2G04032.1	365	20.04
AT5G03455.1	146	20.65
AT5G03455.2	108	22.04
AT1G48140.2	80	21.91
AT1G48140.1	89	22.1
AT4G15050.1	396	21.74
ATCG00420.1	158	22.77
AT5G30360.1	86	21.05
AT2G32600.1	277	20.06
AT2G41010.1	238	18.73
AT5G07170.2	360	20.31
AT5G07170.1	363	20.31
AT5G32670.1	192	20.58
AT1G60250.1	251	21.21
AT4G09012.1	124	21.31
AT3G26355.1	17	25.94
AT5G02710.1	176	20.22
AT5G02710.2	176	20.22
AT5G02710.3	176	20.22
AT4G10110.1	173	19.32
AT5G13900.1	151	19.75
AT5G16380.1	195	20.17
AT5G40630.1	165	19.22
AT1G55670.1	160	19.54
AT5G66940.1	225	19.42
AT3G06520.1	466	21.17
AT3G06520.2	466	21.17
AT3G52870.1	456	20.14
AT3G02900.2	168	18.9
AT3G02900.1	162	18.39
AT1G31520.1	132	21.83
AT5G57660.1	355	19.46
AT3G09110.1	343	20.62
AT4G23690.1	187	23.17
AT1G05035.1	120	22.61
AT5G45700.1	272	21.19
AT5G40410.1	608	21.33
AT3G06580.1	496	19.63
AT3G14920.1	609	20.89
AT1G77610.1	336	22.95
AT1G19170.1	506	20.92
AT2G20740.1	221	21.75
AT2G20740.2	180	21.54
AT2G20740.3	131	21.33
AT3G26940.1	432	19.82
AT4G27150.1	170	19.58
AT2G26000.1	461	19.28
AT2G26000.2	479	19.22
AT2G26000.3	479	19.22
AT5G38743.1	60	20.08
AT4G15210.4	445	21.04
AT4G15210.1	498	20.87
AT4G15210.3	445	21.04
AT4G15210.2	420	20.97
AT1G29070.1	157	17.98
AT4G27570.1	453	20.37
AT5G65560.3	915	20.62
AT5G65560.2	915	20.62
AT5G65560.1	915	20.62
AT1G04170.1	465	19.62
AT1G04170.2	465	19.62
ATCG00905.1	85	19.82
AT1G29250.1	130	18.97
AT3G51050.1	698	20.29
AT5G23060.2	310	18.25
AT5G23060.1	387	18.65
AT4G14770.2	654	18.17
AT4G14770.1	674	18.19
AT4G14770.3	655	18.16
AT3G44140.1	71	21.35
AT1G14630.2	166	19.74
AT1G14630.1	226	19.19
AT3G21480.1	1041	18.53
AT3G58760.4	432	20.39
AT3G58760.5	534	20.51
AT3G58760.2	432	20.39
AT3G58760.6	369	20.1
AT3G58760.3	534	20.51
AT3G58760.1	471	20.3
AT2G03390.1	330	19.38
AT2G03390.6	266	19.3
AT2G03390.3	273	19.12
AT2G03390.2	220	19.33
AT2G03390.7	266	19.3
AT2G03390.4	330	19.38
AT2G03390.5	273	19.12
AT2G23093.2	382	21.94
AT2G23093.1	449	22.4
AT1G62600.1	452	20.99
AT1G62600.2	394	20.71
AT3G54925.1	137	24.82
AT4G29550.3	261	21.1
AT4G29550.1	358	20.44
AT4G29550.2	358	20.44
AT5G02280.1	141	21.31
AT2G36080.2	173	21.33
AT2G36080.4	173	21.33
AT2G36080.1	244	20.85
AT2G36080.3	234	20.95
AT5G40830.2	414	20.64
AT5G40830.3	374	20.67
AT5G40830.1	414	20.64
