mouse_ID	cyanobacteria_ID	orthotype	OMAgroup
Q8BJU9	Q31L36	1:1	903923
Q6P6J0	Q31M33_SYNE7	1:1	761543
A0A0R4J008_MOUSE	Q31LB5_SYNE7	n:1	
J3QNS5_MOUSE	Q31P26_SYNE7	n:1	
Q8VCV9	Q31P26_SYNE7	n:1	
Q9CZN8	Q31LC2	1:1	732252
A0A0R4J0S3_MOUSE	Q31JT6_SYNE7	1:1	
F6TU77_MOUSE	Q54762_SYNE7	1:1	
Q8BUE4	Q935X8_SYNE7	1:1	
Q9CXN7	Q31MU1_SYNE7	n:1	
K3W4L7_MOUSE	Q31MU1_SYNE7	n:1	827600
Q60928	Q9R6V5_SYNE7	n:m	
Q60928	Q31RV2_SYNE7	n:m	
Q9Z2A9	Q9R6V5_SYNE7	n:m	
Q9Z2A9	Q31RV2_SYNE7	n:m	
P34884	Q31JZ0_SYNE7	1:1	893061
Q91ZP4_MOUSE	Q31MD4_SYNE7	n:1	
G5E836_MOUSE	Q31MD4_SYNE7	n:1	
Q8BU33	Q31RZ8_SYNE7	n:1	
MOUSE01420	Q79PF2_SYNE7	n:1	864434
K4DI65_MOUSE	Q31QF8_SYNE7	1:1	
A0A0R4IZY0_MOUSE	Q31MI1_SYNE7	n:1	759298
P97784	Q31S25_SYNE7	n:1	512409
P08113	Q79N42_SYNE7	n:1	876196
Q80X68_MOUSE	Q31QM5_SYNE7	n:1	
A0A0R4J139_MOUSE	Q31L49_SYNE7	n:1	894659
Q9Z120	P72546	1:1	
A0A1Y7VKB5_MOUSE	Q54756_SYNE7	n:1	
Q9CZN7	Q31RK5	n:1	
P56480	Q31KS4	1:1	571686
P51180	Q79PG0_SYNE7	n:1	
Q9CZU6	Q31QM5_SYNE7	n:1	775841
P17742	P29820	n:1	
O88533	Q31KS9_SYNE7	n:1	871263
Q8K1R3	Q31KE9	1:1	918491
Q9CQG1	Q31P54_SYNE7	n:1	675427
Q9D0I9	SYNE701625	1:1	911929
Q9Z2Z9	Q31QV3_SYNE7	n:1	
Q60860	Q31R66_SYNE7	n:1	
Q8R1K4	Q31SA6_SYNE7	n:1	
Q9WTN6	Q31L01_SYNE7	n:1	
Q5F2C5_MOUSE	Q31PS1_SYNE7	n:1	
P70349	P32084	n:1	899861
MOUSE03568	Q79PF2_SYNE7	n:1	
Q5SPH3_MOUSE	Q31PP3_SYNE7	n:1	
E9Q7K1_MOUSE	Q8KPQ7	1:1	880054
P50431	Q31RK5	n:1	913633
Z4YKT6_MOUSE	Q8KPV3_SYNE7	n:m	
Z4YKT6_MOUSE	Q54767_SYNE7	n:m	
P47739	Q31QZ8_SYNE7	n:1	
P47740	Q31QZ8_SYNE7	n:1	512469
Z4YMV2_MOUSE	Q31MJ0_SYNE7	n:1	
Q8K0H1	Q31MJ0_SYNE7	n:1	571779
Q5SWY8	Q31MD4_SYNE7	n:1	885943
Q6P8J2	Q31QI7_SYNE7	n:1	791489
P21550	Q31QJ8	n:1	
B1ATS4_MOUSE	SYNE701130	n:1	
Q5SS80	Q935X4_SYNE7	n:1	
Q60634	Q54704_SYNE7	1:1	572770
Q9CZU4	Q31RX7_SYNE7	1:1	918282
MOUSE05095	SYNE702545	n:1	
P15532	SYNE702545	n:1	917878
Q5SUV1	Q31KK7_SYNE7	1:1	862370
Q11011	Q31P53_SYNE7	1:1	
P62830	Q31L17	1:1	918151
Q62465	Q31RS1_SYNE7	n:1	
Q8BHC4	Q31RL4	1:1	904489
Q8K0Z7	Q31PH2	1:1	914867
Q922W5	Q31LI1_SYNE7	n:1	891549
P08074	Q8KPV3_SYNE7	n:m	
P08074	Q54767_SYNE7	n:m	
Q8K274	Q31LQ4_SYNE7	n:1	882708
Q9ER35	Q31LQ4_SYNE7	n:1	
B8JK43_MOUSE	Q31QR6_SYNE7	n:1	
Q9ERI6	Q935X4_SYNE7	n:1	
P00860	Q31RM5_SYNE7	1:1	853883
Q561M1_MOUSE	Q31R24_SYNE7	1:1	563357
O08749	Q31NZ1_SYNE7	1:1	
Q9WVC8	Q54756_SYNE7	n:1	
A0A0R4J016_MOUSE	Q31LH3_SYNE7	1:1	907997
