Gene	P_expression	S_expression	t	DNDS	DN	DS	ploidy
AT1G01010.1	0	330.458	0.4267	0.39	0.1067	0.2735	D
AT1G01040.2	0	1128.113333	0.1328	0.1284	0.0172	0.1337	D
AT1G01060.5	0	3082.11	0.1892	0.3806	0.0441	0.116	D
AT1G01090.1	1579.76	2936.503333	0.1905	0.0435	0.0102	0.2347	both
AT1G01140.3	1436.65	1455.912333	0.1127	0.0436	0.0059	0.1348	both
AT1G01190.1	0	646.7693333	0.1888	0.1833	0.0287	0.1567	D
AT1G01200.1	0	244.3823333	0.1793	0.1198	0.0197	0.1649	D
AT1G01220.1	479.78	553.274	0.1552	0.0946	0.0151	0.1596	both
AT1G01225.1	584.06	235.5663636	0.1208	0.1165	0.0151	0.1293	both
AT1G01230.1	1067.33	1356.935	0.0574	0.0391	0.0028	0.0709	both
AT1G01240.3	0	2033.155	0.1916	0.3023	0.0412	0.1365	D
AT1G01260.3	810.32	348.4523333	0.1927	0.0843	0.0196	0.2329	both
AT1G01290.2	521.79	501.3513333	0.2477	0.1985	0.0441	0.2222	both
AT1G01300.1	0	1048.302667	0.1646	0.0636	0.0114	0.1789	D
AT1G01310.1	8327.24	0	0.1451	0.4342	0.0362	0.0834	H
AT1G01320.2	2762.76	1542.982444	0.1296	0.2014	0.0215	0.1069	both
AT1G01340.2	3104.57	758.8649091	0.1464	0.14	0.0188	0.1343	both
AT1G01420.1	0	263.3813333	0.1999	0.488	0.0512	0.105	D
AT1G01430.1	0	1533.546667	0.2058	0.3548	0.0475	0.134	D
AT1G01460.1	6186.41	0	0.1717	0.103	0.0188	0.1828	H
AT1G01470.1	0	5286.69	0.177	0.1844	0.0274	0.1486	D
AT1G01510.1	705.55	862.586375	0.1023	0.1171	0.0111	0.0944	both
AT1G01540.2	546.48	670.16	0.1791	0.0181	0.0039	0.2151	both
AT1G01550.2	859.75	7047.423333	0.1472	0.1292	0.0182	0.1409	both
AT1G01620.2	0	6041.693333	0.0904	0.0315	0.0032	0.1018	D
AT1G01630.1	0	1419.036667	0.1291	0.1857	0.0211	0.1136	D
AT1G01650.2	1050.3	990.8766667	0.0849	0.0815	0.0069	0.0845	both
AT1G01660.1	0	415.802	0.1017	0.1559	0.0143	0.0919	D
AT1G01710.1	683.59	761.974	0.1038	0.1666	0.0156	0.0937	both
AT1G01730.1	473.72	2638.393333	0.1544	0.5685	0.0426	0.075	both
AT1G01770.1	375.82	327.733	0.1375	0.2211	0.0241	0.1091	both
AT1G01790.1	646.29	1185.363583	0.1509	0.2455	0.0281	0.1146	both
AT1G01820.1	0	2956.71	0.1141	0.1018	0.0117	0.115	D
AT1G01830.3	0	409.6806667	0.1445	0.1358	0.0179	0.1318	D
AT1G01860.1	0	255.6296667	0.1202	0.18	0.0185	0.103	D
AT1G01910.5	1199.49	793.7836667	0.1115	0.0375	0.005	0.1336	both
AT1G01920.2	250.8	239.634625	0.1747	0.5195	0.0476	0.0915	both
AT1G01930.1	1581.99	455.5516667	0.1491	0.2159	0.0272	0.1258	both
AT1G01940.1	637.27	544.45725	0.1118	0.0501	0.0059	0.1174	both
AT1G01950.3	296.25	290.5613333	0.0748	0.0867	0.007	0.0804	both
AT1G01960.1	621.97	1372.42	0.0865	0.1206	0.0097	0.0806	both
AT1G01970.1	404.7	1045.349917	0.1655	0.1681	0.0245	0.1459	both
AT1G01980.1	11695.28	0	0.1498	0.1228	0.0182	0.1484	H
AT1G01990.1	0	446.0266667	0.3022	0.2312	0.0578	0.25	D
AT1G02020.2	769.43	361.4403333	0.1944	0.3548	0.0442	0.1245	both
AT1G02050.1	0	335.7846667	0.0795	0.1235	0.01	0.0808	D
AT1G02060.1	0	219.2103333	0.1923	0.2812	0.0393	0.1397	D
AT1G02090.3	647.69	413.878	0.1298	0.1408	0.0193	0.1373	both
AT1G02110.1	0	317.02475	0.1239	0.2176	0.0228	0.1049	D
AT1G02120.1	207.44	1827.67	0.1186	0.2548	0.0239	0.0938	both
AT1G02180.1	329.71	290.2183333	0.1915	0.415	0.0461	0.1111	both
AT1G02220.1	57.07	455.175	0.3489	0.5283	0.0989	0.1873	both
AT1G02260.1	504.09	742.1055	0.2269	0.1226	0.0245	0.1999	both
AT1G02270.1	361.15	595.088	0.1454	0.1261	0.0195	0.1549	both
AT1G02280.2	1453.88	1471.25	0.1005	0.0592	0.0063	0.1066	both
AT1G02340.1	0	999.9623333	0.5403	0.3799	0.1297	0.3414	D
AT1G02370.1	490.64	0	0.1852	0.194	0.0314	0.1617	H
AT1G02390.1	0	229.5036667	0.1943	0.2219	0.0334	0.1504	D
AT1G02420.1	0	149.023	0.1246	0.1011	0.0153	0.1517	D
AT1G02470.2	0	169.8553333	0.1379	0.3029	0.0287	0.0949	D
AT1G02475.1	0	1918.873972	0.1338	0.1495	0.0188	0.1258	D
AT1G02640.1	1892.51	2388.41	0.1198	0.0839	0.0098	0.1174	both
AT1G02740.1	697.71	385.8316667	0.124	0.21	0.0218	0.104	both
AT1G02750.2	428.88	578.307	0.1944	0.5694	0.0549	0.0965	both
AT1G02810.1	1827.08	679.3996667	0.2002	0.0894	0.0172	0.1928	both
AT1G02816.1	1400.07	824.6	0.2311	0.3183	0.0496	0.1558	both
AT1G02840.3	3153.37	2414.506667	0.3237	0.2209	0.0591	0.2677	both
AT1G02860.2	426.03	1368.356667	0.0977	0.1184	0.012	0.101	both
AT1G02870.1	1703.89	1081.23575	0.1251	0.1407	0.0164	0.1163	both
AT1G02890.2	1860.17	1926.913333	0.1354	0.2884	0.0282	0.0977	both
AT1G02950.4	0	741.9735	0.1084	0.2421	0.0195	0.0804	D
AT1G02960.3	461.05	387.306	0.215	0.471	0.056	0.119	both
AT1G02980.1	686.77	0	0.3347	0.6299	0.098	0.1556	H
