Protein.Name	Gene.Name	ZT00	ZT03	ZT06	ZT09	ZT12	ZT15	ZT18	ZT21	ZT24	ZT27	ZT30	ZT33	ZT36	ZT39	ZT42	ZT45
ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial	Clpx	0.231633563	0.247011693	0.342414869	0.182786076	0.066366936	-0.140386032	-0.182946495	-0.06474492	0.13742562	0.25787303	0.276677356	0.209311357	0.078289477	-0.154064674	-0.102322191	-0.015782997
Uridine phosphorylase 2	Upp2	-1.043484498	NA	-0.73092249	0.897650931	1.6177201	1.475735685	0.997175085	-0.090311471	-0.704783453	NA	-0.943508801	0.261967206	1.617454475	1.64358571	0.631980427	-0.691534165
Tryptophan 2,3-dioxygenase	Tdo2	0.090695392	-0.075874867	0.384546035	0.565822831	0.594639298	0.680937055	0.23236215	0.22585182	0.115144234	0.141652905	0.390301764	0.57181472	0.755721801	0.525891083	0.313907407	0.150208856
Glycerophosphocholine phosphodiesterase GPCPD1	Gpcpd1	-0.116497841	-0.146524891	0.208777711	0.430431137	0.724873726	1.133717094	0.997808768	0.323624258	0.449158423	0.184244246	-0.024035935	0.588443592	0.791532683	1.024032381	0.849960307	0.627047902
Carboxylesterase 1C	Ces1c	-0.242084171	-0.405338916	-0.513490746	-0.373620373	-0.204891925	-0.08120326	-0.202511756	-0.060739158	-0.146003451	-0.355354621	-0.396707521	-0.353323291	-0.307311939	-0.056167306	-0.069702167	-0.046700587
Transferrin receptor protein 2	Tfr2	0.003857147	-0.157949154	-0.003314389	0.114644302	0.322090407	0.447504882	0.207611049	0.027880862	-0.088684372	-0.367594722	-0.083383588	0.232345202	0.299027693	0.259599114	0.225818077	-0.120484657
	Irf2bp2	NA	0.084486748	-0.064055064	-0.311154315	-0.519340608	-0.384491944	-0.386148755	-0.244643546	-0.116231661	-0.005471851	-0.091395186	-0.244765308	-0.347098671	-0.354903461	-0.446467986	-0.059908989
Phosphoenolpyruvate carboxykinase, cytosolic [GTP]	Pck1	0.444026825	0.36499791	0.466157608	0.748262732	0.851156982	1.59400764	1.199851791	0.656353407	0.314499341	0.579921884	0.45332034	0.853370843	0.969084841	1.342012509	0.996225082	0.886886298
Palladin	Palld	-0.174789893	0.114066471	-0.151599082	-0.295605489	-0.47019844	-0.339479485	-0.056028539	0.012198922	0.108176449	0.09915444	-0.097745622	-0.290424404	-0.454702328	-0.398459827	-0.282380495	0.094633695
Alpha-1-antitrypsin 1-3	Serpina1c	0.536544943	0.012038887	0.052296444	0.264495152	0.224115065	0.676480048	0.5239813	0.714301874	0.507685315	0.201825031	0.040853046	0.127053072	0.029543878	0.594225422	0.569564844	0.67196781
Apolipoprotein A-IV	Apoa4	-0.480368537	-0.761880954	-1.012926174	-1.007626092	-1.027154052	-0.803970928	-0.764685853	-0.392757034	-0.69884077	-0.687866939	-0.943058639	-0.944558634	-1.124394312	-0.703277924	-0.829930722	-0.396159489
Clusterin;Clusterin beta chain;Clusterin alpha chain	Clu	0.426819397	0.331717458	0.202306314	0.216635547	0.242020965	0.565673352	0.571343027	0.561111029	0.322288814	0.198361215	0.306359163	0.257666039	0.296155104	0.608144314	0.475775811	0.50760327
Cold shock domain-containing protein E1	Csde1	0.022097333	-0.089226942	-0.103128316	-0.121015401	-0.176578094	0.005767868	-0.011781859	0.063243353	-0.008486889	-0.06997707	-0.091259766	-0.239642442	-0.111432005	-0.087598618	-0.030124161	0.045297439
Gamma-aminobutyric acid receptor-associated protein-like 2	Gabarapl2	0.67982729	-0.160145725	0.253807642	-0.174278571	-0.108892402	0.506496123	0.82161042	0.564008778	0.834673295	0.269877442	-0.245373963	-0.153805336	-0.218223197	0.373719744	0.40615864	0.811168673
Ganglioside GM2 activator	Gm2a	NA	-0.089498151	0.034027369	0.231531929	0.227387976	-0.075327251	-0.193077822	-0.184343778	-0.355354621	0.036111623	0.017855185	0.302421874	0.213738215	0.051713141	-0.222309979	-0.063088712
Glycogenin-1	Gyg;Gyg1	-1.370164281	-1.542406646	-1.192636061	-0.601601443	0.084547937	-0.417379976	-0.772983552	-1.314290484	-1.43909117	-1.341131829	-1.00784134	-0.844144581	-0.079292767	-1.070389328	-0.966208952	-1.113300436
Heme-binding protein 1	Hebp1	-0.240253262	-0.264356271	-0.002306467	-0.020626651	0.124078426	-0.247562997	-0.368712484	-0.449006639	-0.319039816	-0.298658316	-0.145612247	-0.083792032	0.02852818	0.024619271	-0.253142153	-0.375289709
Apolipoprotein F	Apof	-0.013640911	-0.02446153	-0.137765808	-0.226138561	-0.793271654	-0.484911487	-0.562181356	-0.200504353	-0.072860402	-0.348232419	-0.093560176	-0.278936315	-0.587172939	-0.63282657	-0.624896322	-0.293135019
V-type proton ATPase catalytic subunit A	Atp6v1a	-0.10017032	-0.077926579	-0.125651102	-0.132247798	-0.046002047	-0.035764654	0.002078978	-0.057415612	-0.05004888	-0.161952159	-0.131852846	-0.120617361	-0.087055435	-0.037593076	-0.055750964	-0.028569152
5-aminolevulinate synthase, nonspecific, mitochondrial	Alas1	0.622620782	0.276712311	0.194575458	1.26593425	1.029499702	1.835110768	1.702280328	0.891000577	0.249016257	0.428255243	-0.056860943	1.259081072	0.746010734	1.62945626	1.307215743	0.924946635
TSC22 domain family protein 3	Tsc22d3	-0.16079114	NA	-0.70017335	-0.779217689	-1.051024003	0.140634682	0.143500269	-0.07956585	NA	-0.678702946	-1.258820397	-0.786345437	-0.550999139	-0.158337027	-0.114233744	-0.108357178
Transferrin receptor protein 1	Tfrc	0.521763316	0.498932882	0.470109106	0.336081605	-0.102187793	0.135443384	0.441967527	0.332752748	0.4493554	0.502178175	0.20414995	0.096221285	-0.016353684	0.166292184	0.283281214	0.501442752
Interferon regulatory factor 5	Irf5	NA	0.325991391	NA	0.550929952	NA	0.717927959	0.669648124	0.578240798	NA	0.408531211	NA	0.560621543	0.655035192	NA	NA	NA
Molybdenum cofactor sulfurase	Mocos	0.001631167	0.192265905	0.21702118	0.1953186	0.17008551	0.135142323	0.043155286	-0.03885755	-0.01948843	0.196310053	0.222952777	0.25004532	0.157576235	0.214658701	-0.022048165	0.094495057
Transportin-1	Tnpo1	-0.175684271	-0.041383179	-0.01834931	0.086721847	0.14445673	0.147617561	0.011791595	-0.146133829	-0.06474492	0.028116217	0.024428506	0.064404476	0.261396434	0.265552663	0.059855806	0.045893046
Tripeptidyl-peptidase 2	Tpp2	0.022492927	0.043601306	0.030560291	0.127777989	0.163316387	0.147345905	0.108658589	0.100654196	-0.081339627	-0.023468281	0.021335754	0.14163699	0.150769315	0.105845787	0.101319535	0.110682222
	Tsc22d2	-0.045303168	NA	-0.841409613	NA	-0.506195692	NA	0.363103975	NA	NA	NA	NA	NA	-0.470823163	NA	0.206445329	0.194212283
Phosphatidate phosphatase LPIN1	Lpin1	-1.516872438	NA	-1.325559113	-0.586788758	-0.564426949	1.043408014	1.00069266	-0.6368218	-1.643902355	-1.922806773	-1.012211084	-0.187514398	-0.040261223	0.247611057	-0.731704603	NA
Galectin-3-binding protein	Lgals3bp	-0.612399683	-0.434774991	-0.396926676	-0.392207499	-0.294547234	-0.436161839	-0.603786553	-0.593975179	-0.765789317	-0.527670916	-0.455439015	-0.249506021	-0.49067281	-0.322043506	-0.488412176	-0.759581973
Death-associated protein 1	Dap	0.064540252	0.393955812	0.247885135	0.407535787	0.126234039	0.100221117	0.018702617	0.00106799	0.098057668	0.237455578	0.538387626	0.262347846	0.152067215	0.077939195	0.134635413	0.018001258
Alpha-1-antitrypsin 1-4	Serpina1d	0.644059083	-0.003890027	0.082087108	0.27888112	0.176756079	0.877711609	0.606386108	0.701599751	0.439480678	0.163477958	0.059479903	0.101737463	0.022800686	0.602766563	0.51154669	0.57181472
T-complex protein 1 subunit theta	Cct8	-0.067501049	0.048098934	-0.054362288	-0.07244885	-0.099227866	-0.120086471	-0.149909668	-0.074231394	-0.003602237	-0.060877473	0.009843833	-0.068464451	-0.138290234	-0.120750053	-0.114766793	-0.034215715
Molybdopterin synthase catalytic subunit	Mocs2	-0.173511248	-0.213876043	-0.294900072	-0.42739163	-0.42050935	-0.552180304	-0.297484916	-0.345282818	-0.067638717	-0.130535557	-0.105946212	-0.430606431	-0.354677829	NA	-0.419538892	-0.216610069
Coxsackievirus and adenovirus receptor homolog	Cxadr	0.249770832	0.341445739	0.141191434	0.027057423	-0.21126145	-0.094100916	-0.012211084	0.096884582	-0.006333934	0.126186802	0.022536889	0.037991511	-0.274410769	-0.341871921	-0.102456577	-0.072860402
Corticosteroid-binding globulin	Serpina6	-0.839395295	-1.195977459	-1.082225699	-1.052694111	-0.515813357	-0.614003045	-0.570948605	-0.658371456	-0.577150837	-0.758814832	-0.991027447	-0.926454935	-0.652234073	-0.222433641	-0.530570204	-0.406101238
Alpha-1-antitrypsin 1-2	Serpina1b	0.018907244	-0.567545448	-0.364236231	-0.222804561	-0.170950553	0.322793972	0.076204272	0.188200188	0.059600181	-0.270947487	-0.359746047	-0.354226457	-0.481195593	0.205995945	0.026513623	0.100020088
Clathrin interactor 1	Clint1	-0.162210036	-0.103128316	-0.131457785	-0.081475982	-0.118891252	-0.13842131	-0.227371423	-0.236217064	-0.172103428	-0.174022842	-0.131194352	-0.029134804	-0.062812492	-0.167229454	-0.149259365	-0.184724621
Serum albumin	Alb	-0.186373777	-0.701149793	-0.633105666	-0.520045024	-0.351515261	-0.14574266	-0.304861451	-0.155619721	-0.253747285	-0.500394166	-0.659833246	-0.568907674	-0.638676283	0.005087245	-0.323773564	-0.009490503
Tyrosine aminotransferase	Tat	1.449335701	-0.548633903	-0.331131922	0.227252864	0.199487286	2.491510497	1.579533767	1.276345335	0.689287619	0.350338559	-0.702391584	0.259720017	0.525641837	1.48681248	0.747705459	1.204399271
Synaptosomal-associated protein 47	Snap47	0.624955006	0.569950288	0.34142746	0.359360564	0.288170339	0.482653749	0.519776246	0.628586111	0.547172656	0.513213558	0.49836214	0.493255897	0.275751382	0.511423295	0.560025872	0.553997919
	Akr1c14	0.218078007	0.141414195	0.190832543	0.161169219	0.306948007	0.400872674	0.34963982	0.29390713	0.084104372	0.157399234	0.106094211	0.289686164	0.224586986	0.260307406	0.307804937	0.279423832
Perilipin-2	Plin2	-2.319791325	-1.286112294	-1.488000771	-2.187672746	-2.660814555	-2.534260856	-2.638212885	-2.110162762	-2.103799743	-1.451962766	-1.905312386	-1.793771059	-2.729661526	-2.100641316	-2.822057073	-2.488746356
Transmembrane 9 superfamily member 2	Tm9sf2	0.127242146	-0.066123642	-0.02672925	-0.103128316	0.039280723	0.093571141	0.151987064	0.112225204	0.137695415	-0.096531743	-0.082975027	-0.165172318	0.100747015	0.1827697	0.262763205	-0.019630756
Collagen alpha-2(IV) chain;Canstatin	Col4a2	-0.39462389	-0.388024176	-0.489542936	-0.941782416	-0.812292845	-0.404794153	-0.290542363	0.213721484	-0.207767938	-0.532067552	-0.987320866	-0.729444007	-0.869239719	-0.609187605	-0.638120188	-0.319271091
Leukotriene-B4 omega-hydroxylase 3	Cyp4f14	0.295676895	0.119792514	0.39215603	0.046027092	-0.232906301	-0.118492626	0.022068034	-0.107420059	0.271217453	0.294986428	0.135617712	0.140634682	-0.014498127	-0.161565256	0.033097079	-0.029841557
ATP-citrate synthase	Acly	-1.381947801	-1.372673558	-1.440580184	-1.459116814	-1.586164246	-1.876801774	-1.916476644	-1.706154773	-1.70230292	-1.501617481	-1.68036937	-1.423094054	-1.800289051	-1.798672679	-2.113967146	-1.70137162
Kalirin	Kalrn	NA	NA	-0.429642743	-0.241474126	0.045118805	0.688450384	-0.011638756	NA	-0.551196067	NA	-0.919454502	-0.374177033	0.145972426	NA	0.265049815	-0.125386605
Protein S100-A9	S100a9	1.491388804	1.631600402	0.850506492	0.266229182	-0.429642743	-1.48707468	-0.856706881	-0.156008221	0.753044735	1.174947098	0.568024098	-0.075053365	-0.485220713	0.59278867	0.050621951	-0.199122642
Tubulin beta-2A chain;Tubulin beta-2B chain	Tubb2a;Tubb2b	-0.655901322	-0.59664896	-0.63747114	-0.640713465	-0.700262145	-0.911729925	-0.907736729	-0.82317869	-0.646899949	-0.650396947	-0.645517218	-0.73430859	-0.620961697	-0.736128588	-0.89437155	-0.725173999
