Uniprot.ID	Gene.Name	ZT20	ZT24	ZT28	ZT32	ZT36	ZT40	ZT44	ZT48	ZT52	ZT56	ZT60	ZT64	ZT68	ZT72	protein_mean.level	protein_max.level	protein_rhythm.pvalue	protein.length	aa.synthesis.average.cost_Akashi	aa.synthesis.average.cost_Wagner
A0A023ZT56	Dmd	-1.516199	-2.005249	-1.90329	-1.28574	-1.686171	-1.626955	-1.704575	-1.53627	-2.26189	-1.59403	-1.24342	NA	-1.36772	-2.15855	-1.68385069230769	-1.24342	0.0822359107654202	NA	NA	NA
A0A024A3D6	Eml1	-0.4958191	-0.28339	-0.2359505	-0.8285294	-0.6073513	-0.5968552	-0.5145664	-0.4820194	-0.2106609	-0.4289818	-0.4703312	-0.4076195	-0.2259808	-0.3148003	-0.435918271428571	-0.2106609	0.136021222796264	NA	NA	NA
A0A067XG53	Cask	2.240211	2.19388	2.065889	2.256161	2.26825	2.035397	2.519064	1.961361	2.238628	2.223579	1.95454	1.992361	2.515379	2.01944	2.17743857142857	2.519064	0.875154083427493	NA	NA	NA
A0A068BGR9	Ndufa7	2.499352	1.81171	1.942039	2.01524	2.7127	2.580475	2.587076	2.1222	2.03257	2.305948	2.7278	2.1763	2.622049	2.15546	2.30649421428571	2.7278	6.92220067711412e-07	NA	NA	NA
A0A068BGT0	Vps52	0.8887711	1.126341	1.226521	1.22999	0.9692497	0.661026	0.9942341	1.270891	1.25696	1.053808	0.8513088	0.7347698	0.9668999	1.05719	1.0205686	1.270891	0.00916091826940999	NA	NA	NA
A0A068BIT0	Slc39a7	-2.595219	0.1718216	0.5035191	1.110081	0.5056896	0.6490364	-0.08032608	-0.01356888	-2.010851	0.1572399	1.00606	0.55163	-1.19051	0.2141094	-0.07294914	1.110081	0.415481669184038	NA	NA	NA
A0A075B5P6	Ighm	-3.421989	-2.03636	-3.106291	-2.777889	-2.326641	NA	-2.332165	-1.88559	-3.245531	NA	-2.455961	-2.222309	NA	NA	-2.5810726	-1.88559	0.201408975076107	NA	NA	NA
A0A075B6A0	Ighm	-3.421989	-2.03636	-3.106291	-2.777889	-2.326641	NA	-2.332165	-1.88559	-3.245531	NA	-2.455961	-2.222309	NA	NA	-2.5810726	-1.88559	0.201408975076107	NA	NA	NA
A0A076FR46	Slc12a5	4.65498	4.554892	4.588789	4.587421	4.736599	4.694294	4.681196	4.566381	4.602129	4.523201	4.528021	4.633421	4.844099	4.52504	4.62289021428571	4.844099	0.114653332343531	NA	NA	NA
A0A076FSX1	Slc12a5	4.65498	4.554892	4.588789	4.587421	4.736599	4.694294	4.681196	4.566381	4.602129	4.523201	4.528021	4.633421	4.844099	4.52504	4.62289021428571	4.844099	0.114653332343531	NA	NA	NA
A0A076N1C3	Kidins220	-1.812489	-2.00128	-1.52953	-1.474091	-1.494841	-2.067114	-1.752245	-1.941269	-1.991621	-2.08559	-2.058599	-1.96015	-1.83905	-1.880671	-1.84918142857143	-1.474091	0.443450508022172	NA	NA	NA
A0A076N402	Kidins220	-1.812489	-2.00128	-1.52953	-1.474091	-1.494841	-2.067114	-1.752245	-1.941269	-1.991621	-2.08559	-2.058599	-1.96015	-1.83905	-1.880671	-1.84918142857143	-1.474091	0.443450508022172	NA	NA	NA
A0A076N8A1	Kidins220	-1.812489	-2.00128	-1.52953	-1.474091	-1.494841	-2.067114	-1.752245	-1.941269	-1.991621	-2.08559	-2.058599	-1.96015	-1.83905	-1.880671	-1.84918142857143	-1.474091	0.443450508022172	NA	NA	NA
A0A076NBC4	Kidins220	-1.812489	-2.00128	-1.52953	-1.474091	-1.494841	-2.067114	-1.752245	-1.941269	-1.991621	-2.08559	-2.058599	-1.96015	-1.83905	-1.880671	-1.84918142857143	-1.474091	0.443450508022172	NA	NA	NA
A0A087WNL3	Itpk1	-3.407228	-2.450668	-1.754009	NA	-3.472	-2.327524	-3.135525	NA	NA	-1.714291	-2.675211	-2.806009	-1.90073	NA	-2.5643195	-1.714291	0.344455131372127	NA	NA	NA
A0A087WNM0	Kif1a	2.22562	2.109072	1.969971	2.196411	2.061729	1.943007	2.139305	2.183731	2.13896	2.1446	1.97175	1.935081	2.265141	2.15024	2.10247271428571	2.265141	0.300261331948656	NA	NA	NA
A0A087WNM1	Srgap2	0.464901	0.6744709	0.6025906	0.547821	0.3577499	0.6910248	0.4337349	0.5183201	0.5012589	0.5277996	0.5200005	0.4123402	0.4669189	0.4797306	0.514190135714286	0.6910248	0.0827277739423293	NA	NA	NA
A0A087WNN7	Idh1	2.85397	2.834372	2.819769	2.824631	3.101379	2.977135	2.812853	2.860571	3.071318	2.89333	3.068769	2.86751	2.827669	2.866249	2.90568035714286	3.101379	0.182112308289638	NA	NA	NA
A0A087WNP6	Cdv3	1.029341	1.22575	1.344971	1.285851	1.401579	1.548975	0.837904	0.9777908	1.114408	1.257318	1.41361	1.412481	0.9292698	1.23045	1.21497847142857	1.548975	0.0738670831456516	NA	NA	NA
A0A087WNQ4	Hdlbp	1.57164	1.498081	1.56007	1.51676	1.60494	1.496086	1.662384	1.522051	1.487349	1.665119	1.70236	1.54645	1.63032	1.578739	1.5744535	1.70236	0.497446142625501	NA	NA	NA
A0A087WNQ8	Ogfrl1	-2.203918	-3.13081	-3.058941	-2.77932	-2.633581	NA	-2.765026	-2.88538	NA	-2.822851	NA	-3.12756	-2.750071	-3.17066	-2.84801072727273	-2.203918	0.140832280334293	NA	NA	NA
A0A087WNR6	Atg4b	-2.86797	NA	-2.429371	-3.024599	-3.289131	-2.486673	-2.222246	NA	-2.27096	-3.12446	-2.669771	-2.4375	-2.678129	NA	-2.68189181818182	-2.222246	0.234763496446227	NA	NA	NA
A0A087WNS0	Rpl3	2.684101	2.920641	2.876509	2.72443	2.84129	2.776657	2.732676	2.80028	2.857508	2.67429	2.703211	2.773752	2.901442	2.643188	2.77928392857143	2.920641	0.711389288938324	NA	NA	NA
A0A087WNS2	Sf3b1	0.5462513	0.7835903	0.8552704	0.9427299	0.6236897	0.645256	0.6544647	0.7480106	0.8460884	0.8072586	0.3645096	0.5194511	0.8727608	0.6315289	0.702918592857143	0.9427299	0.075496067448115	NA	NA	NA
A0A087WNS6	Nop58	-0.1012993	-0.5218086	-0.123621	-0.2884388	-0.2889805	0.08375549	-0.148035	-0.1774597	-0.4276314	-0.4123116	-0.3818398	-0.3593388	0.4884205	-0.2849007	-0.210249229285714	0.4884205	0.242852546145831	NA	NA	NA
A0A087WNT3	Abi2	0.8413601	0.7212601	0.8686695	0.2463703	1.24221	1.272776	1.350945	1.29945	1.249899	0.5234299	1.187359	1.088211	1.019529	1.04493	0.996885635714286	1.350945	0.255748101498859	NA	NA	NA
A0A087WNU5	Ank3	-0.06808853	0.02965164	-0.1797409	0.2044106	-0.24786	-0.006994247	-0.2265949	0.1488609	-0.2291317	0.1575394	-0.19384	-0.02877998	-0.07932091	-0.03442001	-0.0538791883571429	0.2044106	0.807129075323271	NA	NA	NA
A0A087WNU5	Ank3	3.365932	3.179651	3.130339	3.29121	3.283928	3.368336	3.397505	3.184172	3.18149	3.210098	3.35882	3.238432	3.585649	3.18779	3.28309657142857	3.585649	0.0317926502251268	NA	NA	NA
A0A087WNU6	Lrrfip1	-1.71422	-1.663939	-1.496561	-1.76897	-1.62657	-2.265875	-1.382835	-1.48501	-1.485121	-1.580622	-1.988861	-1.59494	-1.89488	-1.516201	-1.67604321428571	-1.382835	0.063075888074474	NA	NA	NA
A0A087WNV1	Agfg1	1.25161	1.268381	1.173019	1.161871	1.33433	1.190426	1.365675	1.362091	1.303379	1.17042	1.142359	0.9980507	1.471519	0.8621807	1.21823652857143	1.471519	0.503546207900059	NA	NA	NA
A0A087WNW0	Nop58	-0.1012993	-0.5218086	-0.123621	-0.2884388	-0.2889805	0.08375549	-0.148035	-0.1774597	-0.4276314	-0.4123116	-0.3818398	-0.3593388	0.4884205	-0.2849007	-0.210249229285714	0.4884205	0.242852546145831	NA	NA	NA
A0A087WNW2	Nfasc	0.02632141	0.7724915	0.8937798	NA	0.712059	0.9801159	0.8974648	0.6542206	0.9384899	0.1605396	0.01207924	0.6203804	NA	0.7311897	0.616594320833333	0.9801159	0.571981241779119	NA	NA	NA
A0A087WNW2	Nfasc	4.083561	4.04917	3.973299	4.038502	4.356529	4.194855	4.000425	4.0744	4.067099	4.010189	4.254641	4.077372	4.041079	4.005058	4.08758421428571	4.356529	0.00985452779404889	NA	NA	NA
A0A087WNX3	Dnpep	1.72965	1.2812	1.44475	1.69816	1.593409	1.536396	1.807554	1.427301	1.482929	1.608509	1.71521	1.215141	1.457079	1.368731	1.52614421428571	1.807554	0.215140273372154	NA	NA	NA
A0A087WNY2	Atg4b	-2.86797	NA	-2.429371	-3.024599	-3.289131	-2.486673	-2.222246	NA	-2.27096	-3.12446	-2.669771	-2.4375	-2.678129	NA	-2.68189181818182	-2.222246	0.234763496446227	NA	NA	NA
A0A087WNY6	Tardbp	1.86264	2.041552	2.19318	2.08522	2.308739	2.092016	1.955894	2.198971	2.22794	2.019369	2.34186	2.054111	1.852699	1.97019	2.08602721428571	2.34186	6.52612504402474e-07	NA	NA	NA
A0A087WNZ7	Trip12	-2.633839	-2.853519	-3.387159	-2.78837	-3.236731	-3.327784	-2.642736	-2.35677	-2.76672	-3.336481	NA	-3.033009	-2.520161	-3.099239	-2.92173215384615	-2.35677	0.181445548052232	NA	NA	NA
A0A087WP03	Dnajb2	0.02423096	-0.1680183	-0.08422089	0.1163502	0.4308395	0.09766579	0.09846497	-0.1554298	-0.01872063	0.3606682	0.2449188	0.1556301	-0.007499695	-0.1276608	0.0690870289285714	0.4308395	0.00632532047912638	NA	NA	NA
A0A087WP08	Dis3l2	-1.39201	-1.31357	-1.37063	-0.8189297	-1.361841	-1.351555	-1.645746	-1.275179	-1.261221	-0.8590603	-0.9102001	-0.7579498	-1.130211	-1.370571	-1.20133385	-0.7579498	0.130984036410956	NA	NA	NA
A0A087WP14	Ktn1	2.04565	1.994061	2.11231	2.36631	2.13315	1.907385	2.052034	2.107031	1.957169	2.24815	1.77561	2.135101	2.000299	1.98534	2.05854285714286	2.36631	0.296166403022147	NA	NA	NA
A0A087WP19	Tpp2	2.783691	2.82197	2.795259	2.862812	2.958019	2.784256	2.924105	2.74597	3.049879	2.885578	2.894411	2.78808	2.771971	2.81329	2.84852078571429	3.049879	0.234126143219269	NA	NA	NA
A0A087WP37	Plekha6	-2.772289	-2.04159	-2.243021	-2.37307	-2.14122	-2.390574	-2.417826	-2.03672	-3.243931	-2.43536	-2.84827	-2.097939	-2.460449	-2.46035	-2.42590064285714	-2.03672	0.899190175668275	NA	NA	NA
A0A087WP49	Dgkd	-2.686579	-2.57971	-2.29063	-2.864639	-2.74634	NA	-3.027166	-2.616539	-3.08654	-1.977242	-2.836411	NA	-2.486219	-3.104311	-2.6918605	-1.977242	0.845983453936311	NA	NA	NA
A0A087WP57	Tardbp	1.86264	2.041552	2.19318	2.08522	2.308739	2.092016	1.955894	2.198971	2.22794	2.019369	2.34186	2.054111	1.852699	1.97019	2.08602721428571	2.34186	6.52612504402474e-07	NA	NA	NA
A0A087WP62	Pik3r4	0.8030014	0.4106216	0.41255	0.4507599	0.4492588	0.3095055	0.4323654	0.4585514	0.6276989	0.2488499	0.7033901	0.3502407	0.5259399	0.4498405	0.473755285714286	0.8030014	0.866033289764464	NA	NA	NA
A0A087WP64	Abi2	0.8413601	0.7212601	0.8686695	0.2463703	1.24221	1.272776	1.350945	1.29945	1.249899	0.5234299	1.187359	1.088211	1.019529	1.04493	0.996885635714286	1.350945	0.255748101498859	NA	NA	NA
A0A087WP70	Lsamp	3.606152	3.7768	3.428091	3.779911	3.594341	3.627945	3.448263	3.274561	3.629889	3.785629	3.416288	3.735811	3.44887	3.094952	3.54625021428571	3.785629	0.327642508999487	NA	NA	NA
