Protein.ID	protein.length	aa.synthesis.average.cost_Akashi	aa.synthesis.average.cost_Wagner	protein.coding.genome.size
KAF1624087	747	19.64	21.21	6040217
KAF1624088	451	23.36	25.33	6040217
KAF1624089	144	22.74	23.88	6040217
KAF1624090	166	23.73	26.19	6040217
KAF1624095	350	27.36	30.64	6040217
KAF1624096	77	23.37	25.81	6040217
KAF1624097	721	23.18	25.11	6040217
KAF1624098	849	24.3	26.1	6040217
KAF1624099	513	21.92	23.1	6040217
KAF1624100	419	22.91	25.61	6040217
KAF1624101	187	26.34	29.72	6040217
KAF1624102	495	24.79	27.27	6040217
KAF1624103	376	26.22	28.53	6040217
KAF1624104	146	25.17	27.46	6040217
KAF1624105	266	23.85	26.59	6040217
KAF1624106	233	24.26	26.96	6040217
KAF1624107	115	23.69	25.55	6040217
KAF1624108	265	23.19	24.32	6040217
KAF1624109	155	26.35	29.67	6040217
KAF1624110	199	24.22	26.89	6040217
KAF1624111	754	22.91	24.71	6040217
KAF1624112	205	20.35	21.13	6040217
KAF1624113	334	24.49	26.9	6040217
KAF1624114	65	23.97	25.93	6040217
KAF1624115	380	27.84	31.53	6040217
KAF1624116	378	24.62	26.16	6040217
KAF1624117	1460	20.94	22.25	6040217
KAF1624118	172	21.73	22.91	6040217
KAF1624119	1126	24.36	27.25	6040217
KAF1624120	728	24.12	27.16	6040217
KAF1624121	165	20.52	21.9	6040217
KAF1624122	112	23.58	25.88	6040217
KAF1624123	342	24.27	26.64	6040217
KAF1624124	1846	23.37	25.61	6040217
KAF1624125	246	25.72	28.11	6040217
KAF1624126	338	23.74	26.3	6040217
KAF1624137	92	24.06	26.43	6040217
KAF1624138	364	25.47	28.61	6040217
KAF1624139	291	24.41	26.45	6040217
KAF1624140	338	24.84	28.87	6040217
KAF1624141	327	23.88	26.35	6040217
KAF1624142	219	27.44	30.86	6040217
KAF1624143	1356	22.97	25.44	6040217
KAF1624144	419	22.68	24.96	6040217
KAF1624145	478	25.74	28.22	6040217
KAF1624146	925	24.82	27.08	6040217
KAF1624147	2471	23.45	25.84	6040217
KAF1624148	420	23.48	25.76	6040217
KAF1624149	125	23.73	24.85	6040217
KAF1624150	289	22.04	22.94	6040217
KAF1624151	194	23.92	26.22	6040217
KAF1624152	461	23.23	25.95	6040217
KAF1624153	88	23.42	24.65	6040217
KAF1624154	351	21.86	24.71	6040217
KAF1624155	684	22.31	23.96	6040217
KAF1624156	192	22.46	24.01	6040217
KAF1624157	206	24.25	26.42	6040217
KAF1624158	79	22.81	24.05	6040217
KAF1624159	473	24.87	28.1	6040217
KAF1624160	426	26.12	28.94	6040217
KAF1624161	657	24.11	26.64	6040217
KAF1624162	190	23.08	25.4	6040217
KAF1624163	92	24.13	25.96	6040217
KAF1624164	218	19.38	20.81	6040217
KAF1624165	337	24.45	26.79	6040217
KAF1624166	736	21.4	22.8	6040217
KAF1624167	368	23.53	25.78	6040217
KAF1624168	347	24.64	27.07	6040217
KAF1624169	4523	23.36	25.42	6040217
KAF1624170	351	24.96	27.73	6040217
KAF1624171	314	28.33	31.68	6040217
KAF1624172	579	24.36	26.5	6040217
KAF1624173	233	26.22	28.54	6040217
KAF1624174	541	22.95	25.23	6040217
KAF1624175	121	25.19	27.88	6040217
KAF1624176	482	25.37	28.31	6040217
KAF1624177	505	22.5	24.26	6040217
KAF1624178	583	23.53	25.96	6040217
KAF1624179	51	18.08	19.11	6040217
KAF1624185	136	23.45	25.5	6040217
KAF1624196	175	20.47	22.25	6040217
KAF1624197	652	24.73	26.62	6040217
KAF1624198	303	26.83	30.34	6040217
KAF1624199	1156	23.37	25.04	6040217
KAF1624200	324	25.73	29.08	6040217
KAF1624201	309	25.74	29.3	6040217
KAF1624202	314	26.1	29.79	6040217
KAF1624203	240	23.16	24.52	6040217
KAF1624206	323	24.26	26.74	6040217
KAF1624207	318	24.1	26.44	6040217
KAF1624208	190	22.78	24.48	6040217
KAF1624209	423	23.09	24.78	6040217
KAF1624210	87	26.29	28.39	6040217
KAF1624223	379	21.09	22.06	6040217
KAF1624224	493	23.85	25.3	6040217
KAF1624225	226	23.14	23.98	6040217
KAF1624226	123	27.48	30.1	6040217
KAF1624229	604	24.14	26.35	6040217
KAF1624230	775	22.52	24.24	6040217
KAF1624231	198	25.41	28.26	6040217
KAF1624232	305	24.3	26.41	6040217
KAF1624233	423	23.47	25.96	6040217
KAF1624234	1410	21.08	22.52	6040217
KAF1624235	926	22.3	24.1	6040217
KAF1624236	226	23.56	24.96	6040217
KAF1624237	137	24.9	26.85	6040217
KAF1624238	93	24.8	27.52	6040217
KAF1624239	787	22.86	24.85	6040217
KAF1624240	147	23.91	25.42	6040217
KAF1624241	216	23.98	27.1	6040217
KAF1624242	200	24.46	26.28	6040217
KAF1624243	370	23.95	25.9	6040217
KAF1624244	328	23.75	26.12	6040217
KAF1624245	359	24.07	26.12	6040217
KAF1624246	506	23.45	25.96	6040217
KAF1624247	306	23.51	25.7	6040217
KAF1624248	233	24.1	26.83	6040217
KAF1624249	1011	22.57	24.86	6040217
KAF1624250	118	20.72	21.08	6040217
KAF1624256	155	22.25	23.99	6040217
KAF1624257	412	23.27	25.13	6040217
KAF1624258	433	21.95	23.88	6040217
KAF1624259	324	24.11	26.05	6040217
KAF1624260	466	23.5	25.98	6040217
KAF1624261	453	23.4	26.04	6040217
KAF1624262	935	22.43	24.1	6040217
KAF1624263	410	22.9	24.54	6040217
KAF1624264	391	23.59	26.09	6040217
KAF1624265	475	24.3	26.52	6040217
KAF1624266	502	24.8	27.46	6040217
KAF1624267	1880	23.14	25.38	6040217
KAF1624268	268	25.15	27.38	6040217
KAF1624269	367	24.79	27.15	6040217
KAF1624270	324	20.68	21.85	6040217
