Protein.ID	protein.length	aa.synthesis.average.cost_Akashi	aa.synthesis.average.cost_Wagner	protein.coding.genome.size
A0A1L9ALJ9	132	25.54	28.37	5621995
A0A444SB86	516	23.83	26.13	5621995
A0A444SB87	225	24.4	26.95	5621995
A0A444SB88	278	27.15	29.75	5621995
A0A444SBA0	1300	24.62	27.07	5621995
A0A444SBB2	391	25.69	29.08	5621995
A0A444SBB3	126	29.35	32.76	5621995
A0A444SBB4	1705	23.23	25.67	5621995
A0A444SBB5	201	25.68	29.45	5621995
A0A444SBD0	151	25.84	28.61	5621995
A0A444SBD3	137	24.47	26.4	5621995
A0A444SBD4	78	26.81	29.13	5621995
A0A444SBD5	98	25.95	29.52	5621995
A0A444SBD6	445	21.93	23.22	5621995
A0A444SBD7	240	22.66	24.28	5621995
A0A444SBD8	188	21.77	24.66	5621995
A0A444SBE0	420	23.83	26.1	5621995
A0A444SBE2	159	21.26	23.38	5621995
A0A444SBE5	137	24.63	26.15	5621995
A0A444SBE7	201	24.19	26.23	5621995
A0A444SBE9	201	23.89	25.5	5621995
A0A444SBF0	74	25.08	27.09	5621995
A0A444SBF1	107	25.74	28.73	5621995
A0A444SBF2	426	24.46	26.77	5621995
A0A444SBF3	1486	24.1	26.45	5621995
A0A444SBF4	122	24.54	27.45	5621995
A0A444SBF5	124	23.59	25.75	5621995
A0A444SBF6	404	27.77	31.74	5621995
A0A444SBF7	376	23.71	26.55	5621995
A0A444SBF8	265	22.41	23.28	5621995
A0A444SBF9	395	26.03	29.54	5621995
A0A444SBG0	194	26.97	30.49	5621995
A0A444SBG1	240	23.25	24.64	5621995
A0A444SBG2	192	24.8	27.24	5621995
A0A444SBG3	219	21.83	23.32	5621995
A0A444SBG4	225	25.12	27.32	5621995
A0A444SBG5	325	23.69	26.49	5621995
A0A444SBG6	588	23.93	26	5621995
A0A444SBG7	297	24.04	26.68	5621995
A0A444SBG8	121	24.21	27.4	5621995
A0A444SBG9	174	24.21	26.93	5621995
A0A444SBH0	146	26.07	28.44	5621995
A0A444SBH1	323	25.1	27.98	5621995
A0A444SBH2	311	21.57	23.39	5621995
A0A444SBH3	100	23.17	25.6	5621995
A0A444SBH4	266	25.31	28.12	5621995
A0A444SBH5	130	23.2	25.56	5621995
A0A444SBH6	134	27.32	29.88	5621995
A0A444SBH7	81	25.6	28.47	5621995
A0A444SBH8	907	23.22	25.28	5621995
A0A444SBH9	503	22.01	24.8	5621995
A0A444SBI0	253	23.35	26.19	5621995
A0A444SBI1	273	23.86	26.45	5621995
A0A444SBI2	113	29.26	32.44	5621995
A0A444SBI3	91	26.84	29.95	5621995
A0A444SBI4	256	26.2	28.39	5621995
A0A444SBI5	178	23.99	26.51	5621995
A0A444SBI6	103	26.89	30.12	5621995
A0A444SBI7	101	26.13	28.74	5621995
A0A444SBI8	92	24.64	26.8	5621995
A0A444SBI9	1518	21.29	22.84	5621995
A0A444SBJ0	302	23.84	26.58	5621995
A0A444SBJ1	177	28.36	31.77	5621995
A0A444SBJ2	87	25.87	29.19	5621995
A0A444SBJ3	119	26.15	29.92	5621995
A0A444SBJ4	233	24.38	26.91	5621995
A0A444SBJ5	495	23.56	26.79	5621995
A0A444SBJ6	1209	24.83	27.03	5621995
A0A444SBJ7	84	24.93	27.61	5621995
A0A444SBJ8	312	24.33	27.04	5621995
A0A444SBJ9	72	22.96	24.47	5621995
A0A444SBK0	177	26.66	29.97	5621995
A0A444SBK1	101	27.11	30.6	5621995
A0A444SBK2	76	26.35	29.49	5621995
A0A444SBK3	127	23.39	25.37	5621995
A0A444SBK4	1123	23.71	26.25	5621995
A0A444SBK5	1109	21	22.71	5621995
A0A444SBK6	1267	23.95	26.1	5621995
A0A444SBK7	195	22.85	24.57	5621995
A0A444SBK9	43	25.74	28.29	5621995
A0A444SBL0	110	25.95	28.78	5621995
A0A444SBL1	291	28.8	33.07	5621995
A0A444SBL2	138	25.36	27.6	5621995
A0A444SBL3	357	23.58	25.7	5621995
A0A444SBL4	187	24.2	26.99	5621995
A0A444SBL5	83	25.58	28.59	5621995
A0A444SBL6	68	20.86	22.32	5621995
A0A444SBL7	264	24.91	27.56	5621995
A0A444SBL8	209	22.46	25	5621995
A0A444SBL9	212	24.31	27.17	5621995
A0A444SBM0	250	22.33	25.15	5621995
A0A444SBM1	63	25.58	26.63	5621995
A0A444SBM2	105	22.17	24.57	5621995
A0A444SBM3	196	25.29	28.33	5621995
A0A444SBM4	84	24.41	28.11	5621995
A0A444SBM5	414	22.48	24.99	5621995
A0A444SBM6	707	23.38	25.78	5621995
A0A444SBM7	67	25.79	28.59	5621995
A0A444SBM8	167	20.31	21	5621995
A0A444SBM9	113	24.7	27.74	5621995
A0A444SBN0	590	23.7	26.13	5621995
A0A444SBN1	46	21.13	22.53	5621995
A0A444SBN2	164	22.92	24.73	5621995
A0A444SBN3	66	25.83	28.7	5621995
A0A444SBN4	582	25.52	28.24	5621995
A0A444SBN5	1013	24.11	26.39	5621995
A0A444SBN6	1755	24.41	26.82	5621995
A0A444SBN7	380	26.43	29.35	5621995
A0A444SBN8	297	25.94	28.73	5621995
A0A444SBN9	185	22.16	25.08	5621995
A0A444SBP0	573	23.15	25.54	5621995
A0A444SBP1	335	24.11	26.53	5621995
A0A444SBP2	336	22.47	24.58	5621995
A0A444SBP3	120	24.76	27.82	5621995
A0A444SBP4	210	26.13	30.05	5621995
A0A444SBP5	121	24.56	26.02	5621995
A0A444SBP6	176	23.88	26.22	5621995
A0A444SBP7	205	24.96	27.01	5621995
A0A444SBP8	81	22.27	24.28	5621995
A0A444SBP9	136	23.43	26.49	5621995
A0A444SBQ0	224	26.83	29.7	5621995
A0A444SBQ1	122	23.5	25.88	5621995
A0A444SBQ2	446	23.11	25.21	5621995
A0A444SBQ3	190	23.51	26.18	5621995
A0A444SBQ4	68	22.1	24.58	5621995
A0A444SBQ5	68	22.09	24.53	5621995
A0A444SBQ6	290	24.55	26.8	5621995
A0A444SBQ7	125	24.01	26.54	5621995
A0A444SBQ8	326	24.07	26.5	5621995
A0A444SBQ9	196	24.7	27.29	5621995
A0A444SBR0	111	25.55	28.09	5621995
A0A444SBR1	1503	23.86	26.83	5621995
A0A444SBR2	162	26.25	28.09	5621995
A0A444SBR3	143	24.32	27.04	5621995
A0A444SBR4	672	24.37	26.72	5621995
A0A444SBR5	254	23.12	24.88	5621995
A0A444SBR6	374	21.59	22.47	5621995
A0A444SBR7	234	25.99	28.61	5621995
A0A444SBR8	427	23.28	26.93	5621995
A0A444SBR9	364	24.05	26.57	5621995
A0A444SBS0	335	25.1	26.67	5621995
A0A444SBS1	492	22.93	25.11	5621995
A0A444SBS2	116	23.02	25.81	5621995
A0A444SBS3	500	24.07	25.97	5621995
A0A444SBS4	244	24.46	25.83	5621995
A0A444SBS5	479	24.07	26.84	5621995
A0A444SBS6	130	22.37	24.25	5621995
A0A444SBS7	169	23.84	25.65	5621995
A0A444SBS8	268	23.81	26.05	5621995
