Protein.ID	protein_ZT0	protein_ZT4	protein_ZT8	protein_ZT12	protein_ZT16	protein_ZT20	protein_ZT24	protein_ZT28	protein_ZT32	protein_ZT36	protein_ZT40	protein_ZT44	protein_ZT48	protein_ZT52	protein_ZT56	protein_ZT60	protein_ZT64	protein_ZT68	protein_ZT72	protein_ZT76	protein_ZT80	protein_ZT84	protein_ZT88	protein_ZT92	protein_ZT96	protein_ZT100	protein_ZT104	protein_ZT108	protein_ZT112	protein_ZT116	protein_mean.level	protein_max.level	protein_rhythm.pvalue	Entry	protein.length	aa.synthesis.average.cost_Akashi	aa.synthesis.average.cost_Wagner
AtpA	111867084.1	112214700.5	131446937.4	123774601.4	125010852.5	118124466	101858881.2	122227166.4	123465778.3	117479631.6	109077497.1	135014751.8	91773598.81	113771892.5	116135936.1	132081918.3	108745774.6	109332896.5	88296410.78	98566886.35	107289971.2	119262663.1	127070651.4	125351009.8	105470084.3	101328345.5	119354845.8	94635559.69	97772323.59	104610138.3	113080441.830667	135014751.8	0.11059308028951	NA	NA	NA	NA
AtpB	254929121.8	262452942.8	318464141.6	288073649.2	299439276.1	275577189	225700011.6	290631446.3	264114606.8	284377589.4	244235838.4	316235452.5	221898378.6	263719278.3	297328029.4	289324607.4	256866907.4	256683490.6	233198294.4	246662692.4	257339218.6	279900664.4	293560451.4	287355956.8	243174576.5	297962505.8	321615882.4	228549769.5	228710615.5	269351311.8	269914463.223333	321615882.4	0.145048263438779	NA	NA	NA	NA
AtpE	13869338.12	13572443.32	16124071.51	13714911.21	14868666.34	14161543.63	12594969.66	15396204.76	13467474.54	14785527.6	13524392.99	15069392.72	14259286.23	16838020.78	14762731.65	15788340.33	15860604.31	13970489.68	14106042.7	12769779.88	13413510.64	13750568.28	17618649.19	16279571.21	15542759.2	17144405.13	14229142.39	13270024.84	14469717.08	15788954.02	14700384.4646667	17618649.19	0.755624779607682	NA	NA	NA	NA
AtpF	9931222.415	9960434.39	11696522.26	9910312.312	10014721.61	10236319.27	10673012.27	10949083.96	9777946.955	10645665.36	9189024.181	10635457.23	8862747.073	12626221.44	9561411.282	10177909.37	9805482.131	9878845.234	8956861.216	9892868.483	9343513.455	11272525.8	10779592.41	11342057.78	10057788.11	6887239.271	9146523.956	9567951.617	9011623.606	5924455.569	9890511.33386667	12626221.44	0.920392179383173	NA	NA	NA	NA
OT_ostta01g00090	515277.673	281742.1437	578257.0022	1287645.934	953697.6433	782355.1729	415255.6163	252280.1271	603256.9802	934174.1064	868121.7777	885086.7375	285490.1454	246257.6612	516746.7727	1283478.464	743905.9435	546626.0142	241194.3244	290394.416	443217.5339	1036795.28	934618.7549	588154.1118	385172.7883	158032.0245	517814.3045	634596.5046	702140.4007	370901.1905	609422.918313333	1287645.934	7.13731015677015e-07	A0A090N2L9	837	23.63	26.13
OT_ostta01g00140	765285.1159	619404.2206	800428.364	649844.0087	920387.6882	895512.4384	734051.1369	688659.0019	846534.4642	995884.0895	728489.973	969524.8789	584267.8891	910343.5707	723832.5966	963410.7453	708744.1868	732569.8348	606292.731	851106.5255	695674.1864	945430.2774	971960.476	963053.6031	728059.1006	829506.8523	665827.2123	778541.7828	697408.0967	733315.1007	790111.67161	995884.0895	0.197975095688162	Q01H69	321	22.71	24.44
OT_ostta01g00400	162131.9826	128145.0734	181533.0902	175164.5049	170161.8855	142806.4428	172019.1599	140823.9357	187097.799	158813.7601	143162.149	178022.9717	120473.0889	174525.3089	155499.5183	224746.122	146949.4629	132914.6628	109403.9139	129127.2136	150953.3105	148592.3967	226541.2922	142621.2699	146038.3756	211538.0224	158187.1213	131640.5823	105604.6742	131748.5741	156232.922176667	226541.2922	0.300685521591952	A0A090N2M3	490	22.57	24.69
OT_ostta01g00485	1305120.686	1638828.256	1756082.173	1345934.989	1588115.798	1362807.685	1362338.178	2358858.489	1715212.907	1773450.573	1379812.336	1508941.322	1562682.161	1220996.026	2035312.749	1103647.186	1594563.177	1423409.226	1664208.632	2166867.991	1786567.566	1883878.37	1400381.02	1915665.867	1481118.097	2337087.598	1808112.236	1733917.435	1572991.562	1651553.248	1647948.78463333	2358858.489	0.0557022755508661	A0A090LXG3	340	24.78	27.16
OT_ostta01g00670	619898.9372	534677.5831	656098.1976	699736.2041	633264.7499	673651.8283	582142.8873	682639.6938	617584.9318	799352.5407	714218.4344	711792.7099	509782.8421	274534.2103	585231.6935	350787.3721	679946.7861	681587.4979	568529.01	611015.0009	608794.3979	642382.2409	349267.2304	893638.3898	659303.7321	579274.7457	591041.1912	509901.2338	608492.3652	634521.3489	608769.66623	893638.3898	0.124687505403261	A0A090N2M8	196	22.77	25.1
OT_ostta01g00720	928542.5757	1113787.429	1240299.051	1031021.666	976649.1476	994505.8235	921242.3826	1406678.003	977243.714	1101192.557	967916.4564	1244949.277	806379.1511	1475009.624	1152951.053	1367819.827	1045879.959	972251.9944	823920.3718	1125203.383	985452.1265	919288.3664	1331537.445	1089600.272	1030388.667	1319139.603	1091199.206	787236.8941	819049.6652	869053.059	1063846.29167667	1475009.624	0.250206692968633	A0A090LX85	784	21.71	23.55
OT_ostta01g00810	75197.78308	140216.5107	417026.6536	290123.9743	169021.5067	119153.5179	57994.4905	125832.6447	340800.4955	257565.5174	147799.5225	163048.9027	63270.83687	229970.0359	253959.3277	257935.5305	138366.8994	79866.55719	66801.34792	158940.1991	233524.0702	236543.927	182682.3216	115747.0684	57601.73152	129051.0333	215857.0211	186267.6252	130019.4775	107227.9308	171580.482026	417026.6536	6.01549543128736e-07	A0A090LXI7	553	21.24	23.57
OT_ostta01g00830	22506914.64	21481260.85	25745507.55	19682318.28	23235144.28	21691472.61	21486079.91	24643445.76	22499713.84	24137135.69	20186338.01	25988681.44	21447614.37	24110467.4	21230715.18	20205655.32	19766896.41	19285481.9	20584141.74	20884394.32	18883205.36	23679308.11	26625013.95	26077256.53	22524483.17	19032631.52	20234307.95	21168862.24	19067577.32	17177409.26	21842314.497	26625013.95	0.922617024213157	A0A090N2N0	203	20.96	23.46
OT_ostta01g00860	248150.4024	221891.6384	264705.8051	253099.8475	259368.8883	245446.5268	235624.4575	244023.2914	227131.1867	224974.0006	212215.1019	257909.5657	134052.8427	230238.1103	226843.129	232303.4145	199336.4287	175410.9546	165678.8392	206979.5195	186417.2323	181910.4496	232041.83	219637.0857	192771.9325	147036.0137	215110.3138	158207.8816	164076.1816	125491.2775	209602.80497	264705.8051	0.754945228178175	Q01GZ6	278	21.54	23.94
OT_ostta01g00890	34781096.62	32197618.94	37134319.55	32234379.86	34756243.3	35856535.59	33789903.06	38622977.52	31990960.45	35976901.89	31276063.17	39094109.99	29735817.36	33035909.62	33791973.91	31047440.6	30809029.05	30383010.34	28950528.25	32232722.62	28895733.23	33562962.44	36322400.49	35509307.6	33209175.01	30693478.28	30939390.11	27511174.07	27316877.14	29083923.23	32691398.7763333	39094109.99	0.874570896767674	A0A090M1W3	1169	23.57	26.46
OT_ostta01g01020	209427.0905	180843.0075	226326.5372	275787.3043	208877.7572	292527.6409	199636.4816	178115.1095	290677.7942	196455.9289	175669.5223	228430.8505	134842.834	214894.8924	260392.7645	311174.9881	161205.0123	176133.4323	107815.8827	161183.4047	211677.0191	177425.4216	225655.5725	244099.7127	206081.5706	202210.444	274287.2416	117792.4587	159304.5282	170376.7131	205977.63059	311174.9881	0.231020828608872	A0A090M3F3	138	24.55	26.15
