Protein.ID	protein_phase	protein_LL12	protein_LL16	protein_LL20	protein_LL24	protein_LL28	protein_LL32	protein_LL36	protein_LL40	protein_LL44	protein_LL48	protein_LL52	protein_LL56	protein_LL60	protein_LL64	protein_LL68	protein_LL72	protein_LL76	protein_LL80	protein_LL84	protein_LL88	protein_LL92	protein_LL96	protein_LL100	protein_LL104	protein_LL108	protein_LL112	protein_LL116	protein_LL120	protein_LL124	protein_LL128	protein_mean.level	protein_max.level	protein_rhythm.pvalue	protein.length	aa.synthesis.average.cost_Akashi	aa.synthesis.average.cost_Wagner
AT1G01050.1	12.999941714815	28106.32188	66683.63733	36118.49469	21356.02782	53515.86621	112469.3142	46033.72764	38760.04282	58226.9049	70660.42434	55821.66807	34541.02862	48761.54284	20609.37104	34755.30477	55169.66876	33803.55858	31293.16359	41706.09762	59340.80041	64567.43134	72527.63122	48246.0531	61855.33406	66672.72385	53818.11566	63731.45421	57293.94597	58472.74096	75665.02265	52352.7806383333	112469.3142	0.683647456128654	212	24.06	25.99
AT1G01080.2	18.0189809637641	484399.4556	576722.2507	385660.7756	499250.8355	482713.8824	620453.0344	582353.7855	575567.1379	539289.3862	572965.9726	542571.3593	548434.3046	492585.1289	456277.9843	526857.1748	495505.4587	466387.1944	491500.8757	500676.1281	625325.5521	496483.5809	381283.3896	621216.589	592969.1427	567871.9914	551700.7926	567560.7305	642438.3003	557367.749	636293.4705	536022.78046	642438.3003	0.534677035584516	294	22.69	24.71
AT1G01090.1	12.0000600137165	813604.796	703505.144	796548.9052	749822.1374	716772.809	750838.5319	772142.6291	728356.1707	740909.8003	597128.2559	667550.13	718497.1521	699150.671	662071.1916	723532.9017	619721.6578	688504.8132	560007.8463	661692.3003	627303.4236	631909.0012	627546.9453	682315.5256	664383.7721	757858.4366	652085.7504	686958.7541	679967.5024	693790.7506	756505.0018	694366.09024	813604.796	0.335501257294373	428	23.05	25.27
AT1G01100.1	19.8158518818	750574.9816	662894.7711	697026.007	697696.0086	676300.0009	713249.8564	748960.5665	680277.335	747600.601	635783.1133	643777.6155	776584.1386	431066.7825	492592.4911	583663.3757	533129.4337	551647.2807	628288.2095	703892.2056	440027.3819	441333.3612	454227.3822	814113.8228	722106.9308	581484.7273	527282.3802	487723.1018	577012.3505	602621.6441	787472.2269	626347.0028	814113.8228	0.0415500481077077	112	20.32	23.08
AT1G01320.1	2.8837245419458	77653.89763	92093.46355	91681.83026	122649.0145	90072.63347	97389.49532	94486.41351	106557.6794	106847.0345	94322.73112	95111.36282	114471.931	109383.6955	143563.3818	91919.77837	94172.1981	100100.1877	72293.16944	81810.68921	89460.13382	99883.44317	104210.0697	94460.27399	99041.30498	90782.4648	86488.98484	108770.1163	90076.03966	131369.4718	101086.4497	99073.6446653333	143563.3818	0.448618725147015	1797	22.36	24.38
AT1G01560.2	15.7736907912705	4518.131737	4943.185157	23530.83509	20903.72943	26637.1592	16024.73761	8215.314713	9903.322526	15929.03842	12024.70407	24350.73523	13466.48091	18060.06035	14352.30811	12225.92906	9380.579439	12373.47768	13138.65773	7238.404293	10084.51888	11660.54133	22278.31353	8480.296791	10296.75973	10473.90625	11085.56867	9283.401477	7400.958722	14949.01044	14345.63343	13251.8566668333	26637.1592	0.129394323780899	369	24.44	26.67
AT1G01800.1	12.0000600137165	272186.7197	309258.2112	270289.2156	276338.6477	327856.879	263084.8303	244147.4938	271287.0786	268193.0762	237674.4979	328931.7241	290199.7703	244279.6905	261871.1908	317984.7392	215563.9209	228223.3609	261100.2861	281116.4547	249564.6519	220063.1887	259249.2715	367935.454	261197.1974	293610.6224	254622.9912	217795.1667	254455.3349	241068.6439	301041.6498	269673.06533	367935.454	0.553127218051617	295	22.1	25.11
AT1G02150.1	10.3557248823024	82831.46166	51921.19333	100915.0124	97104.3609	70973.64552	82580.43546	96516.2446	97334.91742	73150.70188	56247.97595	73015.32641	68119.45447	61209.25018	75699.69755	85920.82147	77558.40825	95575.74156	70627.19639	103353.8603	70744.28109	61627.18952	77297.31502	128426.6562	77788.99563	74972.47595	68106.46527	69448.62952	65222.20448	70293.54256	125322.1621	80330.1874346667	128426.6562	0.741259282159749	524	24.01	26.58
AT1G02280.1	12.0000715981647	3805.894698	3697.431774	8209.252583	4617.490978	11655.70502	885.2377677	2306.852276	1307.976447	3744.29325	3538.035495	1623.971171	3704.409965	11033.6597	5284.563873	985.0539126	2098.313485	5062.426888	326.7000513	NA	343.4188601	3537.686294	5267.962895	1941.727052	1138.809669	404.4310349	9378.789017	2382.729339	669.013567	2174.857015	2732.200139	3581.34117988276	11655.70502	0.446946763365429	297	23.35	26.21
AT1G02560.1	16.576113704211	661661.5333	975973.2117	682304.2709	809184.485	925074.5373	978532.881	878450.2062	793719.4117	886470.0845	775723.7874	990474.614	1089943.029	828254.4459	776345.4844	785107.9261	649827.218	748485.2682	797219.3423	752880.6545	964794.2524	854990.735	745046.2452	1145848.699	1172946.412	1013298.895	1121226.265	873486.706	1060044.363	816413.9678	1234324.805	892935.12456	1234324.805	0.143298824926676	298	22.75	25.09
