Transcript.Accession	Protein.Name	Gene.Name	Accession
syc0001-h_at	flavodoxin	Synpcc7942_1541	P10340
syc0003-m_at	panthotenate metabolism flavoprotein	Synpcc7942_1544	Q31MZ5
syc0005-m_at	similar to C termimus of tlr0652 (putative ribonuclease II)	Synpcc7942_1546	Q31MZ3
syc0006-h_at	probable amidase	Synpcc7942_1548	Q31MZ1
syc0008-m_at	DNA polymerase V	Synpcc7942_1550	Q31MY9
syc0009-m_at	hypothetical protein	Synpcc7942_1551	Q31MY8
syc0010-h_at	ketol-acid reductoisomerase	Synpcc7942_1552	Q31MY7
syc0013-m_at	hypothetical protein	Synpcc7942_1555	Q31MY4
syc0014-m_at	Uncharacterized protein	Synpcc7942_1556	Q31MY3
syc0015-h_at	group 2 RNA polymerase sigma factor	Synpcc7942_1557	Q31MY2
syc0017-m_at	hypothetical protein	Synpcc7942_1559	Q31MY0
syc0023-m_at	hypothetical protein	Synpcc7942_1565	Q31MX4
syc0029-m_at	dehydrogenase subunit-like protein	Synpcc7942_1572	Q31MW7
syc0030-m_at	3-oxoacyl-[acyl-carrier protein] reductase	Synpcc7942_1573	Q8KPV3
syc0031-m_at	probable glucosidase	Synpcc7942_1574	Q31MW5
syc0032-m_at	MalQ (glycogen debranching enzyme-related protein)	Synpcc7942_1575	Q8KPV1
syc0033-m_at	putative channel transporter	Synpcc7942_1576	Q8KPV0
syc0034-h_at	arginyl-tRNA-synthetase	Synpcc7942_1577	Q8KPU9
syc0037-h_at	hypothetical protein	Synpcc7942_1580	Q31MV9
syc0043-m_at	two-component sensor histidine kinase	Synpcc7942_1586	Q8KPT8
syc0044-h_at	hypothetical protein	Synpcc7942_1587	Q8KPT7
syc0048-h_at	nucleic acid-binding protein  30S ribosomal protein S1-like	Synpcc7942_1591	O33698
syc0049-m_at	creatinine amidohydrolase	Synpcc7942_1592	O33699
syc0053-m_at	probable short-chain dehydrogenase	Synpcc7942_1596	Q54767
syc0054-m_at	GTP cyclohydrolase I	Synpcc7942_1597	Q54769
syc0061-m_at	hypothetical protein	Synpcc7942_1604	Q31MT5
syc0065-m_at	mannose-1-phosphate guanylyltransferase	Synpcc7942_1608	Q31MT1
syc0066-m_at	ribonucleoside triphosphate reductase B	Synpcc7942_1609	Q31MT0
syc0067-h_at	pyridine nucleotide transhydrogenase beta subunit	Synpcc7942_1610	Q31MS9
syc0068-h_at	NAD(P) transhydrogenase subunit alpha	Synpcc7942_1611	Q31MS8
syc0069-h_at	pyridine nucleotide transhydrogenase alpha subunit	Synpcc7942_1612	Q31MS7
syc0072-m_at	ribonuclease P	Synpcc7942_1615	Q31MS4
syc0073-m_at	hypothetical protein	Synpcc7942_1616	Q31MS3
syc0074-m_at	preprotein translocase YidC subunit  60Kd inner membrane protein	Synpcc7942_1617	Q31MS2
syc0075-m_at	hypothetical protein	Synpcc7942_1618	Q31MS1
syc0076-m_at	Uncharacterized protein	syc0076_d	Q5N601
syc0079-h_at	similar to Fe-S oxidoreductase	Synpcc7942_1621	Q31MR8
syc0081-m_at	Uncharacterized protein	Synpcc7942_1623	Q31MR6
syc0082-h_at	riboflavin synthase alpha chain	Synpcc7942_1624	Q31MR5
syc0084-h_at	Uncharacterized protein	Synpcc7942_1626	Q31MR3
syc0087-m_at	hypothetical protein	Synpcc7942_1628	Q31MR1
syc0089-m_at	cytochrome c553	Synpcc7942_1630	P25935
syc0090-m_at	CytB protein	Synpcc7942_1631	Q31MQ8
syc0093-h_at	hypothetical protein	Synpcc7942_1634	Q31MQ5
syc0097-m_at	hypothetical protein	Synpcc7942_1460	Q31N79
syc0101-h_at	malonyl coenzyme A-acyl carrier	Synpcc7942_1456	Q31N83
syc0102-h_at	3-oxoacyl-[acyl-carrier-protein] synthase III	Synpcc7942_1455	Q31N84
syc0103-h_at	fatty acid/phospholipid synthesis protein PlsX	Synpcc7942_1454	Q31N85
syc0110-h_at	carbonic anhydrase	Synpcc7942_1447	P27134
syc0111-m_at	Uncharacterized protein	Synpcc7942_1446	Q31N93
syc0112-m_at	Uncharacterized protein	Synpcc7942_1445	Q31N94
syc0113-h_at	fructose-bisphosphate aldolase class II	Synpcc7942_1443	Q8VW88
syc0122-m_at	hypothetical protein	Synpcc7942_1434	Q31NA5
syc0123-h_at	N-acetyl-gamma-glutamyl-phosphate reductase	Synpcc7942_1433	Q31NA6
syc0125-h_at	peptidyl-prolyl cis-trans isomerase (PPIase) (Rotamase)	Synpcc7942_1431	P29820
syc0126-m_at	Uncharacterized protein	Synpcc7942_1430	Q31NA9
syc0129-h_at	ribulose 1,5-bisphosphate carboxylase/oxygenase small subunit	Synpcc7942_1427	Q31NB2
syc0130-h_at	ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit	Synpcc7942_1426	Q31NB3
syc0132-h_at	carbon dioxide concentrating mechanism protein CcmN	Synpcc7942_1424	P46204
syc0133-h_at	carbon dioxide concentrating mechanism protein CcmM, putative carboxysome structural protein	Synpcc7942_1423	Q03513
syc0134-h_at	carbon dioxide concentrating mechanism protein CcmL, putative carboxysome assembly protein	Synpcc7942_1422	Q03512
syc0135-h_at	carbon dioxide concentrating mechanism protein CcmK, putative carboxysome assembly protein	Synpcc7942_1421	Q03511
syc0136-h_at	light-independent protochlorophyllide reductase subunit N	Synpcc7942_1420	P54208
syc0137-h_at	Light-independent protochlorophyllide reductase subunit L	Synpcc7942_1419	P54207
syc0138-h_at	hypothetical protein	Synpcc7942_1417	Q31NC2
syc0140-m_at	NADH dehydrogenase subunit 2	Synpcc7942_1415	P29801
syc0141-m_at	ATP-binding protein of ABC transporter	Synpcc7942_1414	Q31NC5
syc0144-m_at	hypothetical protein	Synpcc7942_1412	Q31NC7
syc0145-m_at	hypothetical protein	Synpcc7942_1411	Q31NC8
syc0153-m_at	hydroxyacylglutathione hydrolase	Synpcc7942_1403	Q31ND6
syc0154-h_at	hypothetical protein	Synpcc7942_1402	Q31ND7
syc0159-h_at	Uncharacterized protein	Synpcc7942_1397	Q31NE2
syc0160-m_at	hypothetical protein	Synpcc7942_1396	Q31NE3
syc0165-h_at	competence protein ComM homolog	Synpcc7942_1391	Q31NE8
syc0166-m_at	protein kinase C inhibitor	Synpcc7942_1390	P32084
syc0167-m_s_at	photosystem II reaction center D1 protein	Synpcc7942_0893	P04997
syc0171-m_at	hypothetical protein	Synpcc7942_1385	Q31NF4
syc0173-m_at	soluble inorganic pyrophosphatase	Synpcc7942_1383	Q31NF6
syc0177-h_at	high affinity sulfate transporter	Synpcc7942_1380	Q54756
syc0178-h_at	acetyl-CoA carboxylase, biotin carboxylase subunit	Synpcc7942_1379	Q54755
syc0179-m_at	hypothetical protein	Synpcc7942_1378	Q31NG1
syc0181-m_at	Uncharacterized protein	Synpcc7942_1376	Q31NG3
syc0182-m_at	hypothetical protein	Synpcc7942_1375	Q31NG4
syc0186-m_at	metal ion transporter, MIT family	Synpcc7942_1371	Q31NG8
syc0191-m_at	Uncharacterized protein	Synpcc7942_1365	Q31NH4
syc0192-h_at	Uncharacterized protein	Synpcc7942_1364	Q31NH5
syc0196-m_at	hypothetical protein	Synpcc7942_1359	Q31NI0
syc0198-m_at	Uncharacterized protein	syc0197_d	Q5N5N1
syc0200-m_at	two-component response regulator CheY subfamily	Synpcc7942_1356	Q31NI3
syc0202-h_at	putative export protein	Synpcc7942_1354	Q31NI5
syc0211-h_at	NADH dehydrogenase subunit 1	Synpcc7942_1343	Q31NJ6
syc0212-h_at	GDP-mannose 46-dehydratase	Synpcc7942_1342	Q31NJ7
syc0214-m_at	polypeptide deformylase	Synpcc7942_1340	Q31NJ9
syc0215-m_at	hypothetical protein	Synpcc7942_1339	Q31NK0
syc0217-h_at	hypothetical protein	Synpcc7942_1337	Q31NK2
syc0218-h_at	Uncharacterized protein	syc0217_c	Q5N5L1
syc0219-h_at	hypothetical protein	Synpcc7942_1336	Q31NK3
syc0220-h_at	probable branched-chain amino acid aminotransferase	Synpcc7942_1335	Q31NK4
syc0226-h_at	hypothetical protein	Synpcc7942_1329	Q31NL0
syc0229-h_at	replicative DNA helicase	Synpcc7942_1325	Q31NL4
syc0230-m_at	putative helicase	Synpcc7942_1324	Q31NL5
syc0232-h_at	photosystem I subunit IV psaE	Synpcc7942_1322	Q31NL7
syc0233-m_at	hypothetical protein	Synpcc7942_1321	Q31NL8
syc0237-h_at	manganese transport system ATP-binding protein MntA	Synpcc7942_1317	Q31NM2
syc0241-h_at	aspartyl-tRNA synthetase	Synpcc7942_1313	Q31NM6
syc0242-m_at	ATP-binding protein of ABC transporter	Synpcc7942_1312	Q31NM7
syc0244-h_at	putative ndhF3 operon transcriptional regulator	Synpcc7942_1310	Q9F1R2
syc0246-h_at	tryptophanyl-tRNA synthetase, hypothetical protein	Synpcc7942_1308	Q31NN1
syc0250-m_at	Uncharacterized protein	Synpcc7942_1304	Q31NN5
syc0251-m_at	Uncharacterized protein	Synpcc7942_1303	Q31NN6
syc0255-m_at	hypothetical protein	Synpcc7942_1299	Q31NP0
syc0257-h_at	malic enzyme	Synpcc7942_1297	Q31NP2
syc0258-h_at	hypothetical protein	Synpcc7942_1296	Q31NP3
syc0259-m_at	hypothetical protein	Synpcc7942_1295	Q31NP4
syc0261-m_at	phenylalanyl-tRNA synthetase	Synpcc7942_1293	P74764
syc0264-m_at	SmtA metallothionein	Synpcc7942_1290	P30331
syc0266-h_at	Uncharacterized protein	Synpcc7942_1288	Q31NQ1
syc0267-h_at	similar to  S-layer-RTX protein	Synpcc7942_1287	Q31NQ2
syc0271-m_at	molybdopterin converting factor subunit 2	Synpcc7942_1283	Q56210
syc0272-m_at	molybdenum cofactor biosynthesis protein A	Synpcc7942_1282	Q56211
syc0277-m_at	50S ribosomal protein L20	Synpcc7942_1277	Q31NR2
syc0279-m_at	hypothetical protein	Synpcc7942_1275	Q31NR4
syc0285-m_at	phosphoglucomutase/phosphomannomutase	Synpcc7942_1268	Q31NS1
syc0286-m_at	Uncharacterized protein	Synpcc7942_1267	Q31NS2
syc0287-m_at	hypothetical protein	Synpcc7942_1266	Q31NS3
syc0294-h_at	putative arsenical pump-driving ATPase	Synpcc7942_1259	Q31NT0
syc0297-h_at	glutathione S-transferase	Synpcc7942_1256	Q31NT3
syc0299-h_at	hypothetical protein	Synpcc7942_1254	Q31NT5
syc0302-m_at	photosystem I reaction center subunit III precursor (PSI-F) plastocyanin (cyt c553) docking protein	Synpcc7942_1250	Q31NT9
syc0303-m_at	Photosystem I reactionCenter subunit IX	Synpcc7942_1249	Q31NU0
syc0308-h_at	ABC-2 type transport system ATP-binding protein	Synpcc7942_1244	Q31NU5
syc0309-m_at	cAMP/cGMP binding protein	Synpcc7942_1243	Q31NU6
syc0318-h_at	hypothetical protein	Synpcc7942_1234	Q31NV5
syc0320-m_at	cytochrome b6-f complex iron-sulfur subunit (Rieske iron sulfur protein)	Synpcc7942_1232	Q31NV7
syc0321-m_at	apocytochrome f  component of cytochrome b6/f complex	Synpcc7942_1231	Q31NV8
syc0323-m_at	precorrin-4 C11-methyltransferase	Synpcc7942_1229	Q31NW0
syc0325-m_at	DNA repair protein RadC	Synpcc7942_1227	Q31NW2
syc0327-m_at	3Z-phycocyanobilin:ferredoxin oxidoreductase	Synpcc7942_1225	Q8KPS9
syc0329-m_at	ABC transporter permease protein	Synpcc7942_1223	Q8KPS7
syc0335-m_at	circadian clock protein KaiB	Synpcc7942_1217	Q79PF5
syc0336-m_at	circadian clock protein KaiC	Synpcc7942_1216	Q79PF4
syc0339-h_at	virulence associated protein C	Synpcc7942_1213	Q79PF1
syc0340-m_at	hypothetical protein	Synpcc7942_1212	Q79PF0
syc0342-m_at	hypothetical protein	Synpcc7942_1210	Q79PE8
syc0350-m_at	hypothetical protein, similar to glycosyltransferase of PMT family	Synpcc7942_1202	Q31NY7
syc0354-m_at	dihydrolipoamide dehydrogenase	Synpcc7942_1198	Q31NZ1
syc0355-m_at	indole-3-glycerol phosphate synthase	Synpcc7942_1197	Q8KPR4
syc0357-h_at	Uncharacterized protein	Synpcc7942_1195	Q31NZ4
syc0358-h_at	pyridoxal phosphate biosynthetic protein PdxJ	Synpcc7942_1194	Q8KPR0
syc0360-m_at	hypothetical protein	Synpcc7942_1192	Q31NZ7
syc0361-h_at	guanylate kinase	Synpcc7942_1191	Q8KPQ7
syc0362-m_at	leucine aminopeptidase	Synpcc7942_1190	O06865
syc0368-h_at	6-pyruvoyl-tetrahydropterin synthase-like protein	Synpcc7942_1184	Q8KPQ0
syc0370-h_at	NADH dehydrogenase subunit I	Synpcc7942_1182	Q31P07
syc0373-m_at	rubredoxin	Synpcc7942_1179	Q8KPP5
syc0374-m_at	photosystem II stability/assembly factor, HCF136-like protein, Ycf48-like protein	Synpcc7942_1178	Q31P11
syc0375-m_at	PsbE cytochrome b559 alpha chain	Synpcc7942_1177	Q8KPP3
