Protein.ID	protein.length	aa.synthesis.average.cost_Akashi	aa.synthesis.average.cost_Wagner	protein.coding.genome.size
XP_034607791	277	22.2	25.09	29289269
XP_034607792	190	24.29	27.04	29289269
XP_034607793	190	24.29	27.04	29289269
XP_034607794	190	24.29	27.04	29289269
XP_034607795	190	24.29	27.04	29289269
XP_034607796	498	22.95	25.51	29289269
XP_034607797	383	25.08	27.34	29289269
XP_034607798	118	22.06	23.17	29289269
XP_034607799	577	26.9	30.37	29289269
XP_034607800	289	22.24	23.55	29289269
XP_034607801	266	23.53	25.67	29289269
XP_034607802	497	22.96	25.53	29289269
XP_034607803	201	24.5	27.22	29289269
XP_034607804	504	22.85	25.35	29289269
XP_034607805	89	23.79	25.77	29289269
XP_034607806	477	24.29	26.11	29289269
XP_034607807	448	24.32	26.19	29289269
XP_034607808	447	24.27	26	29289269
XP_034607809	308	22.63	24.06	29289269
XP_034607810	308	22.63	24.06	29289269
XP_034607811	458	22.85	25.32	29289269
XP_034607812	308	22.63	24.06	29289269
XP_034607813	278	22.24	23.53	29289269
XP_034607814	274	22.61	23.94	29289269
XP_034607815	267	21.78	23.07	29289269
XP_034607816	267	21.78	23.07	29289269
XP_034607817	267	21.78	23.07	29289269
XP_034607818	245	21.82	23.2	29289269
XP_034607819	278	24.1	27.06	29289269
XP_034607820	202	23.25	25.98	29289269
XP_034607821	266	27.26	29.47	29289269
XP_034607822	1223	24.36	26.79	29289269
XP_034607823	1221	24.38	26.81	29289269
XP_034607824	1209	24.41	26.85	29289269
XP_034607825	348	24.65	27.23	29289269
XP_034607826	1202	24.43	26.84	29289269
XP_034607827	559	21.94	23.28	29289269
XP_034607828	559	21.94	23.28	29289269
XP_034607829	512	24.38	27.48	29289269
XP_034607830	597	24.74	26.92	29289269
XP_034607831	504	25.01	27.32	29289269
XP_034607832	504	25.01	27.32	29289269
XP_034607833	1049	21.11	22.3	29289269
XP_034607834	154	22.6	24.92	29289269
XP_034607835	347	24.69	27.27	29289269
XP_034607836	1048	21.12	22.3	29289269
XP_034607837	1022	21.1	22.22	29289269
XP_034607838	1022	21.12	22.26	29289269
XP_034607839	1021	21.13	22.27	29289269
XP_034607840	1004	21.19	22.33	29289269
XP_034607841	977	21.18	22.25	29289269
XP_034607842	869	22.89	24.72	29289269
XP_034607843	869	22.79	24.62	29289269
XP_034607844	865	22.92	24.72	29289269
XP_034607845	865	22.9	24.71	29289269
XP_034607846	865	22.8	24.62	29289269
XP_034607847	865	22.9	24.71	29289269
XP_034607848	864	22.94	24.73	29289269
XP_034607849	861	22.9	24.71	29289269
XP_034607850	564	24.09	26.74	29289269
XP_034607851	858	22.9	24.74	29289269
XP_034607852	852	22.96	24.81	29289269
XP_034607853	852	22.96	24.81	29289269
XP_034607854	852	22.96	24.81	29289269
XP_034607855	852	22.96	24.81	29289269
XP_034607856	852	22.86	24.71	29289269
XP_034607857	574	23.41	25.66	29289269
XP_034607858	570	23.42	25.66	29289269
XP_034607859	410	23.24	25.12	29289269
XP_034607860	334	22.64	24.2	29289269
XP_034607861	290	23.79	25.56	29289269
XP_034607862	162	21.63	23.07	29289269
XP_034607863	349	23.95	26.39	29289269
XP_034607864	140	22.51	24.01	29289269
XP_034607865	437	22.26	24.23	29289269
XP_034607866	436	22.27	24.26	29289269
XP_034607867	390	22.76	24.87	29289269
XP_034607868	1563	22.16	24.11	29289269
XP_034607869	101	24.37	26.94	29289269
XP_034607870	2508	24.01	26.53	29289269
XP_034607871	328	24.22	26.77	29289269
XP_034607872	2507	24.01	26.53	29289269
XP_034607873	2481	24.03	26.54	29289269
XP_034607874	2446	24.07	26.61	29289269
XP_034607875	1043	21.42	22.88	29289269
XP_034607876	498	24.21	27.13	29289269
XP_034607877	417	21.92	23.31	29289269
XP_034607878	365	26.12	28.25	29289269
XP_034607879	262	24.47	26.95	29289269
XP_034607880	365	26.12	28.25	29289269
XP_034607881	308	21.91	23.13	29289269
XP_034607882	216	22.12	23.57	29289269
XP_034607883	204	22.73	24.8	29289269
XP_034607884	130	22.99	25.55	29289269
XP_034607885	208	24.2	26.86	29289269
XP_034607886	389	23.54	24.19	29289269
XP_034607887	389	23.54	24.19	29289269
XP_034607888	389	23.54	24.19	29289269
XP_034607889	389	23.54	24.19	29289269
XP_034607890	158	26.94	30.15	29289269
XP_034607891	388	23.57	24.21	29289269
XP_034607892	246	23.51	25.48	29289269
XP_034607893	167	23.89	26	29289269
XP_034607894	937	23.5	25.44	29289269
XP_034607895	294	22.71	24.99	29289269
XP_034607896	306	23.07	25.52	29289269
XP_034607897	359	24.21	26.08	29289269
XP_034607898	95	23.69	25.45	29289269
XP_034607899	205	22.42	23.73	29289269
XP_034607900	1419	23.26	25.29	29289269
XP_034607901	342	24.27	25.64	29289269
XP_034607902	435	25.16	26.94	29289269
XP_034607903	185	24.16	26.9	29289269
XP_034607904	229	24.63	26.12	29289269
XP_034607905	176	25.47	28.37	29289269
XP_034607906	379	24.58	26.81	29289269
XP_034607907	323	27.27	31.15	29289269
XP_034607908	608	25.21	28	29289269
XP_034607909	301	22.05	24.03	29289269
XP_034607910	1639	23.63	25.53	29289269
XP_034607911	300	24.99	26.96	29289269
XP_034607912	778	24.76	26.95	29289269
XP_034607913	1068	21.73	22.8	29289269
XP_034607914	379	24.58	26.81	29289269
XP_034607915	643	24.87	27.4	29289269
XP_034607916	643	24.87	27.4	29289269
XP_034607917	295	23.69	25.83	29289269
XP_034607918	274	24	26.48	29289269
XP_034607919	137	24.55	26.13	29289269
XP_034607920	267	20.67	22.31	29289269
XP_034607921	379	24.58	26.81	29289269
XP_034607922	335	26.15	28.66	29289269
XP_034607923	490	27.13	31.03	29289269
XP_034607924	1062	24.24	26.63	29289269
XP_034607925	1168	22.33	24.02	29289269
XP_034607926	1168	22.33	24.02	29289269
XP_034607927	1168	22.33	24.02	29289269
XP_034607928	1168	22.33	24.02	29289269
XP_034607929	1167	22.34	24.03	29289269
XP_034607930	379	24.58	26.81	29289269
XP_034607931	1134	22.43	24.11	29289269
XP_034607932	259	22.19	24.03	29289269
XP_034607933	515	23.62	25.46	29289269
XP_034607934	136	27.6	31.64	29289269
XP_034607935	281	23.57	26.4	29289269
XP_034607936	1060	23.4	25.6	29289269
XP_034607937	1049	23.33	25.56	29289269
XP_034607938	1045	23.37	25.54	29289269
XP_034607939	1038	23.38	25.55	29289269
XP_034607940	1028	23.29	25.52	29289269
XP_034607941	1026	23.37	25.54	29289269
XP_034607942	1022	23.35	25.5	29289269
XP_034607943	1056	22.3	24.63	29289269
XP_034607944	1022	23.35	25.5	29289269
XP_034607945	1022	23.35	25.5	29289269
XP_034607946	1022	23.35	25.5	29289269
XP_034607947	891	23.69	26.05	29289269
XP_034607948	890	23.71	26.06	29289269
XP_034607949	850	24.06	26.38	29289269
XP_034607950	357	22.13	23.44	29289269
XP_034607951	935	23.72	25.81	29289269
XP_034607952	121	23.87	25.9	29289269
XP_034607953	273	23.17	24.55	29289269
XP_034607954	373	22.5	24.66	29289269
XP_034607955	4304	20.56	21.8	29289269
XP_034607956	498	23.94	26.49	29289269
XP_034607957	356	23.4	26.07	29289269
XP_034607958	427	23.56	25.32	29289269
XP_034607959	134	25.28	27.67	29289269
XP_034607960	134	25.28	27.67	29289269
XP_034607961	134	25.28	27.67	29289269
XP_034607962	134	25.28	27.67	29289269
XP_034607963	4296	20.53	21.77	29289269
XP_034607964	174	23.72	26.67	29289269
XP_034607965	134	25.28	27.67	29289269
XP_034607966	134	25.28	27.67	29289269
XP_034607967	134	25.28	27.67	29289269
XP_034607968	134	25.28	27.67	29289269
XP_034607969	1098	22.87	23.93	29289269
XP_034607970	1098	22.87	23.93	29289269
XP_034607971	1098	22.87	23.93	29289269
XP_034607972	1098	22.87	23.93	29289269
XP_034607973	4294	20.56	21.8	29289269
XP_034607974	400	22.14	23.56	29289269
XP_034607975	84	27.92	32.12	29289269
XP_034607976	80	28.37	32.64	29289269
XP_034607977	80	28.37	32.64	29289269
XP_034607978	161	22.59	24.35	29289269
XP_034607979	161	22.59	24.35	29289269
XP_034607980	220	26.91	30.48	29289269
XP_034607981	4291	20.56	21.81	29289269
XP_034607982	426	24.13	26.45	29289269
XP_034607983	426	24.13	26.45	29289269
XP_034607984	426	24.13	26.45	29289269
XP_034607985	369	20.48	21.81	29289269
XP_034607986	501	23.69	26.01	29289269
XP_034607987	491	23.85	26.15	29289269
XP_034607988	4288	20.56	21.81	29289269
XP_034607989	469	24.49	27.03	29289269
XP_034607990	513	23.91	26.19	29289269
XP_034607991	503	24.07	26.33	29289269
XP_034607992	327	21.23	22.44	29289269
XP_034607993	188	24.55	27.32	29289269
XP_034607994	619	24.58	26.64	29289269
XP_034607995	343	23.05	25.26	29289269
XP_034607996	240	23.28	25.38	29289269
XP_034607997	4274	20.57	21.82	29289269
XP_034607998	240	23.28	25.38	29289269
XP_034607999	379	22.9	25.02	29289269
XP_034608000	139	28.64	32.12	29289269
XP_034608001	1534	22.18	24.24	29289269
XP_034608002	695	23.08	25.43	29289269
XP_034608003	501	24.72	27.86	29289269
XP_034608004	501	24.72	27.86	29289269
XP_034608005	4274	20.57	21.82	29289269
XP_034608006	501	24.72	27.86	29289269
XP_034608007	443	25.07	28.12	29289269
XP_034608008	397	25.21	28.35	29289269
XP_034608009	454	25.33	28.53	29289269
XP_034608010	454	25.33	28.53	29289269
XP_034608011	454	25.33	28.53	29289269
XP_034608012	454	25.33	28.53	29289269
XP_034608013	165	21.12	23.52	29289269
XP_034608014	4244	20.58	21.84	29289269
XP_034608015	1758	21.84	23.49	29289269
XP_034608016	1693	21.8	23.47	29289269
XP_034608017	650	22.19	24.5	29289269
XP_034608018	407	23.35	25.32	29289269
XP_034608019	305	25.22	27.79	29289269
XP_034608020	372	21.42	22.28	29289269
XP_034608021	540	23.45	25.25	29289269
XP_034608022	4214	20.58	21.86	29289269
XP_034608023	195	24.69	26.19	29289269
XP_034608024	146	26.13	29.4	29289269
XP_034608025	85	22.21	23.53	29289269
XP_034608026	590	24.29	26.49	29289269
XP_034608027	590	24.29	26.49	29289269
XP_034608028	554	23.6	25.74	29289269
XP_034608029	4184	20.59	21.88	29289269
XP_034608030	544	23.65	25.82	29289269
XP_034608031	540	23.61	25.72	29289269
XP_034608032	500	23.4	25.58	29289269
XP_034608033	985	21.85	23.2	29289269
XP_034608034	334	22.92	25.6	29289269
XP_034608035	497	24.22	27.01	29289269
XP_034608036	496	24.24	27.04	29289269
XP_034608037	966	23.41	25.23	29289269
XP_034608038	4171	20.46	21.69	29289269
XP_034608039	548	23.3	24.98	29289269
XP_034608040	1753	20.95	22.26	29289269
XP_034608041	1753	20.95	22.26	29289269
XP_034608042	1753	20.95	22.26	29289269
XP_034608043	1753	20.95	22.26	29289269
XP_034608044	1752	20.95	22.27	29289269
XP_034608045	1752	20.95	22.27	29289269
XP_034608046	1751	20.95	22.28	29289269
XP_034608047	1747	20.96	22.27	29289269
XP_034608048	4154	20.6	21.91	29289269
XP_034608049	1746	20.97	22.28	29289269
XP_034608050	158	25.32	27.66	29289269
XP_034608051	424	22.78	24.37	29289269
XP_034608052	305	23.21	24.6	29289269
XP_034608053	635	24.38	26.7	29289269
XP_034608054	632	24.3	26.55	29289269
XP_034608055	630	24.38	26.67	29289269
XP_034608056	4146	20.44	21.66	29289269
XP_034608057	627	24.29	26.53	29289269
XP_034608058	533	24.48	26.66	29289269
XP_034608059	528	24.47	26.62	29289269
XP_034608060	238	26.94	29.83	29289269
XP_034608061	859	24.14	27.34	29289269
XP_034608062	1839	20.01	20.93	29289269
XP_034608063	1839	20	20.92	29289269
XP_034608064	4094	20.61	21.93	29289269
XP_034608065	4094	20.61	21.93	29289269
XP_034608066	372	22.57	23.56	29289269
XP_034608067	313	24.36	26.63	29289269
XP_034608068	338	24.76	27.21	29289269
XP_034608069	4094	20.62	21.94	29289269
XP_034608070	228	23.55	24.8	29289269
XP_034608071	305	22.65	24.32	29289269
