Protein.ID	protein.length	aa.synthesis.average.cost_Akashi	aa.synthesis.average.cost_Wagner
E9PXF8	1872	23.71	25.81
Q8C5T4	241	25.71	27.41
P16646	161	26.7	30.68
P26041	577	23.27	24.68
Q80UM3	865	24.43	26.69
Q8BG07	503	24.12	26.21
P43883	425	21.95	24.27
Q5SUV5	386	23.76	26.3
Q8K0S0	330	24.47	26.67
Q9D483	533	23.33	25.35
Q9JJ80	306	24.7	27.7
Q05921	735	23.44	25.54
Q80XJ2	565	21.82	22.92
Q64008	259	23.82	26.62
Q8QZS5	190	24.82	26.49
Q91VI7	456	21.5	24.12
P63325	165	24.32	25.34
Q62172	648	22.76	23.81
O35696	375	24.34	26.8
Q9R1C0	341	22.02	23.69
Q3UPR0	238	22.76	24.5
Q8BLS7	548	20.87	21.92
Q8VI23	705	23.98	26.86
Q3TVW5	497	23.09	23.01
Q9DCD5	539	21.13	21.89
Q810U2	305	26.52	29.78
P61407	2134	23.01	25.09
Q91VP7	257	25.7	28.95
Q9CPV0	140	25.7	29.19
P62754	249	23.2	24.93
Q149S1	447	22.66	24.11
Q922Z1	161	24.24	27.83
Q9CXT7	266	24.51	27.07
Q80YX1	2110	22.38	24.33
Q8VD26	458	23.88	25.94
Q91VX9	697	26.31	29.58
Q8BYI9	1358	22.63	24.64
P23475	608	23.56	25.99
Q9QZU9	153	24.76	27.03
Q9QXE5	509	22.49	24.73
Q6ZWY8	44	21.6	23.2
Q0KL01	331	22.36	23.86
D3Z3C6	739	22.27	24.19
P07146	246	22.28	25
Q8R5H6	559	21.96	22.48
P97764	304	22.38	23.23
Q0VGT4	1863	22.28	24.39
Q00731	214	24.94	25.97
Q8C0M0	992	23.65	25.45
P99031	9	17.72	18
Q6ZPG2	1874	22.71	24.69
Q9CWR1	371	23.14	25.3
P35969	1333	23.65	26.04
Q8K0T7	2210	23.06	25.28
Q6R653	518	23.5	24.97
Q8BLN6	3261	22.82	24.58
Q64727	1066	21.33	23.04
Q80VC6	287	24.06	26.54
O08747	931	23.12	25.27
Q8BGG0	367	23.85	26.75
Q3V080	568	24.24	25.29
Q9Z2D0	545	24.88	26.9
Q9CQF4	240	24.2	26.86
Q99MH5	211	24.75	26.95
Q9JIB0	185	22.29	23.89
Q8R3C6	952	22.43	24.22
Q7TPG7	131	24.13	25.75
P17563	472	24.02	26.27
P23950	338	21.94	23.68
P06335	190	25.03	27.69
Q8CH09	1067	22.27	23.93
Q99N14	128	21.43	23.23
P60867	119	23.33	25.05
B2RVY9	229	27.14	30.48
Q8VCT9	570	22.94	24.85
P97499	2629	23.2	25.2
Q9Z1L4	224	24.85	27.16
Q9JHJ7	324	24.21	26.43
Q9D6H5	343	26.57	29.7
Q64267	272	23.39	24.74
B7ZMP1	506	23.47	25.36
Q9CX47	278	23.53	25.87
Q8BGK6	515	25.17	28.69
P06325	135	25.71	28.79
Q8C0R0	979	22.37	24.35
P10755	501	25.09	26.07
Q9JLM4	1370	22.87	24.45
Q8BH57	676	23.48	25.86
Q8BZW4	436	25.27	26.27
Q8CE64	614	22.15	23.2
E9QAG8	526	25.05	26.11
Q8VCW4	598	24.87	27.53
Q9ERR8	581	23.68	24.12
Q9D2D7	1237	21.12	22.36
Q8R0T2	568	22.19	22.51
Q8BV42	777	24.26	25.08
P48614	389	23.14	24.6
Q8BKT6	305	26.24	29.09
Q9D1D1	253	24.96	27.92
Q9DAU9	571	23.15	24.76
Q91YT7	579	22.01	23.83
A6H6E9	458	23.3	25.81
Q8VE09	580	23.65	26.2
P28047	349	24.11	26.11
P10761	424	22.82	24.9
Q3UFS0	744	23.68	26.01
Q8BRU6	517	24.11	27.34
Q9WTR6	502	25.59	29.04
P40336	327	24.91	27.24
Q91ZB9	322	25.96	29.35
Q69ZX6	1030	22.93	24.36
Q9R1X5	1436	24.03	26.59
P27612	794	23.08	25.61
Q3UMT1	782	20.19	20.82
Q9DBG6	631	22.8	25.6
Q6PHN9	201	23.72	26.38
Q8BFU3	668	21.32	22.65
Q3V3A7	635	22.36	23.77
Q7TN89	227	21.78	23.69
B0V2N1	1907	23.1	24.8
P28828	1452	23.86	25.88
P70665	541	24.47	26.7
Q8VEB2	386	24.21	25.52
O54988	1233	21.73	22.84
P23881	347	22.08	24
P56840	116	25.96	27.9
O88968	430	23.44	26.23
P63072	162	23.25	25.67
Q9CQW1	198	23.24	25.91
P25976	765	22.99	24.45
Q9JMA1	493	23.48	25.76
Q99LG0	825	22.49	24.35
Q8BJQ2	784	22.06	24.26
Q99P25	704	23.45	25.44
O54885	114	22.13	24.36
Q8JZZ0	523	25.42	28.17
P17717	530	26.06	28.85
Q91X58	257	20.76	21.6
O88623	613	23	25.02
P80314	535	22	24.47
A2ACG1	198	23.5	25.4
Q9WVB2	767	21.85	23.53
Q62440	770	22.16	23.9
P26039	2541	20.55	22.55
Q8BGP5	238	23.31	25.56
Q8K304	362	24.3	26.37
Q922G7	430	22.74	24.38
Q8BZ10	417	24.28	26.99
B1AQL3	211	23.14	26.71
O08759	870	23.8	26.35
Q8BXJ8	482	21.85	23.9
Q9DCH6	223	20.54	22.04
Q3UHF7	2430	21.98	23.15
E9Q4P1	410	24.46	26.36
E9Q349	535	23.07	24.74
O54836	290	21.88	23.08
Q3U2E2	627	22.53	24.5
Q8C0R7	736	23.07	24.31
Q920I9	1489	22.99	25.1
E9Q6W4	445	21.86	23.09
Q9JHY4	80	26.02	28.62
Q6KAS7	1311	23.32	24.95
P35441	1170	22.44	24.41
P13438	124	22.46	24.24
Q8BZ34	422	23.23	23.85
P04426	370	23.36	24.94
Q6NV66	1788	21.83	22.41
A7KBS4	506	22.73	23.84
O70404	101	23.85	26.3
Q9CQD8	81	29.4	32.95
A4Q9F1	832	23.91	25.81
Q8BWP5	278	24.93	27.05
P52787	417	23.04	25.82
P01872	454	23.4	25.81
Q8BWG4	1187	21.89	23.4
Q8C753	1610	22.56	24.13
P19639	218	25.8	28.36
Q307W7	124	21.59	24.3
Q8BWJ3	1235	23.65	25.94
Q8K1T4	194	24.1	26.16
Q3TNL8	555	24.31	26.33
Q99KS2	293	21.92	23.43
A6H690	825	23.75	25.59
Q9D7Z7	256	22.42	24.36
Q9D0T1	128	22.31	24.62
O70628	534	24.27	26.28
Q3UW31	111	26.51	29.33
Q6P1Z5	449	24.97	26.26
O88329	1043	23.94	26.53
Q02566	1938	22.61	24.44
Q8CHT1	710	22.98	24.15
P13542	1937	22.59	24.4
O70468	1270	22.77	24.49
B2RXZ1	531	25.2	27.61
Q8VE10	237	24.34	26.28
O55128	153	23.82	25.41
Q8C1C1	522	22.29	24.09
Q5QD11	358	25.77	29.36
Q4KL14	181	24.63	27.41
Q6S5I3	108	26.02	28.26
Q78KK3	406	23.66	27.33
P0DN90	123	28.31	31.72
Q8BVI5	326	22.19	23.87
Q14B46	604	22.91	24.83
Q9D3G5	287	22.93	24.5
Q64127	1051	22.28	23.63
Q7TM95	470	23.08	24.89
Q9Z2I8	433	22.12	24.78
Q9JMA2	403	23.21	25.27
Q61056	793	25.02	28.02
Q80XQ2	815	22.9	24.66
Q08775	607	21.89	23.09
Q9QUQ5	974	24.53	27.06
Q8R4T9	930	24.57	27.63
P70325	552	23.03	24.58
Q7TNE1	436	23.4	25.8
P01849	138	23.34	26.41
P06334	169	25.13	28.19
P10711	301	21.85	23.86
O35437	179	21.52	23.58
Q80U95	1083	24.38	26.84
Q9QUL7	311	22.94	25.01
Q6PGL7	1334	20.66	22.35
P97953	415	23.42	25.31
O88466	1888	21.74	23.2
Q5DQQ6	81	22.48	24.13
Q8BTE6	63	22.21	24.67
Q8K083	1302	21.76	23.22
Q5SSZ7	913	22.04	23.26
A2ARP1	1436	22.55	24.14
Q3URR7	782	22.78	23.1
Q8CE94	428	23.51	26.8
Q3V1L6	700	23.62	25.29
Q64434	451	25.17	27.22
P97358	586	24.86	27.29
Q8C092	801	22.29	24.44
Q9CPR1	188	22.94	24.94
Q923U0	474	22.29	24.26
Q9QVN7	299	22.29	24.05
Q91X17	642	23.03	25.21
Q8K2Z8	378	23.39	25.46
P06869	433	23.91	25.93
Q64705	346	20.19	21.3
P35123	962	23.4	25.53
Q8R5K2	909	23.47	25.48
Q9CQU0	170	23.8	26
Q8K088	423	23.26	25.27
Q9Z2B2	325	25.33	28.32
Q9D534	172	23.56	24.7
Q9CX48	178	19.45	21.35
P55144	880	22.88	24.78
Q9CZ96	217	22.79	24.87
Q6PDD0	528	25.45	28.15
Q6IR42	630	22.26	23.52
Q8BQQ1	489	23.66	25.83
Q91WU6	308	25.64	28
Q62396	488	23.85	24.99
Q99KE8	643	23.25	24.65
Q8R0J7	285	21.66	22.86
Q8CI71	964	23.86	26.2
Q61412	361	21.51	22.81
P21614	476	22.92	25.07
Q8BGX1	433	24.7	26.02
P53347	263	23.26	24.92
Q80X73	385	22.58	24.49
Q9JLV6	522	22.86	24.78
Q8BUR9	78	19.65	22.09
Q3UZY0	1216	25.52	26.4
Q8BYR8	573	24.23	27.38
Q9DA08	293	23.07	24.72
Q9QZ06	274	22.69	24.21
Q9CQN3	74	21.77	24.53
O88746	492	21.51	23.15
E9Q8Q8	339	24.61	26.87
O55242	223	26.11	28.54
Q9Z1F9	638	22.25	24.43
A7TZF3	474	25.45	28.08
Q9CYZ8	361	21.85	23.06
P60122	456	22.54	24.82
Q62419	368	22.51	24.37
Q921I6	962	23.41	25.86
Q76I79	1042	22.06	23.69
Q0VE29	161	22.6	23.97
Q6PD21	503	21.68	23.11
Q8C0X2	565	23.94	26.55
Q6UJY2	1175	25.77	28.83
P98083	579	21.82	23.24
Q5U680	274	23.31	26.2
Q9ER41	336	24.88	27.72
Q8BJS4	731	22.87	24.64
P62702	263	24.56	27.01
P12246	224	25.96	28.68
Q8R086	546	23.31	24.8
Q62277	314	23.92	26.7
Q60648	193	22.99	25.46
Q9EQJ0	817	25.82	28.82
Q8VIL2	267	23.45	25.72
Q91Y74	333	25.25	27.93
Q1W617	1475	21.73	22.77
O70480	141	23.47	25.41
Q8BZZ3	918	23.67	25.45
Q64311	310	22.88	24.61
Q99MS3	194	26.08	28.76
Q9D110	203	23.5	25.46
Q0EEE2	906	24.8	27.83
O35982	41	30.27	34.72
Q8BMA6	625	22.87	24.91
Q31125	476	23.23	24.37
J3QMY9	579	22.6	24.59
Q5SSN7	159	26.41	30.58
Q5DTL9	1118	24.27	26.45
P50404	374	19.85	21.21
O88575	635	25.35	28.66
P70326	518	23.34	24.58
Q8BYU6	502	20.84	22.36
Q62093	221	21.75	21.86
Q99MS8	303	21.66	23.34
P0DP59	97	23.81	26.29
Q3U821	830	24.16	26.71
Q14AE4	130	21.22	22.67
Q8CGV9	1081	21.86	23.68
Q69Z99	562	23.25	24.34
Q8VCF5	331	22.8	25.36
Q8BMU0	568	21.75	22.96
P59326	559	22.48	24.22
Q3U269	495	23.47	25.57
O35468	359	22.54	24.4
Q8BGZ8	415	23.14	26.08
Q62522	350	24.05	26.27
Q7TMA2	652	19.8	21.79
Q9D9X6	631	23.75	25.74
Q8C5C9	218	23.31	25.57
P38585	377	24.31	26.61
P63082	155	22.8	26.72
P15920	856	25.41	28.13
Q8QZX0	417	23.03	24.75
Q08122	772	22.19	23.85
Q6F5E0	286	21.27	22.91
Q6PHN7	296	25.9	29.1
Q08EA8	116	23.24	25.98
Q5SSZ5	1440	22.02	23.79
Q6ZWY6	147	24.22	26.24
Q8BR70	236	24.58	27.66
Q9EQQ2	257	24.19	27.37
Q6P5F9	1071	24.6	27.1
Q924Z6	1125	24.36	26.91
Q3TW96	507	23.04	24.85
P52483	207	22.15	24.02
Q5SSI6	552	22.19	24.13
Q8VCS3	409	24.41	26.82
Q91YR1	350	23.84	25.8
Q9QXT9	601	23.82	25.23
B1AVZ0	310	22.42	24.14
Q02525	718	24.71	25.79
Q8BFR6	268	23.52	25.66
P10925	782	23.06	24.71
Q7TQ40	622	21.41	22.2
Q66JT0	555	23.17	24.93
Q91VN1	368	22.8	23.65
P32648	170	23.02	25.6
Q8R3S2	283	24.83	28.21
Q91WQ5	589	22.97	25.29
Q9CQK7	243	22.01	24.07
E9Q401	4966	24.04	26.36
Q06985	282	23.41	25.38
Q8VC51	532	22.24	23.98
Q9D880	353	23.53	25.34
Q80UF7	732	21.76	22.77
P63280	158	24.62	26.47
Q9ES63	869	22.76	24.95
Q5I043	1051	23.04	24.89
Q5DU02	525	24.89	26.94
Q8BHN1	524	22.22	23.45
Q14DL0	610	22.18	23.72
D2EAC2	980	23.34	25.55
Q8VCZ7	619	23.06	24.51
O88939	569	21.2	22.82
P81615	122	21.67	22.85
Q8BYK8	1177	22.2	23.42
Q8BJH1	324	22.1	23.62
E9Q784	1729	21.22	21
Q9CYA6	709	21.42	22.65
Q8R173	299	26.45	28.96
Q8R0N9	484	23.28	25.01
P61961	85	22.7	25.32
P59268	364	24.46	26.69
Q64318	1117	20.65	21.7
Q8K1X1	1223	23.36	25.93
Q8K4P0	1330	22.19	22.27
Q99ME2	1125	23.35	25.42
P99032	12	12.7	13.21
E9PYY5	807	23	25.3
P15620	580	24.41	25.38
Q99PP2	2237	21.48	22.65
I7HJS4	458	23.15	24.67
Q6V5K9	347	21.59	22.28
Q8K1S2	956	23.26	25.03
Q6P5C7	752	25.76	27.62
O35149	430	23.88	26.74
O70401	245	25.34	28.92
Q05895	956	21.7	23.6
Q80XP9	1757	21.84	23.44
A4Q9F3	704	23.06	24.26
Q9DAC7	148	23.19	25.4
Q60930	295	23.09	26.26
Q7TSP5	283	23.27	26.23
Q9JLI8	962	22.88	24.28
Q61711	324	20.43	21.65
B2RWW0	714	22.05	23.96
Q8VCI7	278	21.32	23.34
P80317	531	22.32	24.99
Q99JY1	241	21.85	23.56
Q9EPK2	347	24.03	26.46
Q8VE47	403	22.43	24.34
Q8BQH4	164	22.49	23.23
Q640M1	767	22.2	23.52
Q9D1C1	179	23.04	25.53
Q3USZ2	394	24.16	25.7
Q9D0L1	228	22.37	23.05
