Protein.ID	protein.length	aa.synthesis.average.cost_Akashi	aa.synthesis.average.cost_Wagner	protein.coding.genome.size
A0A140TAT7	489	23.23	25.51	5370518
A0A1W2VZP0	532	24.77	27.23	5370518
A0A1W2VZT1	145	24.76	26.41	5370518
A0A1W2W027	887	25.77	28.63	5370518
A0A1W2W0N1	268	27.54	31.23	5370518
A0A1W2W150	131	23.57	25.58	5370518
A0A1W2W1I3	298	21.92	24.09	5370518
A0A1W2W2Y7	146	22.92	24.86	5370518
A0A1W2W3E0	284	20.64	22.39	5370518
A0A1W2W3I8	384	23.48	26.07	5370518
A0A1W2W422	257	25.91	28.58	5370518
A0A1W2W480	501	24.21	26.57	5370518
A0A1W2W4A3	248	21.73	23.84	5370518
A0A1W2W5D3	308	26.43	28.94	5370518
A0A1W2W5N9	761	22.89	25.19	5370518
A0A1W2W635	161	25.36	28.23	5370518
A0A1W2W697	442	20.87	21.29	5370518
A0A1W2W6B4	340	23.29	26.61	5370518
A0A1W2W6D8	508	24.73	26.89	5370518
A0A1W2W6L9	178	23.14	26.07	5370518
A0A1W2W6S7	123	22.48	23.64	5370518
A0A1W2W6U9	236	23.97	26.44	5370518
A0A1W2W793	193	23.09	25.01	5370518
A0A1W2W7E4	182	26.45	28.4	5370518
A0A1W2W7Q7	167	24	25.55	5370518
A0A1W2W7V1	344	23.62	25.63	5370518
A0A1W2W7W2	313	27.24	30.18	5370518
A0A1W2W835	577	24.71	27.38	5370518
A0A1W2W8E5	423	23.39	25.65	5370518
A0A1W2W8I4	183	23.78	25.33	5370518
A0A1W2W8J9	151	27.8	31.78	5370518
A0A1W2W8Q4	177	24.37	27.11	5370518
A0A1W2W8V2	209	23.74	25.89	5370518
A0A1W2WA63	217	21.57	23.38	5370518
A0A1W2WAC8	229	22.79	25.12	5370518
A0A1W2WAD0	165	24.14	26.22	5370518
A0A1W2WAR8	181	24.88	27.6	5370518
A0A1W2WAU2	445	23.24	25.69	5370518
A0A1W2WAY3	101	26.55	26.55	5370518
A0A1W2WB43	186	24.1	27.14	5370518
A0A1W2WC94	201	24.09	26.61	5370518
A0A1W2WCG1	131	24.08	27.01	5370518
A0A1W2WCL1	169	25.86	29.79	5370518
A0A1W2WD17	238	25.68	28.09	5370518
A0A1W2WD79	230	23.83	26.05	5370518
A0A1W2WE34	650	23.86	26.75	5370518
A0A1W2WEA2	230	22.39	24.88	5370518
A0A1W2WEH6	390	23.34	25.33	5370518
A0A1W2WEL3	175	23.58	26.22	5370518
A0A1W2WEN5	378	23.54	25.67	5370518
A0A1W2WET0	309	24.62	27.16	5370518
A0A1W2WEW7	204	23.36	25.44	5370518
A0A1W2WF05	311	23.74	25.83	5370518
A0A1W2WF56	483	26.56	29.38	5370518
A0A1W2WFB7	450	23.54	25.63	5370518
A0A1W2WFK8	319	24.34	26.85	5370518
A0A1W2WG08	235	22.46	24.78	5370518
A0A1W2WG97	216	23.65	26.34	5370518
A0A1W2WGH4	624	21.08	22.88	5370518
A0A1W2WGL4	256	23.46	25.65	5370518
A0A1W2WGU2	203	23.75	26.49	5370518
A0A1W2WGY3	619	23.22	25.62	5370518
