Protein.ID	protein.length	aa.synthesis.average.cost_Akashi	aa.synthesis.average.cost_Wagner	protein.coding.genome.size
A9QVW4	108	23.88	25.07	11988985
B0ZBA9	104	23.2	24.85	11988985
B0ZBB0	82	23.68	26.29	11988985
B2ZCP1	237	22.42	24.51	11988985
B2ZFI7	130	23.97	25.34	11988985
B3GDA0	161	23.18	25.39	11988985
B3GEJ6	127	23.28	25.16	11988985
B3GEL2	132	26.17	28.98	11988985
B3GNH2	153	24.13	26.33	11988985
B3GNH6	130	23.17	26.4	11988985
B3VAB9	144	23.66	25.78	11988985
B3VAC4	56	26.45	28.23	11988985
B3VAC7	248	22.3	24.81	11988985
B6VBA2	86	22.69	26.29	11988985
B6VBC6	127	23.29	25.17	11988985
B6VBD0	73	19.01	21.6	11988985
B6VBH2	318	23.65	25.72	11988985
B6VBI7	108	22.88	25.15	11988985
B6VBJ7	75	21.43	22.93	11988985
B6VBK2	90	24.52	27.53	11988985
B6VBK6	261	23.5	25.64	11988985
B6VBL1	316	27.34	29.86	11988985
B6VBL2	449	22.5	24.45	11988985
B6VBL3	193	24.54	25.93	11988985
B6VBL4	225	21	22.79	11988985
B6VBL5	372	23.77	25.77	11988985
B6VBM6	131	23.3	25.42	11988985
B6VBN0	147	24.56	26.47	11988985
B6VBN5	123	23.36	25.48	11988985
B6VBN7	1152	23.48	25.89	11988985
B6VBP0	87	23.78	26.44	11988985
B6VBP6	170	24.14	26.58	11988985
B6VBQ4	149	24.67	26.62	11988985
B6VBR7	371	24.28	26.84	11988985
C6KGY3	185	26.49	29.51	11988985
C7E3N7	133	24.15	26.24	11988985
G0M6H0	1164	21.29	22.92	11988985
G0M6H1	348	25.67	27.08	11988985
G0M6H2	636	24.39	27.05	11988985
G0M6H3	728	23.07	24.88	11988985
G0M6H4	406	26.01	28.79	11988985
G0M6H5	326	22.52	24.77	11988985
G0M6H6	176	22.75	23.66	11988985
G0M6H7	622	21.91	23.35	11988985
G0M6H8	349	26.75	29.99	11988985
G0M6H9	282	24.13	26.37	11988985
G0M6I0	393	23.29	25.56	11988985
G0M6I1	538	22.19	23.98	11988985
G0M6I2	430	22.47	24.45	11988985
G0M6I3	488	24.27	26.3	11988985
G0M6I4	531	24.23	26.36	11988985
G0M6I5	120	23.83	26.09	11988985
G0M6I6	511	24.46	27.21	11988985
G0M6I7	551	24.26	27.17	11988985
G0M6I8	528	25.16	27.75	11988985
G0M6I9	431	25.34	27.82	11988985
G0M6J0	603	21.29	22.79	11988985
G0M6J1	67	23.72	25.54	11988985
G0M6J2	515	25.02	27.48	11988985
G0M6J3	337	24.24	26.61	11988985
G0M6J4	450	22.32	23.54	11988985
G0M6J5	334	22.76	24.06	11988985
G0M6J6	317	22.46	24.36	11988985
G0M6J7	277	27	30.5	11988985
G0M6J8	579	22.55	24.72	11988985
G0M6J9	160	24.56	27.39	11988985
G0M6K0	382	22.58	24.78	11988985
G0M6K1	568	24.31	26.56	11988985
G0M6K2	67	22.67	24.99	11988985
G0M6K3	174	23.76	26.24	11988985
G0M6K4	69	25.87	27.76	11988985
G0M6K5	967	21.73	23.45	11988985
G0M6K6	415	25.63	27.98	11988985
G0M6K7	343	23.93	26.56	11988985
G0M6K8	234	25.62	28.5	11988985
G0M6K9	688	23.06	24.62	11988985
G0M6L0	130	24.17	26.55	11988985
G0M6L1	263	24.71	26.96	11988985
G0M6L2	246	25.65	28.54	11988985
G0M6L3	700	21.85	23.66	11988985
G0M6L4	269	23.5	25.3	11988985
G0M6L5	311	26.83	30.08	11988985
G0M6L6	492	24.59	28.07	11988985
G0M6L7	216	25.57	28	11988985
G0M6L8	436	22.22	23.53	11988985
G0M6L9	778	23.88	26.28	11988985
G0M6M0	316	23.37	25.78	11988985
G0M6M1	704	23.58	26.16	11988985
G0M6M2	552	24.6	27.51	11988985
G0M6M3	631	24.21	26.82	11988985
G0M6M4	177	25.93	28.2	11988985
G0M6M5	110	23.82	26.01	11988985
G0M6M6	118	20.52	21.82	11988985
G0M6M7	210	22.28	25.12	11988985
G0M6M8	420	26.68	29.44	11988985
G0M6M9	331	24.11	26.41	11988985
G0M6N0	400	24.53	26.91	11988985
G0M6N1	635	22.59	24.53	11988985
G0M6N2	177	24.26	26.17	11988985
G0M6N3	193	24.28	26.76	11988985
G0M6N4	191	22.82	24.91	11988985
G0M6N5	66	25.11	27.72	11988985
G0M6N6	418	24.07	26.65	11988985
G0M6N7	618	25.91	28.32	11988985
G0M6N8	339	26.12	29.25	11988985
G0M6N9	431	25.07	27.94	11988985
G0M6P0	1128	24.56	27.26	11988985
G0M6P1	148	26.59	29.53	11988985
G0M6P2	887	22.99	25.74	11988985
G0M6P3	756	24.85	27.57	11988985
G0M6P4	1214	23.49	26.15	11988985
G0M6P5	1321	23.66	26.35	11988985
G0M6P6	519	24.58	27.7	11988985
G0M6P7	334	26.97	30.17	11988985
G0M6P8	248	22.08	23.73	11988985
G0M6P9	703	24.17	27.04	11988985
G0M6Q0	123	25.14	27.54	11988985
G0M6Q1	312	25.3	28.39	11988985
G0M6Q2	1123	24.79	27.2	11988985
G0M6Q3	38	24.68	24.58	11988985
G0M6Q4	35	19.77	20.66	11988985
G0M6Q5	13	24.47	23.04	11988985
G0M6Q6	53	24.44	27.03	11988985
G0M6Q7	85	19.13	20.08	11988985
G0M6Q8	213	27.15	31.05	11988985
G0M6Q9	412	23.4	25.55	11988985
G0M6R0	410	23.63	25.96	11988985
G0M6R1	382	24.31	26.77	11988985
G0M6R2	1078	22.56	24.64	11988985
G0M6R3	352	25.2	27.75	11988985
G0M6R4	309	25.45	28.13	11988985
G0M6R5	2570	23.92	25.67	11988985
G0M6R6	262	24.19	26.53	11988985
G0M6R7	171	23.29	25.97	11988985
G0M6R8	45	21.49	23.31	11988985
G0M6R9	523	22.45	23.96	11988985
G0M6S0	104	23.47	26.12	11988985
G0M6S1	2102	23.39	26.12	11988985
G0M6S2	563	23.26	25.04	11988985
G0M6S3	633	22.75	24.78	11988985
G0M6S4	364	21.83	23.63	11988985
G0M6S5	239	23.09	24.4	11988985
G0M6S6	231	21.68	22.59	11988985
G0M6S7	101	26.94	29.45	11988985
G0M6S8	2948	24.67	26.39	11988985
G0M6S9	336	24.28	26.78	11988985
G0M6T0	41	28.21	28.8	11988985
G0M6T1	146	23.81	25.77	11988985
G0M6T2	679	24.57	27.02	11988985
G0M6T3	262	24.24	26.47	11988985
G0M6T4	195	23.27	25.68	11988985
G0M6T5	315	26.19	29.4	11988985
G0M6T6	534	25.68	28.54	11988985
G0M6T7	1223	23.33	25.5	11988985
G0M6T8	1089	22.73	24.34	11988985
G0M6T9	651	24.33	26.82	11988985
G0M6U0	737	25.66	28.67	11988985
G0M6U1	329	22.34	24.05	11988985
G0M6U2	348	22.71	24.91	11988985
G0M6U3	443	26.04	28.98	11988985
G0M6U4	472	23.77	25.24	11988985
G0M6U5	463	23.79	25.59	11988985
G0M6U6	424	23.97	26.31	11988985
G0M6U8	634	22.47	24.93	11988985
G0M6U9	294	25.96	28.78	11988985
G0M6V0	186	25.31	27.87	11988985
G0M6V1	385	25.04	27.81	11988985
G0M6V2	270	24.66	27.04	11988985
G0M6V3	255	22.16	23.48	11988985
G0M6V4	561	25.57	28.27	11988985
G0M6V5	117	23.09	24.93	11988985
G0M6V6	295	23.41	25.74	11988985
G0M6V7	281	23.06	25.49	11988985
G0M6V8	166	21.04	21.87	11988985
G0M6V9	368	24.32	26.59	11988985
G0M6W0	502	26.04	28.96	11988985
G0M6W1	117	24.91	26.98	11988985
G0M6W2	324	23.67	26.62	11988985
G0M6W3	721	23.03	25.2	11988985
G0M6W4	284	22.22	23.61	11988985
G0M6W5	299	23.87	24.49	11988985
G0M6W6	123	25.13	27.08	11988985
G0M6W7	138	24.36	25.86	11988985
G0M6W8	125	28.09	31.7	11988985
G0M6W9	142	24.79	28	11988985
G0M6X0	297	25.38	27.5	11988985
G0M6X1	90	26.63	29.27	11988985
G0M6X2	157	25.46	28.48	11988985
G0M6X3	136	26.13	29.38	11988985
G0M6X4	548	22.25	23.61	11988985
G0M6X5	1097	21.66	23.34	11988985
G0M6X6	1109	21.11	23.15	11988985
G0M6X7	671	21.59	22.4	11988985
G0M6X8	132	25.44	28.8	11988985
G0M6X9	286	25.12	27.79	11988985
G0M6Y0	172	25.06	27.68	11988985
G0M6Y1	537	24.28	26.35	11988985
G0M6Y2	295	25.56	28.34	11988985
G0M6Y3	825	23.04	25.43	11988985
G0M6Y4	256	24.57	27.4	11988985
G0M6Y5	376	24.68	27.08	11988985
G0M6Y6	84	21.55	23.98	11988985
G0M6Y7	825	24.45	26.92	11988985
G0M6Y8	439	21.33	22.86	11988985
G0M6Y9	215	20.15	21.99	11988985
G0M6Z0	815	23.09	25.47	11988985
G0M6Z1	536	25.77	28.4	11988985
G0M6Z2	19	21.17	22.71	11988985
G0M6Z3	23	26.36	26.65	11988985
G0M6Z4	291	25.62	27.96	11988985
G0M6Z5	1957	22.44	23.88	11988985
G0M6Z6	410	24.77	27.52	11988985
G0M6Z7	116	25.27	27.83	11988985
G0M6Z8	531	24.63	27.08	11988985
G0M6Z9	297	27.32	30.77	11988985
G0M700	692	22.31	24.12	11988985
G0M701	335	23.52	23.88	11988985
G0M702	646	23.84	25.73	11988985
G0M703	637	24.78	26.41	11988985
G0M704	820	22.99	24.97	11988985
G0M705	558	24.73	26.99	11988985
G0M706	276	22.48	23.97	11988985
G0M707	237	25.08	28.89	11988985
G0M708	603	21.38	23.08	11988985
G0M709	239	21.74	22.11	11988985
G0M710	701	21.99	24.32	11988985
G0M711	194	24.85	27.27	11988985
G0M712	639	22.61	24.42	11988985
G0M713	105	22.38	24.5	11988985
G0M714	244	23.06	25.73	11988985
G0M715	116	23.3	25.22	11988985
G0M716	55	24.71	28	11988985
G0M717	122	22.69	23.74	11988985
G0M718	10	31.39	34.5	11988985
G0M719	812	25.48	28.35	11988985
G0M720	1344	24.56	26.56	11988985
G0M721	570	22.41	24.16	11988985
G0M722	445	23.01	25.16	11988985
G0M723	281	23.46	25.84	11988985
G0M724	679	22.06	23.98	11988985
G0M725	373	24.37	25.67	11988985
G0M726	791	24.67	27.19	11988985
G0M727	422	24.92	27.87	11988985
G0M728	1270	23.97	26.22	11988985
G0M729	465	24.88	27.06	11988985
G0M730	222	23.87	26.26	11988985
G0M731	333	23.49	26.56	11988985
G0M732	450	24.51	27.23	11988985
G0M733	237	23.15	25.6	11988985
G0M734	275	23.27	24.98	11988985
G0M735	142	24.85	27.85	11988985
G0M736	645	25.03	26.94	11988985
G0M737	769	23.03	25.41	11988985
G0M738	123	23.89	26.45	11988985
G0M739	532	26.05	28.6	11988985
G0M740	211	25.18	28.05	11988985
G0M741	288	25.42	28.05	11988985
G0M742	141	25.95	29.34	11988985
G0M743	492	24.89	28.52	11988985
G0M744	565	24.6	28.14	11988985
G0M745	136	22.33	22.81	11988985
G0M746	606	23.48	25.45	11988985
G0M747	751	23.33	25.59	11988985
G0M748	578	24.75	27.01	11988985
G0M749	218	23.96	26.63	11988985
G0M750	726	24.65	27.36	11988985
G0M751	407	23	24.46	11988985
G0M752	203	26.59	28.91	11988985
G0M753	132	23.49	25.94	11988985
G0M754	549	22.26	24.4	11988985
G0M755	372	23.48	26.28	11988985
G0M756	501	22.69	24.92	11988985
G0M757	103	25.29	27.09	11988985
G0M758	419	20.6	22.17	11988985
